"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X698_Group9_142dpi_LV_top_208_G_D12_P128.mzXML",698,"combo","142dpi","LV_top","D12","P128",0.046496179,0.063715648,0.000678053,0.00418756,0.001400377
"X699_Group9_142dpi_LV_top_209_G_E1_P128.mzXML",699,"combo","142dpi","LV_top","E1","P128",0.076724209,0.111154459,0.000918548,0.0286,0.043169339
"X700_Group9_142dpi_LV_top_210_G_E2_P128.mzXML",700,"combo","142dpi","LV_top","E2","P128",0.077209435,0.142295494,0.002831119,0.0327,0.034874906
"X716_Group15_142dpi_LV_top_216_G_E8_P128.mzXML",716,"BNZ","142dpi","LV_top","E8","P128",0.066499749,0.088849903,0.001253512,0.016848668,0.015878038
"X717_Group15_142dpi_LV_top_217_G_E9_P128.mzXML",717,"BNZ","142dpi","LV_top","E9","P128",0.040754861,0.073828608,0.00112845,0.003265113,0.00113286
"X718_Group15_142dpi_LV_top_218_G_E10_P128.mzXML",718,"BNZ","142dpi","LV_top","E10","P128",0.029870189,0.056316563,0.000541396,0.005520714,0.005436186
"X719_Group15_142dpi_LV_top_219_G_E11_P128.mzXML",719,"BNZ","142dpi","LV_top","E11","P128",0.073601201,0.0713,0.001373945,0.01550015,0.020047669
"X720_Group15_142dpi_LV_top_220_G_E12_P128.mzXML",720,"BNZ","142dpi","LV_top","E12","P128",0.050776129,0.122097207,0.003628034,0.012353845,0.013721571
"X751_Group3E_142dpi_LV_top_226_G_F6_P128.mzXML",751,"infected","142dpi","LV_top","F6","P128",0.058006258,0.083573679,0.001697932,0.014000963,0.006949185
"X752_Group3E_142dpi_LV_top_227_G_F7_P128.mzXML",752,"infected","142dpi","LV_top","F7","P128",0.063475102,0.092276787,0.001440442,0.01448608,0.009926635
"X753_Group3E_142dpi_LV_top_228_G_F8_P128.mzXML",753,"infected","142dpi","LV_top","F8","P128",0.042170051,0.056156642,0.001133357,0.024891425,0.016726286
"X754_Group3E_142dpi_LV_top_229_G_F9_P128.mzXML",754,"infected","142dpi","LV_top","F9","P128",0.046365876,0.069099617,0.002317175,0.017519673,0.005500732
"X755_Group3E_142dpi_LV_top_230_G_F10_P128.mzXML",755,"infected","142dpi","LV_top","F10","P128",0.045446621,0.0541,0.002026782,0.022041234,0.032221886
"X781_Group9_142dpi_LV_top_231_G_F11_P128.mzXML",781,"combo","142dpi","LV_top","F11","P128",0.027561265,0.0371,0.001257702,0.008295842,0.005364175
"X782_Group9_142dpi_LV_top_232_G_F12_P128.mzXML",782,"combo","142dpi","LV_top","F12","P128",0.038977156,0.0429,0.001179494,0.01285862,0.007386426
"X783_Group9_142dpi_LV_top_233_G_G1_P128.mzXML",783,"combo","142dpi","LV_top","G1","P128",0.084499901,0.080977867,0.002082846,0.018636034,0.028211908
"X784_Group9_142dpi_LV_top_234_G_G2_P128.mzXML",784,"combo","142dpi","LV_top","G2","P128",0.089087052,0.119190581,0.001717225,0.0162,0.019034462
"X785_Group9_142dpi_LV_top_235_G_G3_P128.mzXML",785,"combo","142dpi","LV_top","G3","P128",0.078586014,0.12188083,0.001852634,0.031864861,0.047267378
"X801_Group15_142dpi_LV_top_241_G_G9_P128.mzXML",801,"BNZ","142dpi","LV_top","G9","P128",0.026414111,0.0444799,0.001025237,0.003727513,0.000805571
"X802_Group15_142dpi_LV_top_242_G_G10_P128.mzXML",802,"BNZ","142dpi","LV_top","G10","P128",0.040283615,0.0732,0.002537227,0.018180363,0.00993182
"X803_Group15_142dpi_LV_top_243_G_G11_P128.mzXML",803,"BNZ","142dpi","LV_top","G11","P128",0.038611986,0.077200304,0.002477906,0.009926859,0.007206955
"X804_Group15_142dpi_LV_top_244_G_G12_P128.mzXML",804,"BNZ","142dpi","LV_top","G12","P128",0.04610522,0.077322627,0.001975911,0.014244255,0.00685476
"X805_Group15_142dpi_LV_top_245_G_H1_P128.mzXML",805,"BNZ","142dpi","LV_top","H1","P128",0.055947019,0.16097957,0.003559227,0.028463118,0.027514436
