MouseID,Treatment_group,X368.389_3.90,X102.092_0.611,X114.092_1.761,X137.046_0.35,X166.053_0.305,X258.111_0.302,X280.263_3.169,X377.146_2.225,X385.165_2.771,X387.192_2.843,X428.205_2.248,X430.223_2.769,X444.332_3.016,X472.363_3.023,X488.359_3.01,X516.39_3.018,X532.385_3.004,X560.416_3.006,X576.411_2.999,X604.442_3.001,X608.393_3.098,X616.308_2.766,X620.437_2.993,X648.468_2.995,X650.403_3.014,X664.463_2.992,X666.433_3.092,X679.068_2.179,X708.489_2.982,X752.515_2.977,X898.581_3.224
668,infected,0.000260399,0,6.30E-05,0.004028042,4.71E-05,0.000506557,0.000474007,2.88E-05,4.73E-05,0,0.000179726,0.000834089,0,0,2.62E-05,2.08E-05,6.80E-05,2.34E-05,7.39E-05,2.46E-05,0.003417732,8.71E-05,7.57E-05,2.25E-05,0.000353979,6.07E-05,0,3.36E-05,2.34E-05,1.69E-05,0.000238021
669,infected,0.000310883,0,0.000102744,0.005974861,3.78E-05,0.00093281,0.000727551,0,5.96E-05,3.15E-05,0.000164544,0.000814939,1.53E-05,1.81E-05,4.46E-05,2.18E-05,6.19E-05,5.18E-05,7.44E-05,2.67E-05,0.003353238,5.69E-05,7.74E-05,2.33E-05,0.000288582,7.06E-05,0,3.84E-05,3.02E-05,1.93E-05,0.000173821
670,infected,0.00049701,0,8.57E-05,0.004992384,1.77E-05,0.000728799,0.000706511,2.43E-05,0.000107666,4.82E-05,0.000114694,0.000528212,1.94E-05,0,3.09E-05,0,7.49E-05,2.34E-05,0.000114183,2.25E-05,0.002897366,3.60E-05,8.53E-05,1.83E-05,0,3.80E-05,0.000728799,0,2.98E-05,2.12E-05,0.000231789
696,combo,8.06E-05,0.000231487,0.000299253,0.005633146,0,0.000177923,0.000541137,0,0.000104829,0,6.60E-05,0.001712122,7.17E-05,0.000111567,0.000218815,0.000236811,0.000296091,0.000206935,0.000429246,0.00019872,0.003091577,0,0.000366922,9.54E-05,0.000283483,0.000357712,0,0,0.000211553,8.58E-05,0
697,combo,7.91E-05,0,0.000137076,0.004756658,0,0.000394455,0.000839183,0,0.000147541,6.93E-05,9.33E-05,0.001434732,0.000242697,0.000390587,0.000440861,0.000347723,0.000823714,0.000390587,0.000812112,0.000275651,0.003387669,4.40E-05,0.000908792,0.000268003,0,0.000638088,0,0,0.000537541,0.000324603,0
698,combo,9.20E-05,0,0.000207296,0.005595133,0,0.000300902,0.000829623,0,2.78E-05,4.02E-05,0.000133037,0.000553082,4.97E-05,0.000119234,0.000141092,0.00012625,0.000278888,0.000123211,0.000243375,9.56E-05,0.002881172,3.38E-05,0.000314126,7.94E-05,0.000363362,0.00019088,0,0,0.00014683,9.35E-05,0
699,combo,8.47E-05,0,8.93E-05,0.002585339,0,0.000481336,0.000739869,5.16E-05,0,3.85E-05,0.000172793,0.000256432,5.70E-05,6.65E-05,0.000128234,0.000124793,0.000178232,0.000104571,0.000216496,0.000131841,0.001771903,6.66E-05,0.0001919,8.69E-05,0.0001644,0.000173847,0.000304776,0,0.000108139,4.10E-05,0.000198918
700,combo,0.000165029,0.000218575,8.88E-05,0.003236591,7.19E-05,0.001567855,0.000634708,2.35E-05,5.46E-05,3.39E-05,0.000243795,0.000630505,5.21E-05,0,4.78E-05,4.14E-05,0.00013864,7.91E-05,0.000149876,4.50E-05,0.002290834,0.000195141,0.000169007,6.36E-05,0.000266914,0.000133605,0,0.00011858,8.60E-05,5.35E-05,7.02E-05
716,BNZ,0.000114063,0.000279059,0.000142589,0.005506913,0,0,0.000657032,0,0.00016269,0,0.000122474,0.001967297,3.55E-05,5.11E-05,0.000100906,0.000115465,0.000212851,6.53E-05,0.000178134,0.000106275,0.005051168,0,0.000236714,4.92E-05,0.000505117,0.000146812,0,0,7.06E-05,0,3.21E-05
717,BNZ,0.000210929,0,9.30E-05,0.005705833,4.94E-05,0.000150241,0.00073172,0,9.07E-05,4.29E-05,6.92E-05,0.00118079,3.46E-05,3.68E-05,9.14E-05,8.30E-05,0.00013418,5.87E-05,0.000214798,4.95E-05,0.003381234,3.78E-05,0.000156537,4.83E-05,0.000369823,0.000158816,0,0,0.00010919,4.33E-05,0.00038303
718,BNZ,3.72E-05,0.000164925,0.000119891,0.009063959,5.35E-05,0.000340654,0.001143295,0,0.000146096,0.000110109,0.000152317,0.001658293,3.34E-05,8.08E-05,0.000147032,0.000110305,0.000240756,0.000121089,0.000266091,0.000106739,0.004325981,3.21E-05,0.000271155,8.66E-05,0.000600831,0.000222988,0,0,0.000131136,4.59E-05,0
719,BNZ,0.000137044,0,0.000158752,0.003719455,0,0,0.000961385,0,4.50E-05,0,0.000209902,0.000794324,3.85E-05,0,0.00011115,3.38E-05,9.16E-05,3.68E-05,0.000168914,4.39E-05,0.003372727,0,0.000131407,3.68E-05,0.000406618,0.000135538,0,0,5.58E-05,0,0.000102625
720,BNZ,5.51E-05,0.000244051,0.000186933,0.020294396,0,0.000349019,0.000916066,0,0,8.93E-05,0.000133794,0.000977138,0,0.000141896,9.41E-05,0.000168121,0.000280401,0.000170093,0.000302461,0.000148229,0.006013154,3.53E-05,0.000332823,6.79E-05,0.000397447,0.000242347,0,0,0.000102013,6.13E-05,0
751,infected,0.000109691,0,0,0.004569991,0,0,0.00070454,0,0.000154409,0,0.000147191,0.001515714,0,5.67E-05,6.42E-05,6.81E-05,0.000187509,7.40E-05,0.000209522,0.000117497,0.003884492,5.66E-05,0.000108653,5.83E-05,0.000460807,0.000145548,0,3.17E-05,6.08E-05,0,0
752,infected,0.000159273,0,0.000118595,0.011810724,0,0.000182539,0.000943481,0,0.000127479,0,0.000180503,0.00133258,3.88E-05,4.81E-05,0.000108421,5.56E-05,0.000148552,9.81E-05,0.000235203,4.83E-05,0.004097598,2.69E-05,0.00018312,4.74E-05,0.000537164,0.000163715,0,0,0.000120166,4.41E-05,0.000175939
753,infected,0.000122688,0,0.000161297,0.007028683,0,0.000112263,0.000627719,0,9.91E-05,0,0.000112948,0.002263324,5.67E-05,9.28E-05,0.000185269,0.000187661,0.000262998,0.000171716,0.000347124,0.000151602,0.003708846,3.76E-05,0.000297555,6.39E-05,0.000228357,0.000252475,0,0,0.000184247,6.99E-05,0
754,infected,0.000233521,0.000115825,9.47E-05,0.007095436,0,0.000705789,0.000732069,0,0.000141345,0,0.0002262,0.001509188,4.80E-05,0.000102403,8.65E-05,8.04E-05,0.00022526,0.000150703,0.000296063,8.05E-05,0.004317329,4.86E-05,0.000225074,0.000124744,0.000346863,0.000171167,0,0,0.000148783,6.92E-05,0
755,infected,0.000317969,0,0.000150817,0.005459466,0,4.59E-05,0.000851917,0,8.94E-05,0,0.000100046,0.001064896,3.64E-05,4.59E-05,5.51E-05,9.98E-05,0.000180756,6.14E-05,0.000144962,0.00010004,0.002858721,2.58E-05,0.000127077,4.62E-05,0.000338967,0.000129995,0,0,5.60E-05,0,4.88E-05
781,combo,9.57E-05,0,0.0001659,0.007540992,7.78E-05,0.000180376,0.001045155,0,0,0,0.000190572,0.000732049,4.98E-05,6.64E-05,0.00015592,8.35E-05,0.000231332,0.00015078,0.000283022,8.08E-05,0.005909315,0,0.000254011,6.22E-05,0.000507143,0.000119463,0,0,0.000153724,5.71E-05,0
782,combo,0,0,0.000251097,0.005785842,0,7.83E-05,0.001289126,0,4.67E-05,9.12E-05,0.00015245,0.001050587,5.55E-05,0.000195294,0.0001819,0.000290782,0.000276845,0.000236086,0.000434232,0.000194072,0.003573011,0,0.000355329,0.000164226,0.000330343,0.000393536,0,0,0.000239479,7.83E-05,0
783,combo,0,0,0.000314113,0.002627196,0,0.000547333,0.00092033,0,0,0.000150632,0.00021616,0.000506789,3.96E-05,0.000151578,0.000136788,0.000242379,0.000214682,0.000196246,0.000321405,0.000182087,0.002659631,0.000101142,0.0002513,0.000137176,0.000433812,0.000283631,0,3.20E-05,0.000174262,6.53E-05,0
784,combo,0,0,0.00024432,0.003800024,0,0.000642945,0.000873518,0,6.79E-05,7.13E-05,0.000179225,0.000997673,5.46E-05,7.63E-05,0.000159025,0.000152944,0.000223904,9.55E-05,0.000274091,0.000131855,0.003569451,4.85E-05,0.000225126,6.06E-05,0.000474449,0.000207828,0,0,8.50E-05,5.67E-05,0
785,combo,0.000420681,8.88E-05,0.000123844,0.003254324,1.49E-05,0.000232168,0.000763972,9.85E-05,2.34E-05,4.90E-05,0.000132764,3.28E-05,3.44E-05,0,4.96E-05,0,9.02E-05,0,0.000163651,0,0.003968688,6.51E-05,7.86E-05,0,0.000135641,0.000109254,0.000593319,0,5.20E-05,2.93E-05,0.000124331
801,BNZ,0.000284387,0,0.0001052,0.007122261,5.69E-05,0.000139114,0.00096893,0,8.76E-05,3.79E-05,6.54E-05,0.000812894,0.000212098,0.000250726,0.000468106,0.00025167,0.000651825,0.000380022,0.000830511,0.000367438,0.004429392,0,0.000707193,0.00026677,0.000468106,0.000614075,0,0,0.000407705,0.000229058,0.000227165
802,BNZ,0.000265244,0,7.23E-05,0.007362799,0,0,0.000733993,3.29E-05,3.62E-05,3.67E-05,0.000149223,0.000759146,2.69E-05,2.32E-05,8.23E-05,3.79E-05,0.000125976,4.06E-05,0.000134436,4.00E-05,0.004458838,0,0.000138383,3.03E-05,0.000345274,0.00010775,0,2.98E-05,7.20E-05,2.90E-05,0.00014016
803,BNZ,0.000163682,0,0.000252999,0.003656814,0,0,0.000938678,0,4.07E-05,4.22E-05,8.40E-05,0.000765915,3.76E-05,4.06E-05,0.000111004,9.17E-05,0.000224822,9.69E-05,0.000192929,8.53E-05,0.003743195,0,0.000231658,3.61E-05,0.000547082,0.000160075,0,0,0.000120691,4.66E-05,0.000130845
804,BNZ,0.000160105,0,0,0.004656692,0,0,0.001501888,0,0,9.85E-05,0,0.000809677,6.23E-05,0.000149986,0.000217052,0.000188809,0.000444693,0.000120308,0.000465669,0.000176066,0.004010629,0,0.000507621,8.31E-05,0.000219678,0.000404679,0.000377355,0,0.000211978,0.000160559,0
805,BNZ,3.81E-05,0,0.000237445,0.004622136,2.89E-05,0,0.000813987,0,2.81E-05,0.00013032,0.000140684,0.000353188,5.65E-05,6.54E-05,0.000154976,0.000125921,0.000220085,0.000123363,0.000288718,0.000113939,0.004622136,0,0.000252313,5.96E-05,0.000417219,0.000219347,0,0,0.000157707,6.95E-05,6.62E-05
