MouseID,Treatment_group,X268.105_0.35,X269.088_0.35,X111.044_2.768,X122.082_0.534,X130.087_0.452,X137.046_0.35,X142.035_0.315,X172.134_2.343,X175.148_2.71,X198.15_2.471,X200.165_3.207,X214.181_2.634,X216.16_2.471,X228.196_2.71,X230.176_2.586,X232.191_2.63,X242.212_2.78,X249.112_2.768,X256.227_2.847,X256.227_3.318,X258.207_2.775,X272.222_2.957,X278.248_3.1,X280.189_2.775,X280.264_3.159,X282.28_3.246,X296.259_2.971,X303.305_3.529,X303.648_2.884,X306.279_2.989,X306.279_3.212,X308.295_3.045,X308.295_3.285,X324.327_3.455,X327.232_3.01,X333.063_2.524,X334.311_3.335,X352.321_3.187,X368.316_2.962,X368.317_3.315,X369.17_2.767,X399.394_3.159,X399.395_3.152,X489.228_2.768,X506.255_3.172,X530.289_2.929,X568.341_2.887,X570.357_2.934,X599.241_2.765,X602.344_2.984,X604.362_2.948,X637.306_3.32,X666.434_3.024,X705.141_2.339,X776.148_2.398,X776.253_2.398,X776.411_2.398,X792.329_2.764,X811.309_2.773,X811.31_2.767,X819.211_2.398,X819.322_2.398,X819.378_2.399
631,BNZ,6.66E-05,0.000576991,0.000135891,9.67E-05,0.000551945,0.005804324,0.000751357,8.43E-05,0.000388142,3.91E-05,0.001068281,0.001107451,3.35E-05,0.02289681,4.57E-05,9.42E-05,9.25E-05,0.000141577,0.000747796,0,0.002204219,0.002389388,0.001613104,0,0.002385827,0.003393571,0.000238157,0.000145697,0,3.65E-05,0.0001274,0.002189975,0.001438618,0.000430873,0.000343243,0.004273122,0.00091516,0.003411376,2.67E-05,0,0.001556129,0,0,0.004771653,0,0.000177392,0.003215524,3.38E-05,0.000729992,0.000127456,0.000274948,0.00296982,9.92E-05,4.72E-05,0,3.48E-05,0,0.000186446,0,0.000203554,3.46E-05,3.81E-05,3.99E-05
632,BNZ,0,0,9.94E-05,0.000304705,0.001991535,0.002451522,0.000606347,0.000121815,0.000574984,0.000130283,0.001416551,0.001045425,5.16E-05,0.03225136,0.000117743,0.000138634,0.000140379,0.000123793,0.000935655,0,0.003679896,0.000342016,0.002488112,4.45E-05,0.00352831,0.003643307,0.000301145,0,0,0.000127432,0.000119641,0.00341854,0.00143746,0,0,0.006533907,0.000486829,0.003523083,0,0,0.002451522,0,0.000377959,0.006481636,4.15E-05,0.000356478,0.002346979,0,0.000857249,0.000116715,5.11E-05,0.00429147,6.03E-05,0,0,0,0,0.000187176,9.69E-05,0.000279351,0,0,0
633,BNZ,0.000130514,0.001266298,0.0001359,0,0.002002601,0.00741704,0.001179984,0.000218109,0.000652266,8.81E-05,0,0.001078842,7.45E-05,0.04113086,0.000103953,0.000110957,0.00015407,0.000192328,0.001227183,0,0.003135385,0.000849588,0.002845446,5.72E-05,0.003964745,0.004011944,0.000483316,0,0,0.000156505,0.000163932,0.004065886,0.001820546,0.000123273,0,0.007754178,0.000386178,0.002737562,0,0,0.00248808,0,0.000231313,0.006675336,0,0.000102138,0.003378125,0,0.000842845,0.000175128,0.000309177,0.004625536,0,0,0,0,0,0.000298368,0,0.000195352,0,0,0
634,BNZ,0.000105174,0.001269362,8.03E-05,0,0.001456173,0.00862208,0.00103465,9.73E-05,0.000467139,0.00012792,0.001805847,0.000819098,4.91E-05,0.02888397,9.62E-05,0.000136295,8.60E-05,6.17E-05,0.000852628,0,0.002395022,0.000598756,0.002222581,0,0.00324286,0.004196079,0.00028454,0,0,0.00015694,0.000135182,0.003166219,0.001992658,0.000187544,0,0.005843854,0.000675396,0.00322849,0,0,0.001714836,0,0.000113365,0.004670293,3.84E-05,0.000137868,0.005316949,0.000250004,0.000737667,0.000159465,0.000394324,0.004196079,6.01E-05,4.38E-05,0,4.10E-05,0,9.26E-05,0,0.000155142,0,0,3.89E-05
635,BNZ,0.000235018,0.001779202,4.78E-05,0.00020393,0.000806398,0.011264946,0.001360412,0.000286,0.000763308,0.000224575,0,0.001569706,0.000139723,0.04573691,0.000179758,0.00026424,0.000138359,6.54E-05,0.001317322,0,0.003761138,0.000439344,0.002548463,5.37E-05,0.003699581,0.00408739,0.000576238,0,0,0.000211193,0.00014285,0.004136636,0.001655886,7.64E-05,0,0.007756192,0.00038743,0.004228972,0.000100476,0,0.001852868,0,0.000259297,0.004438266,6.23E-05,8.76E-05,0.004826075,0.000140639,0.000634038,0.000261173,0.000335024,0.00451829,0,0,0,0,0,9.31E-05,0,0.000171101,0,0,0
666,infected,0,0.000777921,0.000149596,9.34E-05,0.001288794,0.007488937,0.001730002,0.000203944,0.000603759,6.77E-05,0.001073995,0.001393291,5.89E-05,0.03436783,0.000101495,8.36E-05,0.000126481,0.000223011,0.001015941,0,0.002745944,0.000743088,0.002664668,0,0.003518059,0.003047823,0.000454401,0,7.32E-05,0.000138309,7.62E-05,0.00346581,0.001015941,0,5.71E-05,0.006734238,0,0.003738663,5.12E-05,0,0.002165406,0,8.13E-05,0.008011421,7.98E-05,6.69E-05,0.007605044,0.000363639,0.000882417,0.000166805,0.000137542,0.002026077,0,9.79E-05,6.06E-05,8.65E-05,0,0.000332228,0,0.00016592,0.000142555,7.38E-05,6.88E-05
667,infected,0.000184124,0.001199256,0.000169725,0,0.001855259,0.003756643,0.001178756,0.00010769,0.000630378,6.88E-05,0.001558007,0.001383757,6.28E-05,0.03700267,0,0.000185089,0.000172662,0.000285999,0.001189006,0.000178193,0.001824509,0.000267156,0.002321636,0,0.00323389,0.005278775,0.000453359,0.000117462,6.13E-05,7.62E-05,0.000234884,0.00320314,0.002249886,0.000563753,0.000101133,0.005381276,0.001035255,0.003874518,0,0.000108739,0.00216276,0,4.27E-05,0.007841287,3.97E-05,0.000164418,0.006765032,0.000353517,0.00098913,0.000142866,0.000303993,0.004371646,7.84E-05,7.32E-05,0,4.44E-05,0,0.000389766,0,0.000117153,0,5.99E-05,0
668,infected,0,0.000493801,0.000172118,0,0.001944185,0.003007234,0.001045994,0.000131321,0.000721964,0.000199916,0.001489405,0.002154521,0,0.04280619,0.000174547,0.000184674,0.00017049,0.000241956,0.001205168,0,0.004394314,0.000504474,0.002671834,0.000110093,0.003280102,0.004326097,0.00042316,0,0,0.000137339,7.07E-05,0.00403049,0.001870284,0.000255954,5.04E-05,0.007674416,0.000710594,0.004724029,0,0,0.002853746,0,0.000165307,0.008242891,0,0.000235927,0.004718345,0,0.001250646,0.000158199,0.000138773,0.004462531,0.000224307,0,0,0,0,0.000260496,0,0.000240681,0,0,0
669,infected,0,0.00128922,6.79E-05,0.000188659,0.002098471,0.006139145,0.000993425,4.90E-05,0.000586009,6.65E-05,0.001908716,0.001333869,0,0.03728135,0,0.000167888,0.000121307,0.000165535,0.001105046,0.00017091,0.0030026,0.000652982,0.002511468,0,0.00348257,0.004436928,0.000293497,7.23E-05,0,7.15E-05,0.000149313,0.003415597,0.002243578,0.000392432,0,0.00680887,0.000993425,0.004079741,0,5.67E-05,0.002243578,0,6.33E-05,0.006083335,0,0.000501256,0.00552523,0.000207724,0.000887386,0.000133188,0.000122635,0.004263915,0.000316317,0,0,0,0,0.000261364,0,0.000232531,0,0,0
670,infected,0,0.001207578,0.00013019,0,0.001724277,0.008432595,0.000899896,0.000134492,0.000507595,6.72E-05,0.002020047,0.00078033,0,0.0363105,5.77E-05,7.60E-05,5.81E-05,0.000183905,0.000969119,0,0.003184249,0.000198417,0.00297658,4.96E-05,0.004279227,0.005179124,0.000301897,0,0,0.0001559,0.000167675,0.004379915,0.002328403,0.000114685,0,0.007866227,0.000635591,0.002945115,0,0,0.002655638,0,0.000273307,0.007425718,0,0.000366146,0.005103608,0.000176468,0.001170495,0.000143064,0.000147709,0.005021799,0.000215307,0,0,0,0,0.000291471,0,0.000305123,0,0,0
