MouseID,Ejection_Fraction,Fractional_Shortening,Diameter_s,Diameter_d,Volume_s,Volume_d,LVAW_s,LVAW_d,LVPW_s,LVPW_d,LV_Mass,LV_Mass_Cor,Cardiac_Index,Cardiac_Output,Stroke_Volume,R_Amplitude_(V),Heart_Rate,JT_Interval_(s),Tpeak_Tend_Interval_(s),QT_Interval_(s),QTc_(s),S_Amplitude_(V),QRS_Interval_(s),Q_Amplitude_(V),CD3+CD4+,CD3+CD4+IL-2+,CD3+CD4+IL-4+,CD3+CD4+IFNg+,CD3+CD4+IL-17+,CD3+CD4+TNFa+,CD3+CD8+,CD3+CD8+IL-2+,CD3+CD8+IL-4+,CD3+CD8+IFNg+,CD3+CD8+IL-17+,CD3+CD8+TNFa+,Liver_Weight_Body_Weight_ratio,Liver_Weight,Body_Weight,T_Amplitude_(V),Heart_Weight,Heart_Weight_Body_Weight_ratio,P_Amplitude_(V),RR_Interval_(s),P_Duration_(s),PR_Interval_(s)
554,51.9179445,26.01385,2.735472,3.697293,27.9013005,58.0300445,1.090921,0.685833,1.0942735,0.7812445,91.815252,73.4522015,0.523481928,11.673647,30.1287435,1.571,387.44882,0.00806,0.00539,0.01712,0.04182,-0.1235,0.009053,0.05231,0.008,0.0577,0.0062,0.0027,0.0186,0.0192,-0.042,0.0782,0.0048,0.0143,-0.0072,0.028,0.051569507,1.15,22.3,0.5053,0.15,0.006726457,0.09241,0.1682,0.0153,0.03835
555,64.9008225,34.5985545,2.227279,3.405452,16.7213255,47.631185,1.2380815,0.8776525,1.4564495,1.1489475,127.3163915,101.853113,0.473935476,12.9384385,30.90986,1.74,418.6413285,0.009213,0.007287,0.01754,0.04483,-0.6492,0.00832,-0.001375,0.018,0.0302,-0.0007,-0.0006,-0.0101,-0.0007,-0.012,0.0424,-0.0013,0.0054,-0.0086,0.0082,0.054578755,1.49,27.3,0.5556,0.16,0.005860806,0.1079,0.1532,0.0144,0.03762
581,55.495585,28.5863215,2.979265,4.171599,34.429504,77.335239,2.0654805,1.5154605,0.937855,0.643062,190.645033,152.5160265,0.813425639,18.464762,42.905735,1.492,430.35396,0.01477,0.01104,0.0224,0.05897,0.07838,0.007639,0.03275,0.024,-0.0041,0.0018,-0.00091,-0.0037,0.0009,-0.007,0.0003,0.0013,0.0002,0.0051,0.0011,0.057268722,1.3,22.7,0.393,0.13,0.005726872,0.199,0.1443,0.01336,0.03765
582,63.235549,33.471593,2.341552,3.5198385,18.9570175,51.5804135,1.7051855,1.0446375,1.2710535,0.978279,133.399399,106.7195195,0.564073674,12.127584,32.623396,0.8805,371.551697,0.01175,0.008221,0.01993,0.04984,-0.03676,0.00818,0.01296,0.015,0.0126,0.0098,0.0006,0.0054,0.0068,-0.019,0.0081,0.0074,0,0.0045,0.0078,0.058604651,1.26,21.5,0.3992,0.14,0.006511628,0.08845,0.1598,0.01929,0.0416
583,68.7612665,37.806328,2.2892435,3.6813395,17.9281755,57.4380915,1.7016115,1.016742,1.091952,0.743184,117.2134425,93.7707545,0.542924392,13.844572,39.5099155,1.539,350.5486455,0.006937,0.004851,0.01614,0.04145,-0.3492,0.009201,0.0286,0.017,-0.0001,-0.0097,-0.0003,-0.0044,-0.0028,-0.014,-0.0063,-0.0027,0.0015,0.0109,-0.004,0.056862745,1.45,25.5,0.3111,0.12,0.004705882,0.1093,0.1516,0.01293,0.0378
584,76.9397435,44.368061,1.7511785,3.1502335,9.073378,39.534789,1.43667,0.831412,1.5747865,1.084889,104.004534,83.2036275,0.476625741,12.868895,30.461411,1.024,422.008547,0.01065,0.008036,0.01956,0.05197,-0.1419,0.008914,0.02765,-0.016,0.0161,0.0059,0.0038,0.0029,0.0055,-0.014,0.0158,0.0023,0.0059,-0.0025,0.0076,0.060740741,1.64,27,0.2358,0.18,0.006666667,0.1125,0.1419,0.0161,0.03726
585,85.5267555,53.550325,1.499832,3.228918,6.059986,41.868516,1.7605675,1.086291,1.527856,0.9517145,118.402012,94.7216095,0.58418152,14.604538,35.80853,0.7303,407.8513725,0.005793,0.003979,0.01658,0.04213,-0.3148,0.0108,0.01238,-0.034,0.0199,-0.0014,0.0047,0.0058,0.004,0.016,0.0083,0.0005,0.003,0.004,0.0041,0.062,1.55,25,0.3667,0.19,0.0076,0.1389,0.1549,0.01596,0.03709
611,47.4829395,23.507808,3.1025835,4.0560875,38.0027135,72.363354,1.5069405,1.0575095,0.744759,0.5286735,119.152612,95.3220895,0.572630106,13.4568075,34.3606405,1.075,391.796146,0.008236,0.006063,0.01625,0.04239,-0.1156,0.008016,0.0337,0,-0.0015,0.0013,0.0033,0.0005,0.0012,-0.009,-0.0015,0.0033,0.0003,0.038,-0.0041,0.06,1.41,23.5,0.351,0.15,0.006382979,0.133,0.147,0.01369,0.03816
612,62.1780775,32.926158,2.4804825,3.7102805,21.938631,59.0612185,1.499168,0.965666,1.202982,0.814395,119.589234,95.671387,0.668936974,15.5862315,37.122587,0.9952,418.1771395,0.007926,0.005831,0.01632,0.04372,-0.4279,0.008394,0.02492,0.081,-0.03,-0.0002,-0.001,-0.0071,-0.0054,-0.044,-0.041,-0.0006,-0.0053,-0.0386,-0.0056,0.056652361,1.32,23.3,0.4886,0.17,0.007296137,0.1077,0.1394,0.01512,0.038
613,60.4921355,31.677743,2.5456465,3.7262765,23.354014,59.1430065,1.589103,1.007779,1.0716145,0.8235025,126.263157,101.010525,0.630572543,14.5031685,35.7889925,0.8567,405.1041535,0.01046,0.008234,0.01938,0.05015,-0.2312,0.008863,0.009549,0.002,0.0158,-0.0014,0.0028,0.0003,0.0043,0.005,0.0186,0.0021,0.003,0.0261,-0.0009,0.056956522,1.31,23,0.3427,0.12,0.005217391,0.06655,0.1494,0.01304,0.03235
