filename,AUC
X550.313_2.305_3207,0.6192
X550.314_2.308_9103,0.5423
X552.33_3.018_9568,0.5
X552.403_1.92_2437,0.6091
X554.292_4.85_9001,0.4986
X555.043_1.492_86,0.5
X558.295_2.546_5212,0.4843
X558.317_2.336_2933,0.4805
X558.317_2.406_7799,0.4786
X559.472_1.07_2255,0.6159
X565.313_1.029_7457,0.6264
X566.682_8.637_4583,0.4352
X574.396_1.34_6674,0.5
X576.329_3.238_9121,0.5
X576.329_3.271_7635,0.5
X578.337_1.631_9502,0.4929
X578.338_1.508_5721,0.5492
X579.063_1.368_6707,0.5
X581.387_1.116_6717,0.5
X581.405_1.341_6682,0.5
X582.656_8.635_6305,0.4918
X583.254_1.173_8162,0.5742
X584.31_2.078_4261,0.5003
X586.431_1.054_9567,0.5
X589.401_1.353_6679,0.5
X591.461_1.084_2345,0.5448
X594.376_1.81_1682,0.4813
X595.493_1.063_9110,0.5124
X598.29_2.484_5529,0.4951
X600.329_2.813_7527,0.5
X601.334_1.813_3249,0.5582
X603.401_1.119_6715,0.5
X603.534_1.156_2523,0.5871
X603.535_1.166_6421,0.583
X603.791_6.328_8368,0.4975
X606.369_1.647_8131,0.4975
X610.37_2.017_4311,0.5464
X610.407_1.106_6727,0.5
X611.363_1.286_8197,0.5632
X611.364_1.253_1313,0.5698
X611.413_1.364_6696,0.5
X613.422_1.083_7713,0.4588
X615.243_2.358_2866,0.4978
X622.407_1.747_9091,0.5687
X625.329_4.903_4933,0.5192
X627.533_1.142_2209,0.5497
X627.533_1.168_6418,0.5319
X628.381_1.649_8133,0.4975
X630.417_1.368_8839,0.4929
X633.449_1.103_7694,0.5758
X638.402_1.883_3973,0.5604
X638.498_1.275_6597,0.5926
X638.499_1.263_1196,0.5495
X640.435_1.342_6687,0.5
X645.092_1.369_8838,0.4929
X652.41_1.516_161,0.5154
X654.434_1.108_6723,0.5
X655.315_0.973_2350,0.5409
X662.438_1.309_8153,0.5918
X662.445_1.335_6695,0.5
X664.417_1.594_3059,0.6698
X666.433_1.696_5612,0.6187
X666.433_1.699_1552,0.5788
X669.457_1.337_6684,0.5
X674.437_1.576_1651,0.5418
X674.441_1.372_8166,0.4857
X674.459_1.296_9156,0.5385
X678.432_1.583_4158,0.6967
X678.432_1.668_4263,0.5104
X680.423_1.385_7614,0.4835
X684.46_1.374_6699,0.5
X685.27_1.46_1355,0.5201
X686.437_1.557_3093,0.567
X686.572_1.451_4591,0.5538
X690.467_1.519_1559,0.7137
X692.405_1.546_8257,0.4981
X694.393_1.322_9478,0.5124
X694.42_1.607_8118,0.5049
X698.476_1.347_6693,0.5
X698.555_1.259_6573,0.6231
X698.606_1.266_2298,0.6201
X698.606_1.276_7039,0.5374
X706.536_1.472_9473,0.5313
X706.536_1.567_3252,0.4714
X707.426_2.422_5821,0.5505
X713.482_1.345_6698,0.5
X714.468_1.537_5007,0.5923
X718.463_1.624_3944,0.5431
X720.488_1.339_6700,0.5
X724.449_1.385_7494,0.483
X732.553_1.718_9096,0.5445
X740.462_1.501_610,0.4942
X744.588_1.631_4235,0.5286
X746.567_1.47_9198,0.575
X746.567_1.507_3764,0.5481
X746.603_1.552_2524,0.6049
X757.619_1.656_2504,0.5036
X758.567_1.493_1327,0.5857
X760.505_1.362_8840,0.5049
X764.52_1.308_2768,0.5577
X768.55_1.306_2467,0.5412
X772.582_1.527_3613,0.5648
X772.582_1.629_6950,0.3758
X784.582_1.509_2053,0.578
X794.603_1.408_2142,0.5549
X799.667_1.866_4912,0.5547
X799.667_1.925_3218,0.5492
X810.599_1.513_3436,0.5203
X812.502_1.392_7620,0.4824
X818.588_1.511_2202,0.5802
X819.166_5.366_6904,0.4571
X830.552_1.515_2490,0.5698
X834.589_1.537_5453,0.4882
X838.627_1.384_4166,0.6104
X848.511_1.658_8322,0.4975
X852.558_1.166_4338,0.5544
X856.613_1.014_7447,0.5368
X866.588_1.513_3250,0.5797
X869.409_1.337_1178,0.4706
X870.701_12.368_2905,0.5052
X872.562_1.533_2914,0.5731
X874.578_1.519_5346,0.4885
X88.04_5.902_3904,0.4824
X904.59_1.141_2337,0.6066
X925.519_1.134_2738,0.5593
X963.639_2.284_2317,0.6
X977.648_2.257_2426,0.5242
