filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X543_Group1A_50dpi_LV_bottom_263_B_B1_P133.mzXML,543,Group1A,naive,50,LV_bottom,B1,P133,0.039089684
X543_Group1A_50dpi_LV_top_263_B_B1_P129.mzXML,543,Group1A,naive,50,LV_top,B1,P129,0.247178849
X543_Group1A_50dpi_RA_263_B_B1_P125.mzXML,543,Group1A,naive,50,RA,B1,P125,0.083128318
X543_Group1A_50dpi_RV_bottom_263_B_B1_P141.mzXML,543,Group1A,naive,50,RV_bottom,B1,P141,0.088820912
X543_Group1A_50dpi_RV_top_263_B_B1_P137.mzXML,543,Group1A,naive,50,RV_top,B1,P137,0.07768985
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,544,Group1A,naive,50,LA,B2,P121,0.124908536
X544_Group1A_50dpi_LV_bottom_264_B_B2_P133.mzXML,544,Group1A,naive,50,LV_bottom,B2,P133,0.160162434
X544_Group1A_50dpi_LV_top_264_B_B2_P129.mzXML,544,Group1A,naive,50,LV_top,B2,P129,0.241444186
X544_Group1A_50dpi_RA_264_B_B2_P125.mzXML,544,Group1A,naive,50,RA,B2,P125,0.054397623
X544_Group1A_50dpi_RV_bottom_264_B_B2_P141.mzXML,544,Group1A,naive,50,RV_bottom,B2,P141,0.128224971
X544_Group1A_50dpi_RV_top_264_B_B2_P137.mzXML,544,Group1A,naive,50,RV_top,B2,P137,0.100341047
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,545,Group1A,naive,50,LA,B3,P121,0.123740369
X545_Group1A_50dpi_LV_bottom_265_B_B3_P133.mzXML,545,Group1A,naive,50,LV_bottom,B3,P133,0.148236847
X545_Group1A_50dpi_LV_top_265_B_B3_P129.mzXML,545,Group1A,naive,50,LV_top,B3,P129,0.247755275
X545_Group1A_50dpi_RA_265_B_B3_P125.mzXML,545,Group1A,naive,50,RA,B3,P125,0.038275079
X545_Group1A_50dpi_RV_bottom_265_B_B3_P141.mzXML,545,Group1A,naive,50,RV_bottom,B3,P141,0.113269834
X545_Group1A_50dpi_RV_top_265_B_B3_P137.mzXML,545,Group1A,naive,50,RV_top,B3,P137,0.082895322
X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML,506,Group1B,naive,75,LA,C7,P121,0.160049921
X506_Group1B_70dpi_LV_bottom_281_B_C7_P133.mzXML,506,Group1B,naive,75,LV_bottom,C7,P133,0.144589004
