"","fch","pval","pAdj"
"X123.079_4.851",1.00492919075412,0.899629665283288,1
"X680.413_3.014",Inf,0.350647889704459,0.5637367217413
"X622.372_3.037",1.4537061654674,0.124020705237068,0.5637367217413
"X705.225_2.339",0.95572442420407,0.801638711778207,0.956824644893648
"X166.087_0.522",2.43064130840507,0.109971194796638,0.5637367217413
"X652.418_3.02",0.719350289090255,0.242529099086007,0.5637367217413
"X676.419_3.043",0.957918259635205,0.983451990611901,1
"X682.363_3.329",Inf,0.350647889704459,0.5637367217413
"X141.959_6.151",1.15760002703433,1,1
"X153.041_0.412",2.95179436902569,0.523998655936988,0.738665988524313
"X370.332_3.032",1.08784444656896,0.430596710183898,0.65673437041868
"X277.216_3.018",4.31921649946832,2.99444989476685e-05,0.0042058409885589
"X306.279_2.989",1.22630574547432,0.184117029278078,0.5637367217413
"X475.989_2.164",15.965573955165,4.51189039154924e-06,0.00139417413098871
"X705.141_2.339",0.944118004946127,0.834686811544325,0.976962972603017
"X652.418_3.078",1.20237677461882,0.403842938764215,0.623937340390712
"X554.288_2.924",1.15533221834831,0.436289427525659,0.662799572789718
"X367.336_3.39",1.32217591793809,0.30496557017607,0.5637367217413
"X676.454_3.145",1.2441672899366,0.505967062705705,0.738665988524313
"X440.359_2.985",0.488777089783282,0.286587192008801,0.5637367217413
"X226.081_2.237",1.13423631445928,0.299543243926459,0.5637367217413
"X718.429_3.009",0.657208310106057,0.983389044073636,1
"X120.102_0.391",0.892664078012476,0.557807611460975,0.771371254092647
"X142.035_0.315",1.50047645584364,0.00864180912639655,0.15707758941509
"X482.361_2.958",0.454791811886705,0.0487894065141654,0.392602255543674
"X426.358_2.916",2.93271429138572,0.335097022024608,0.5637367217413
"X119.049_2.77",Inf,0.350647889704459,0.5637367217413
"X245.139_2.376",0.480203463727746,0.393930749066161,0.61106727641287
"X149.082_4.735",2.4148594426031,0.167112241621048,0.5637367217413
"X566.382_3.018",0.793058392243597,0.568323001828471,0.771371254092647
"X285.217_3.322",0.590348895477263,1,1
"X368.316_2.962",0,0.350647889704459,0.5637367217413
"X268.227_2.861",0.464096151469029,0.00945172755089287,0.165942262115108
"X682.429_3.009",1.08820479145324,0.584681190967667,0.77940676449098
"X158.962_2.581",2.05768357936837,0.174245224153765,0.5637367217413
"X289.014_2.395",0.884552224630162,0.249556194554941,0.5637367217413
"X696.445_3.083",1.99097401070776,0.0137936038365736,0.209645992590638
"X638.366_2.95",0,0.350647889704459,0.5637367217413
"X776.253_2.398",2.73316336880152,0.00141927139852925,0.0592641705602079
"X296.146_2.932",0.165689347495407,1,1
"X720.445_3.09",1.42369164061712,0.654749244038902,0.823098113946382
"X272.222_3.45",0,0.164394222391658,0.5637367217413
"X293.211_2.931",9.3222797452943,0.000196220172017953,0.0189475103604836
"X192.125_4.749",Inf,0.164394222391658,0.5637367217413
"X141.959_1.787",3.77235761589404,1,1
"X141.959_1.904",4.05131502890173,1,1
"X230.176_2.586",1.20200045303259,0.280574328620013,0.5637367217413
"X238.142_2.469",0.915422249147392,1,1
"X534.286_3.175",0.621940340678344,0.931682454039842,1
"X158.962_2.089",2.03661861176126,0.442870944068807,0.670819224104223
"X141.959_1.562",Inf,0.350647889704459,0.5637367217413
