filename,NGP24h
org_pos_617,1
org_pos_1148,1
org_pos_1456,1
org_pos_1794,1
org_pos_2180,1
org_pos_2395,1
org_pos_2693,1
org_pos_2725,1
org_pos_3131,1
aq_pos_1938,1
org_pos_537,1
org_pos_1172,1
org_pos_2688,1
org_pos_2967,1
org_pos_3136,1
org_pos_3251,1
aq_pos_279,1
aq_pos_2963,1
org_pos_275,1
org_pos_1417,1
org_pos_1720,1
org_pos_2041,1
org_pos_2657,1
org_pos_3004,1
org_pos_3632,1
aq_pos_2233,1
aq_pos_2286,1
aq_pos_2646,1
org_pos_603,1
org_pos_1273,1
org_pos_1425,1
org_pos_1819,1
org_pos_2670,1
org_pos_2788,1
org_pos_3031,1
org_pos_3605,1
aq_pos_2072,1
aq_pos_2172,1
aq_pos_2239,1
aq_pos_2781,1
aq_pos_4624,1
org_pos_1237,1
org_pos_1526,1
org_pos_2057,1
org_pos_2521,1
org_pos_3107,1
org_pos_3463,1
org_pos_3483,1
aq_pos_2099,1
aq_pos_2102,1
org_pos_1214,1
org_pos_2533,1
org_pos_2916,1
org_pos_3137,1
org_pos_3166,1
aq_pos_2406,1
aq_pos_2421,1
aq_pos_3307,1
org_pos_243,1
org_pos_1576,1
org_pos_2047,1
org_pos_2907,1
org_pos_2929,1
org_pos_3075,1
org_pos_3176,1
org_pos_3301,1
aq_pos_2086,1
aq_pos_2640,1
aq_pos_2745,1
aq_pos_3009,1
aq_pos_5193,1
org_pos_93,1
org_pos_2073,1
org_pos_2664,1
org_pos_3628,1
aq_pos_1631,1
aq_pos_3209,1
aq_pos_4547,1
aq_pos_4568,1
org_pos_1587,1
org_pos_1714,1
org_pos_3247,1
org_pos_3290,1
aq_pos_2319,1
aq_pos_4565,1
org_pos_43,1
org_pos_132,1
org_pos_307,1
org_pos_1076,1
org_pos_1169,1
org_pos_1286,1
org_pos_1648,1
org_pos_1993,1
org_pos_2555,1
org_pos_2621,1
org_pos_2628,1
aq_pos_87,1
aq_pos_306,1
aq_pos_746,1
org_pos_203,1
org_pos_716,1
org_pos_1054,1
org_pos_1489,1
org_pos_2925,1
org_pos_3145,1
org_pos_3497,1
aq_pos_2676,1
aq_pos_2736,1
aq_pos_2788,1
aq_pos_3675,1
aq_pos_4245,1
org_pos_1203,1
org_pos_1492,1
org_pos_2862,1
org_pos_2937,1
aq_pos_1311,1
aq_pos_2064,1
aq_pos_2069,1
aq_pos_2202,1
aq_pos_3747,1
aq_pos_4858,1
aq_pos_5415,1
org_pos_1205,1
org_pos_1514,1
org_pos_2680,1
org_pos_2774,1
org_pos_2930,1
org_pos_3072,1
aq_pos_2798,1
aq_pos_4056,1
org_pos_943,1
org_pos_1424,1
org_pos_1484,1
org_pos_2920,1
org_pos_2992,1
org_pos_3025,1
org_pos_3241,1
org_pos_3557,1
aq_pos_129,1
aq_pos_802,1
aq_pos_3106,1
aq_pos_3364,1
aq_pos_4131,1
aq_pos_4717,1
aq_pos_5313,1
org_pos_219,1
org_pos_499,1
