DPI,DPI_50,DPI_75,DPI_142,sum
X349.237_2.852,4.44E-05,0.00E+00,0,0.0000444
X319.263_3.495,0.00E+00,0.00E+00,0.0000445,0.0000445
X380.147_2.27,0.00E+00,0.00E+00,0.000045,0.000045
X285.221_3.029,0.00E+00,0.00E+00,0.0000452,0.0000452
X824.615_3.373,0.00E+00,4.52E-05,0,0.0000452
X272.186_2.203,0.00E+00,4.53E-05,0,0.0000453
X804.516_3.35,0.00E+00,0.00E+00,0.0000453,0.0000453
X353.146_2.624,4.55E-05,0.00E+00,0,0.0000455
X776.579_3.701,4.56E-05,0.00E+00,0,0.0000456
X111.044_0.844,0.00E+00,4.56E-05,0,0.0000456
X732.553_3.992,4.59E-05,0.00E+00,0,0.0000459
X455.587_2.2,0.00E+00,0.00E+00,0.0000461,0.0000461
X291.268_3.054,0.00E+00,3.79E-05,0.00000828,0.00004618
X189.124_0.452,4.63E-05,0.00E+00,0,0.0000463
X902.539_3.345,0.00E+00,0.00E+00,0.0000465,0.0000465
X539.024_0.302,0.00E+00,0.00E+00,0.0000467,0.0000467
X281.139_2.435,2.00E-05,1.43E-05,0.0000124,0.0000467
X434.195_2.349,0.00E+00,0.00E+00,0.0000468,0.0000468
X730.538_3.749,1.59E-05,0.00E+00,0.0000311,0.000047
X820.584_4.007,0.00E+00,0.00E+00,0.0000472,0.0000472
X761.578_3.999,4.72E-05,0.00E+00,0,0.0000472
X408.237_2.66,3.08E-05,1.64E-05,0,0.0000472
X786.164_2.355,0.00E+00,0.00E+00,0.0000476,0.0000476
X230.212_2.638,0.00E+00,0.00E+00,0.0000477,0.0000477
X814.632_5.594,0.00E+00,0.00E+00,0.000048,0.000048
X746.568_3.705,0.00E+00,4.80E-05,0,0.000048
X121.101_0.439,0.00E+00,4.81E-05,0,0.0000481
X263.129_2.538,4.81E-05,0.00E+00,0,0.0000481
X128.018_0.344,2.26E-05,2.55E-05,0,0.0000481
X448.176_2.189,0.00E+00,0.00E+00,0.0000482,0.0000482
X396.311_2.801,2.10E-05,1.48E-05,0.0000126,0.0000484
X770.604_3.441,0.00E+00,4.86E-05,0,0.0000486
X809.588_4.195,0.00E+00,0.00E+00,0.0000487,0.0000487
X365.196_2.646,2.36E-05,0.00E+00,0.0000252,0.0000488
X412.342_2.872,3.45E-05,1.47E-05,0,0.0000492
X136.076_6.406,4.92E-05,0.00E+00,0,0.0000492
X408.354_5.59,0.00E+00,0.00E+00,0.0000492,0.0000492
X746.51_3.501,0.00E+00,0.00E+00,0.0000492,0.0000492
X856.584_3.669,0.00E+00,0.00E+00,0.0000492,0.0000492
X660.424_3.234,0.00E+00,0.00E+00,0.0000498,0.0000498
X345.155_2.651,5.00E-05,0.00E+00,0,0.00005
X251.086_2.309,5.00E-05,0.00E+00,0,0.00005
X115.964_5.922,5.01E-05,0.00E+00,0,0.0000501
X717.59_5.578,0.00E+00,5.02E-05,0,0.0000502
X486.191_2.411,5.05E-05,0.00E+00,0,0.0000505
X399.349_5.591,0.00E+00,0.00E+00,0.0000506,0.0000506
X546.269_2.157,2.03E-05,3.03E-05,0,0.0000506
X217.104_2.956,5.06E-05,0.00E+00,0,0.0000506
X692.522_3.611,1.48E-05,0.00E+00,0.000036,0.0000508
X680.448_3.166,0.00E+00,3.01E-05,0.0000208,0.0000509
X350.305_3.336,1.49E-05,0.00E+00,0.0000361,0.000051
X502.224_2.413,1.78E-05,2.14E-05,0.0000118,0.000051
X584.207_2.096,0.00E+00,0.00E+00,0.0000511,0.0000511
X437.194_2.847,5.11E-05,0.00E+00,0,0.0000511
X209.073_2.279,5.13E-05,0.00E+00,0,0.0000513
X862.632_3.405,0.00E+00,5.15E-05,0,0.0000515
X382.866_0.317,5.16E-05,0.00E+00,0,0.0000516
X213.001_0.324,0.00E+00,5.16E-05,0,0.0000516
X689.558_3.728,1.62E-05,0.00E+00,0.0000357,0.0000519
X732.553_4.124,0.00E+00,5.19E-05,0,0.0000519
X325.238_2.849,5.20E-05,0.00E+00,0,0.000052
X832.532_3.351,0.00E+00,0.00E+00,0.0000521,0.0000521
X205.098_1.22,5.22E-05,0.00E+00,0,0.0000522
X444.309_3.068,0.00E+00,0.00E+00,0.0000522,0.0000522
X288.075_0.36,0.00E+00,5.24E-05,0,0.0000524
X263.129_2.416,5.24E-05,0.00E+00,0,0.0000524
X780.546_2.982,0.00E+00,5.26E-05,0,0.0000526
X215.016_0.409,0.00E+00,5.27E-05,0,0.0000527
X357.301_4.199,0.00E+00,0.00E+00,0.0000527,0.0000527
X592.326_2.527,0.00E+00,5.27E-05,0,0.0000527
X484.246_2.696,5.28E-05,0.00E+00,0,0.0000528
X471.432_5.599,5.28E-05,0.00E+00,0,0.0000528
X523.3_2.941,5.29E-05,0.00E+00,0,0.0000529
X850.616_3.346,5.30E-05,0.00E+00,0,0.000053
X463.751_2.846,0.00E+00,0.00E+00,0.0000531,0.0000531
X327.216_2.819,3.54E-05,0.00E+00,0.0000178,0.0000532
X431.206_2.521,5.34E-05,0.00E+00,0,0.0000534
X820.583_4.223,0.00E+00,0.00E+00,0.0000534,0.0000534
X562.315_2.907,2.26E-05,3.10E-05,0,0.0000536
X377.155_2.375,0.00E+00,0.00E+00,0.0000536,0.0000536
X390.212_2.748,5.38E-05,0.00E+00,0,0.0000538
X770.604_3.318,0.00E+00,5.39E-05,0,0.0000539
X728.558_3.542,0.00E+00,5.41E-05,0,0.0000541
X756.516_3.487,5.43E-05,0.00E+00,0,0.0000543
X413.324_3.281,0.00E+00,5.44E-05,0,0.0000544
X529.284_2.184,1.98E-05,3.48E-05,0,0.0000546
