organ,LA,LVB,LVT,RA,RVB,RVT,sum_all
X515.314_2.928,0.00E+00,2.00E-05,0.00E+00,0.00E+00,0.00E+00,0,0.00002
X367.212_2.569,0.00E+00,0.00E+00,0.00E+00,2.01E-05,0.00E+00,0,0.0000201
X814.535_5.545,0.00E+00,0.00E+00,2.01E-05,0.00E+00,0.00E+00,0,0.0000201
X423.276_2.373,2.02E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000202
X445.367_3.761,0.00E+00,0.00E+00,2.02E-05,0.00E+00,0.00E+00,0,0.0000202
X488.242_2.487,2.03E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000203
X187.108_0.35,0.00E+00,0.00E+00,2.04E-05,0.00E+00,0.00E+00,0,0.0000204
X906.569_3.206,0.00E+00,0.00E+00,0.00E+00,2.05E-05,0.00E+00,0,0.0000205
X262.165_0.431,0.00E+00,0.00E+00,0.00E+00,2.08E-05,0.00E+00,0,0.0000208
X394.259_2.837,0.00E+00,0.00E+00,2.08E-05,0.00E+00,0.00E+00,0,0.0000208
X441.21_2.551,2.10E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000021
X358.235_2.594,0.00E+00,0.00E+00,2.10E-05,0.00E+00,0.00E+00,0,0.000021
X405.192_2.494,0.00E+00,0.00E+00,2.10E-05,0.00E+00,0.00E+00,0,0.000021
X892.53_3.232,0.00E+00,0.00E+00,2.10E-05,0.00E+00,0.00E+00,0,0.000021
X724.527_5.587,0.00E+00,0.00E+00,2.10E-05,0.00E+00,0.00E+00,0,0.000021
X781.644_2.924,0.00E+00,2.10E-05,0.00E+00,0.00E+00,0.00E+00,0,0.000021
X683.511_2.365,2.11E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000211
X752.485_3.364,0.00E+00,0.00E+00,2.11E-05,0.00E+00,0.00E+00,0,0.00002112
X1001.653_2.963,0.00E+00,0.00E+00,2.12E-05,0.00E+00,0.00E+00,0,0.00002115
X818.552_3.289,0.00E+00,0.00E+00,0.00E+00,2.12E-05,0.00E+00,0,0.0000212
X357.206_2.627,0.00E+00,0.00E+00,2.12E-05,0.00E+00,0.00E+00,0,0.0000212
X258.818_0.339,2.12E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000212
X342.161_2.53,0.00E+00,2.13E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000213
X866.516_2.403,0.00E+00,0.00E+00,2.14E-05,0.00E+00,0.00E+00,0,0.0000214
X194.155_2.386,0.00E+00,2.15E-05,0.00E+00,0.00E+00,0.00E+00,0,0.0000215
X311.162_3.045,2.15E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000215
