filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X440.337_2.765,X442.353_2.823,X105.07_2.767,X119.049_2.765,X128.018_0.344,X136.062_0.301,X136.097_0.551,X137.046_0.31,X137.046_0.42,X203.007_0.309,X249.112_2.768,X251.037_0.323,X256.264_3.225,X258.207_2.775,X267.123_2.767,X285.133_2.768,X291.146_2.39,X296.258_2.976,X301.115_0.328,X301.115_0.413,X324.327_3.455,X351.217_2.741,X352.306_2.997,X369.17_2.767,X380.993_2.164,X386.717_2.856,X387.193_2.842,X396.332_2.991,X397.22_2.071,X400.97_2.127,X416.337_2.79,X420.899_2.103,X426.484_2.164,X430.223_2.769,X440.359_2.985,X458.23_2.165,X466.25_2.226,X475.989_2.164,X476.24_2.164,X484.385_2.982,X489.228_2.768,X494.325_2.865,X570.357_2.934,X580.361_2.989,X580.362_2.984,X599.241_2.765,X604.362_2.948,X620.356_2.913,X682.363_3.329,X682.364_3.313,X764.524_3.729,X790.38_2.768,X792.329_2.764,X795.335_2.768,X811.309_2.773
X526_Group1B_70dpi_LV_bottom_286_B_C12_P133.mzXML,526,Group1B,70,LV_bottom,C12,P133,0,4.42E-05,0.002428512,2.81E-05,0,0.000924777,0,0.015076202,0.013211105,0.000269118,0,0.000687755,0.000338602,0.000734382,0.002008865,0.000998604,0.001476535,0.000213286,0.000172202,0.000164378,0,0.000509016,0,0.000509016,4.45E-05,3.48E-05,0.000184152,0,3.09E-05,0,0.000165406,0.000112962,4.57E-05,7.20E-05,0,4.37E-05,4.08E-05,0.000497359,0.000524559,0,0.00047016,0,0.001783499,0.008936924,0,3.72E-05,0.001021918,0.000714954,0.000266875,0,0,0.000761581,0,0.000329583,7.44E-05
X527_Group1B_70dpi_LV_bottom_287_B_D1_P133.mzXML,527,Group1B,70,LV_bottom,D1,P133,0.00021749,0.000316884,0.001373166,0,0,0.000792211,0,0.008684982,0.012734062,0.000305148,0,0,0.00091251,0.001059216,0.001144305,0.000583889,0.001534542,0.000239996,0.000195671,0.000131396,0,0.000868498,0,0.000269564,0,2.52E-05,0.000207647,0,0,0,0.000241156,0.000102183,0,2.21E-05,0,0,0,0.000157591,0.000163788,0,0.000343292,0,0.002080288,0,0.00938917,0,0.001041611,0.000941851,7.77E-05,0,5.46E-05,0.000384369,0,0.000206293,3.52E-05
X528_Group1B_70dpi_LV_bottom_288_B_D2_P133.mzXML,528,Group1B,70,LV_bottom,D2,P133,9.02E-05,0.000172792,0.002034639,5.57E-05,0,0.000296212,0,0.01053739,0.007866623,0.000191227,2.57E-05,0.000262221,0.000903205,0.000910489,0.001689867,0.000990612,0.000786662,0.000247653,0.000144288,8.14E-05,0,0.0002058,0,0.000480738,4.67E-05,0,0.00019724,0,3.39E-05,0,0.000135928,0.000121921,3.39E-05,3.85E-05,2.19E-05,3.76E-05,7.97E-05,0.000505018,0.000509874,0,0.001201845,0,0.000937196,0,0.007866623,6.06E-05,0.000847362,0.000468598,2.83E-05,0,0,0.000985756,1.89E-05,0.000553577,5.34E-05
X529_Group1B_70dpi_LV_bottom_289_B_D3_P133.mzXML,529,Group1B,70,LV_bottom,D3,P133,0.000336137,0.00046938,0.003361366,0,0,0.000611708,0,0.010265792,0.011689073,0.000122542,5.63E-05,0,0.00071164,0.000838827,0.002722403,0.00145962,0.00119919,0.000212592,0.000210448,0.000104769,0,0.00067833,0,0.000696499,3.53E-05,0,0.000175137,0,2.11E-05,0,0.000532973,9.36E-05,2.61E-05,0.000111263,0,0,0,0.000241187,0.000261931,0,0.001432366,0,0.00092059,0.012052464,0,0.000127341,0.001347574,0.000717697,0.000120593,0,0,0.001223416,0,0.000648047,0.000156351
X530_Group1B_70dpi_LV_bottom_290_B_D4_P133.mzXML,530,Group1B,70,LV_bottom,D4,P133,0.000513613,0.000957441,0.003461304,0.000128911,0,0.000798333,0,0.011919167,0.005443179,0.000275514,6.22E-05,0,0.000759254,0.000965815,0.002903029,0.001627371,0.001013269,0.000247735,0.000156271,4.38E-05,0,0.000499656,0,0.000795542,4.21E-05,0,3.54E-05,1.88E-05,5.79E-05,0,0.000773211,0.000146303,0,0.00012898,0,3.37E-05,2.63E-05,0.000379627,0.000396375,0,0.001886969,0,0.001331485,0.009909377,0,0.00018272,0.00132032,0.000561066,0.000119992,0,0,0.001292406,5.11E-05,0.000801124,0.000156253
X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,531,Group1C,142,LV_bottom,A6,P132,0,0,0.003596194,0.000107639,0,0.000763763,0,0.012398305,0.009521351,0.000207325,3.66E-05,0.000235976,0.000417843,0.002418012,0.003161225,0.001794672,0.000547991,0.000293443,0.000199861,0.000119776,0,5.64E-05,0,0.000849387,7.84E-05,7.38E-05,6.28E-05,0,3.63E-05,3.07E-05,0,0.000105935,2.88E-05,0.000151261,0,4.89E-05,4.49E-05,0.000431543,0.000482917,0,0.002185116,0,0.001212431,0.009213105,0,0.000280413,0.000626765,0.00034592,0.000112422,0,0,0.00188372,8.53E-05,0.001150782,0.000161828
X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,532,Group1C,142,LV_bottom,A7,P132,0,0,0.004184102,0,0,0.000943397,0,0.014920666,0.015749592,0.000251807,7.32E-05,0.00041841,0.000844715,0.002577565,0.003627538,0.001981528,0.000175224,0.000376044,0.000360287,0.00020636,0,7.21E-05,0,0.001144707,0.000171073,0,5.09E-05,3.07E-05,0.000144353,0,4.01E-05,0.000124018,0.000453936,0.000168482,0,0.000152585,0.000102194,0.001117076,0.001215758,0,0.002707825,0,0.002072315,0.011249709,0,0.000357279,0.000994711,0.000442094,0.000321391,0,0,0.002245995,3.99E-05,0.001480225,0.000288184
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,533,Group1C,142,LV_bottom,A8,P132,0,0,0.00318051,8.13E-05,0,0.001072193,0,0.015017254,0.010721926,0.00018075,3.08E-05,0.000459043,0.00078693,0.002344397,0.002675563,0.001472216,0.000150483,0.000354119,0.000172857,8.34E-05,0,0.000162483,2.98E-05,0.000682006,0.000241619,0,0.000142234,7.51E-05,0.000104325,0.000124235,3.11E-05,0.000145851,0.000114303,0.000152644,7.17E-05,0.000300018,0.000151091,0.001147607,0.001213184,3.33E-05,0.001534514,0.000737747,0.002950989,0.008426712,0,0.000230648,0.00075742,0.000308954,0.000298353,0,0,0.001603371,3.10E-05,0.000891854,0.000151068
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,534,Group1C,142,LV_bottom,A9,P132,0,0,0.003522334,0.000105216,0,0.001145864,0,0.020190782,0.01123757,0.000206309,2.80E-05,0.000515823,0.000449503,0.002781759,0.003021248,0.001584313,0.000582143,0.000375814,0.000397921,0.000150079,0,0.000105638,0,0.000946903,0.000119698,7.16E-05,0.000200153,0,3.54E-05,8.25E-05,0,5.84E-05,4.12E-05,9.07E-05,3.22E-05,0.000156887,4.51E-05,0.000648463,0.00067057,0,0.001989603,0,0.001683793,0.008511078,0,0.000235445,0.00063741,0.000281648,0.000281675,0,0,0.001661687,0,0.001230606,0.000146975
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,535,Group1C,142,LV_bottom,A10,P132,0,0,0.004984568,0,0,0.001608456,0,0.017786343,0.012351627,0.00035909,4.97E-05,0.000730118,0.001185756,0.003760384,0.004303856,0.00198175,0.000110413,0.000530048,0.00023494,0.000120465,0,0,0,0.001119881,0,4.20E-05,0.000241776,6.71E-05,0,0,0,0,0,0.000161516,6.48E-05,0,0,0.000407808,0.000322088,5.18E-05,0.00254718,0.000164125,0.000960682,0.012681003,0,0.000417157,0.000675222,0.000168015,0.000403194,0,0,0.002514242,6.01E-05,0.0016908,0.000142444
X541_Group1A_50dpi_LV_bottom_261_B_A11_P133.mzXML,541,Group1A,50,LV_bottom,A11,P133,0.000209734,0.000128163,0.002351986,4.88E-05,0,0.001067014,0,0.011808726,0.003448278,0.000105103,0,0,0.000572544,0.000543266,0.001808719,0.000936891,0.001502929,0.000218631,0.000279739,0.000151046,0,0.000787248,0,0.000435914,5.26E-05,6.26E-05,0.000175826,0,0.000140045,0,0.000181135,0.000242246,3.92E-05,5.41E-05,0,8.42E-05,0,0.000533507,0.00054652,0,0.000627847,0,0.002521147,0.00949903,0,3.34E-05,0.001151595,0.000855563,6.88E-05,0,0.000134605,0.000783995,0,0.000387118,0.000122949
X542_Group1A_50dpi_LV_bottom_262_B_A12_P133.mzXML,542,Group1A,50,LV_bottom,A12,P133,5.35E-05,4.07E-05,0.001522596,0,0,0.001193204,0,0.01431845,0.011394259,0,0,0,0.000376448,0.000578116,0.001277233,0.000557949,0.001754514,0.000250404,0.00023381,6.65E-05,0,0.000416781,0,0.0002285,7.34E-05,8.14E-05,0.000266039,0,6.92E-05,0,0.000198354,0.000193652,0,2.82E-05,0,8.12E-05,2.96E-05,0.00035292,0.00035292,0,0.000244393,0.000726006,0.002161212,0.009545633,0,0,0.000924313,0.000662144,0.000195085,0,7.07E-05,0.000453754,0,0.000193874,3.86E-05
X543_Group1A_50dpi_LV_bottom_263_B_B1_P133.mzXML,543,Group1A,50,LV_bottom,B1,P133,0,0,0.002887988,4.53E-05,0,0.001623353,0,0.022252704,0.013497542,0.000371896,0,0.001173435,0.000638397,0.007843166,0.002717748,0.001313274,0,0.000585302,0.000370595,5.08E-05,0,0,0,0.000466908,0,0,0.00049408,0,0,0,0,0,0,0.000113089,0,0,0,0,0,0,0.000766077,0,0.000355962,0.008451164,0,0.000109687,0.000351624,5.36E-05,0.000446286,0,0,0.000924156,0,0.000711357,5.60E-05
X544_Group1A_50dpi_LV_bottom_264_B_B2_P133.mzXML,544,Group1A,50,LV_bottom,B2,P133,0.000388191,0.000365622,0.001638527,3.61E-05,0.000177157,0.000306942,0,0,0.021824461,1.75E-05,0,0,0.000503294,0.001042699,0.001360926,0.000771868,0.001234538,0.000189594,0.000176558,0.000268574,4.98E-05,0.000428816,0,0.000347566,8.68E-05,1.70E-05,0.000139796,0,0,1.90E-05,0.000652251,0.000286629,4.14E-05,6.65E-05,0,0.000104765,0.000114906,0.000435586,0.00046944,0,0.00066805,0.000744785,0.001521167,0,0.008711729,2.71E-05,0.001008845,0.000618397,0,4.05E-05,0.000232463,0.000627425,0,0.000284373,0.000105342
