filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X268.105_0.35,X269.088_0.35,X111.044_2.768,X122.082_0.534,X130.087_0.452,X137.046_0.35,X142.035_0.315,X172.134_2.343,X175.148_2.71,X198.15_2.471,X200.165_3.207,X214.181_2.634,X216.16_2.471,X228.196_2.71,X230.176_2.586,X232.191_2.63,X242.212_2.78,X249.112_2.768,X256.227_2.847,X256.227_3.318,X258.207_2.775,X272.222_2.957,X278.248_3.1,X280.189_2.775,X280.264_3.159,X282.28_3.246,X296.259_2.971,X303.305_3.529,X303.648_2.884,X306.279_2.989,X306.279_3.212,X308.295_3.045,X308.295_3.285,X324.327_3.455,X327.232_3.01,X333.063_2.524,X334.311_3.335,X352.321_3.187,X368.316_2.962,X368.317_3.315,X369.17_2.767,X399.394_3.159,X399.395_3.152,X489.228_2.768,X506.255_3.172,X530.289_2.929,X568.341_2.887,X570.357_2.934,X599.241_2.765,X602.344_2.984,X604.362_2.948,X637.306_3.32,X666.434_3.024,X705.141_2.339,X776.148_2.398,X776.253_2.398,X776.411_2.398,X792.329_2.764,X811.309_2.773,X811.31_2.767,X819.211_2.398,X819.322_2.398,X819.378_2.399
X732_Group3A_50dpi_RV_top_277_B_C3_P137.mzXML,732,Group3A,50,RV_top,C3,P137,0,0.00034606,9.59E-05,0,0.002026611,0.003807572,0.000147091,0.000286871,0.000703452,0.000265465,0.003885733,0.00160789,0.000171126,0.04025307,5.87E-05,8.92E-05,0.000354896,5.00E-05,0.001334325,0.000150591,0.002277843,0.00032139,0.001931701,0,0.00295338,0.003344187,0.000470342,0,0,4.95E-05,5.95E-05,0.002797058,0.001284078,5.94E-05,0,0.007034517,0.000296468,0.001881454,0,5.60E-05,0.001764212,0,0.000226209,0.003679164,6.19E-05,0.000664371,0.003969477,0,0.000614124,0.000109018,0,0.004377033,0.000350118,0,0,0,0,7.70E-05,0,0.00020921,0,0,0
X733_Group3A_50dpi_RV_top_278_B_C4_P137.mzXML,733,Group3A,50,RV_top,C4,P137,0,0.00123099,0.000143912,0.000473754,0.001944529,0.008497102,0.001122053,0.000347091,0.000675411,0.000238605,0.002363937,0.001541461,0.000151574,0.04139614,8.44E-05,0.000109693,0.000248001,0.000141259,0.001269118,0,0.003219094,0.00023028,0.001590483,0,0.002189638,0.002892283,0.000448635,0,0,4.88E-05,0,0.002821473,0.001013116,5.40E-05,0,0.007189855,0.000245574,0.002511002,0,0,0.002058913,0,4.71E-05,0.005664734,0,5.28E-05,0.00451,0.000188178,0.000860604,0.000122594,6.19E-05,0.003491437,0.000457064,5.62E-05,0,0,0,0.000234348,0,0.000281187,0,0,0
X734_Group3A_50dpi_RV_top_279_B_C5_P137.mzXML,734,Group3A,50,RV_top,C5,P137,0,0.001294795,0.000116398,0,0.001942144,0.008577293,0.000869983,0.000298548,0.000591604,0.000187042,0.00222397,0.001592926,0.000154336,0.04012948,0.000197107,0.00022124,0.000146252,0.000154403,0.001096668,0.000139616,0.003228738,0.000189418,0.001292721,0,0.002291363,0.003731123,0.000409815,0,0,5.14E-05,5.49E-05,0.002015664,0.001304974,0.000157941,0,0.007719564,0.000281454,0.002027917,0,0,0.002321996,0,0,0.006034739,0,6.66E-05,0.003792389,0.00010762,0.000894489,0,5.95E-05,0.003945555,0.000527766,0,4.86E-05,0,0,0.000303566,0,0.000440781,0,5.20E-05,0
X735_Group3A_50dpi_RV_top_280_B_C6_P137.mzXML,735,Group3A,50,RV_top,C6,P137,0,0.000708085,0.000229085,0.000106687,0.002063405,0.004691065,0.000846383,0.000235639,0.000669362,0.000238534,0.002638724,0.001526809,0.000141927,0.03817022,0.000215556,0.000152638,0.000190766,0.000235376,0.001172766,0.000143326,0.004226384,0.000199382,0.001875319,0,0.002555745,0.003097873,0.000442958,0,0,4.84E-05,5.36E-05,0.00274383,0.001294468,7.89E-05,0,0.007191491,0.000389371,0.002821277,0,4.86E-05,0.002494894,0,0.000133548,0.007634044,0.000121664,0.000625106,0.004403405,5.44E-05,0.001161702,0.000203287,0.000171009,0.003280426,0.000459521,0,0,5.68E-05,0,0.000308277,0,0.000307839,5.67E-05,0,7.40E-05
X736_Group3B_70dpi_RV_top_306_B_E8_P137.mzXML,736,Group3B,70,RV_top,E8,P137,0,0.002978611,9.75E-05,0.000157376,0.001112547,0.006958958,0.001143574,0.000151664,0.001272115,0.000260457,0.001210061,0.003727696,0.000219493,0.06028142,3.51E-05,0.000211841,0.000323112,0.000186186,0.001719793,0,0.002491041,0.000209284,0.001125844,0,0.001688766,0.0018572,0.000178699,0,0.000124418,4.48E-05,0,0.00254423,0.000638274,4.03E-05,0.000419773,0.005407598,0.000167973,0.003404127,0,0,0.001799578,0,4.95E-05,0.005230299,0,0.000129603,0.015380626,0.000824437,0.000731355,0.000248395,0.000386851,0.001972443,0.00055849,0,7.05E-05,0.000200049,0.000112452,0.000229844,0,0.000245363,0.000155476,0.000102697,9.78E-05
X737_Group3B_70dpi_RV_top_307_B_E9_P137.mzXML,737,Group3B,70,RV_top,E9,P137,0,0.000476156,7.25E-05,0,0,0,0.00090872,6.45E-05,0.000385619,6.34E-05,0.001569303,0.001163564,5.72E-05,0.02206413,0,0.000139695,0.000139115,0.000105398,0.000694115,0.000242668,0.001398289,5.42E-05,0.001099853,0,0.001602835,0.002518262,0.000170351,7.02E-05,0.00011148,7.50E-05,8.53E-05,0.001797321,0.001099853,0.000326768,0.000258958,0.002394193,0.000586812,0.001753729,0,0.000152363,0.001059615,0,0,0.003755596,0,8.87E-05,0.012976927,0.000848362,0.000402385,7.07E-05,0.000227019,0.002082344,0.000225684,0,0.000108927,0.000133666,5.23E-05,0.000111448,0,0.000280883,3.70E-05,9.79E-05,0.000124675
X738_Group3B_70dpi_RV_top_308_B_E10_P137.mzXML,738,Group3B,70,RV_top,E10,P137,0,0.001293497,7.57E-05,0.000153964,0.001442911,0.010032074,0.00124227,0.000230452,0.001348994,0.000284864,0.002155829,0.003667043,0.000235395,0.06232693,9.82E-05,0.000351965,0.000410211,4.89E-05,0.001797235,0,0.00268945,0.000346495,0.001746008,6.45E-05,0.002382084,0.002010684,0.00034937,0,9.28E-05,4.07E-05,7.81E-05,0.00268945,0.000683035,0.000273223,0.000180777,0.004567796,0.000563504,0.002791905,0,0.000164547,0.00140449,0,4.22E-05,0.003338333,0,0.000339939,0.011013937,0.000644614,0.0004952,0.000173574,0.000413507,0.002531498,0.000198631,0,0,5.69E-05,0,0.00011019,0,0.000281115,5.29E-05,0,4.17E-05
X739_Group3B_70dpi_RV_top_309_B_E11_P137.mzXML,739,Group3B,70,RV_top,E11,P137,0,0.002279022,3.48E-05,0.000108541,0.00086363,0.004398114,0.001231472,0.000222723,0.002043124,0.000495787,0.001367413,0.006557187,0.000370386,0.0939597,0.000145195,8.48E-05,0.000631729,4.36E-05,0.002818791,0,0.003470511,0.000987576,0.001019563,0.000125743,0.001199486,0.001691275,0.000312186,0,0.000116627,4.25E-05,0,0.002530914,0.000479794,9.41E-05,0.000329167,0.004917891,0.000214111,0.002510923,3.41E-05,7.00E-05,0.000935599,0,0,0.002195058,0,0.000268557,0.013794083,0.000751678,0.000396291,0.000163044,0.000467799,0.001379408,0.000240093,0,0.000180068,0.000219964,0.000136725,5.18E-05,0,0.000175455,0.000120779,0.000138433,0.000166852
X740_Group3B_70dpi_RV_top_310_B_E12_P137.mzXML,740,Group3B,70,RV_top,E12,P137,0,0.001241434,0,0.000122624,0,0.01226596,0.001656894,0.000170922,0.001340353,0.000353175,0.002606516,0.004565113,0.000261541,0.06677034,0.000103713,0.000156586,0.00044835,0,0.001825056,0,0.003521517,0.000370784,0.001201866,0.000110685,0.001919029,0.002660922,0.000305033,0,0.000124679,4.32E-05,0,0.002413624,0.000845758,5.18E-05,0.000436227,0.005885682,0.000172268,0.003575923,0,0,0.000761677,0,0,0.001073271,4.59E-05,0.000448309,0.019041913,0.001201866,0.000176928,0.000120059,0.000424952,0.002878544,0.000106832,0,0.000343938,0.000603406,0.000347407,0,0,0.000165204,0.000298982,0.000480344,0.000355074
X751_Group3E_142dpi_RV_top_226_G_F6_P136.mzXML,751,Group3E,142,RV_top,F6,P136,0,0.000187734,0.00012621,0,0.00083903,0.00671224,0.000591737,0,0.000503418,6.01E-05,0.001090739,0.001461679,5.05E-05,0.03099995,0,0.000130851,0.000147457,0.000182739,0.000878773,0.000216527,0.001920937,0.001452847,0.001735467,0,0.002578913,0.00237578,0.000263669,4.20E-05,0,9.26E-05,9.96E-05,0.002799711,0.002071079,0.00049017,3.78E-05,0.005343296,0.0013292,0.003316376,3.39E-05,4.18E-05,0.002177062,0,0,0.005210818,0,0.000834614,0.006447283,0.000267727,0.000724215,8.79E-05,0.000101363,0.003060251,0.000715383,0,0,0,0,0.000217658,0,0.000305344,0,0,0
