filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,X293.211_2.933,X440.337_2.765,X442.353_2.823,X141.091_1.54,X203.007_0.309,X240.116_2.324,X249.112_2.768,X272.222_2.957,X296.258_2.976,X311.221_2.932,X345.243_3.095,X366.373_3.699,X546.029_2.319,X607.227_2.771,X608.227_2.768,X690.434_3.14,X692.414_2.985,X708.445_3.006,X709.936_2.18,X720.445_3.09,X737.391_2.399,X776.042_2.398,X776.095_2.398,X776.148_2.398,X776.359_2.398,X819.433_2.399,X867.281_2.399
X565_Group3A_50dpi_LV_top_270_B_B8_P129.mzXML,565,Group3A,50,LV_top,B8,P129,0.000410894,0.000908054,0.000755955,0,0.00016192,0.000347331,4.96E-05,0.000390463,0.000245175,0.000379112,0.000200662,0.001135067,0.0001291,1.74E-05,2.40E-05,0.000177764,0.000708282,0.000760495,0,0.000229284,0,0,2.66E-05,3.19E-05,6.93E-05,3.66E-05,0
X566_Group3B_70dpi_LV_top_296_B_D10_P129.mzXML,566,Group3B,70,LV_top,D10,P129,0.000129923,0.00032647,0.000205582,0.000103797,2.25E-05,0.000332248,7.80E-05,0.000112868,0.000227233,0.000135171,0,0.002461527,9.12E-05,2.73E-05,9.56E-05,4.85E-05,0.000284687,0.000366918,0,0,0,0,3.28E-05,3.75E-05,5.43E-05,6.03E-05,0
X567_Group3B_70dpi_LV_top_297_B_D11_P129.mzXML,567,Group3B,70,LV_top,D11,P129,0.000273681,0.000360458,0.000520661,0.000213087,8.90E-05,0.000122388,2.24E-05,0.000104347,0.000195693,0.000307057,0,0.001032423,0,0,2.25E-05,0.00023363,0.000549587,0.000789892,6.52E-05,0.000217273,0,0,0,3.18E-05,0,2.96E-05,0
X568_Group3B_70dpi_LV_top_298_B_D12_P129.mzXML,568,Group3B,70,LV_top,D12,P129,0.000270037,0.000570619,0.000832497,0.000147651,0.000140492,0.000230124,0,0.000490677,0.000266092,0.000244393,6.16E-05,0.001155021,0.000136597,0,0,0.000136094,0.0003749,0.000642291,2.82E-05,9.17E-05,0,0,0,3.75E-05,4.20E-05,3.68E-05,0
X569_Group3B_70dpi_LV_top_299_B_E1_P129.mzXML,569,Group3B,70,LV_top,E1,P129,0.000172276,0.000285255,0.000617524,0,7.22E-05,0.000201241,0,0.003740429,0.000238828,0.000148287,0,0.000995095,4.16E-05,0,0,0,0,0,5.44E-05,0,5.36E-05,5.68E-05,0.000177785,0.000205169,0.000237645,0.000205844,0.000138458
X570_Group3B_70dpi_LV_top_300_B_E2_P129.mzXML,570,Group3B,70,LV_top,E2,P129,0.000527114,0.000200705,0.000224012,7.09E-05,0.000110459,0.000129138,2.64E-05,0.000125749,0.000206182,0,5.43E-05,0.001384012,7.52E-05,0,0,6.83E-05,0.000162342,0.000459535,8.17E-05,4.69E-05,0,3.54E-05,4.07E-05,5.94E-05,5.55E-05,0.000108352,4.14E-05
X581_Group3E_142dpi_LV_top_176_G_B4_P128.mzXML,581,Group3E,142,LV_top,B4,P128,0.000744074,0.000442853,0.00029723,7.66E-05,0,0.000213447,2.15E-05,0.00568528,0,0.000702182,0,0.001248767,0.000241375,1.95E-05,2.18E-05,6.36E-05,0.000147547,0.000686223,9.20E-05,0,0.000255339,0.000307205,0.00042889,0.000696197,0.000766017,0.000626378,0.000307205
X582_Group3E_142dpi_LV_top_177_G_B5_P128.mzXML,582,Group3E,142,LV_top,B5,P128,0.000555608,0.000314255,0.000212164,0.000114338,0.000115359,0,5.28E-05,0.00020212,0.000223923,0.000545627,0,0.001071292,3.52E-05,3.41E-05,5.65E-05,0.000218718,0.000429182,0.001008079,4.16E-05,0.000180561,3.62E-05,3.89E-05,5.69E-05,8.45E-05,7.55E-05,0.000166114,4.83E-05
X583_Group3E_142dpi_LV_top_178_G_B6_P128.mzXML,583,Group3E,142,LV_top,B6,P128,0.000387376,0.000697277,0.000739536,8.66E-05,0,0.000196786,0.00011515,0.000707842,0.000207706,0.000383854,9.75E-05,0.00077123,5.33E-05,4.11E-05,0.00015011,3.99E-05,0.000162319,0.000552891,4.41E-05,0,8.87E-05,9.52E-05,0.000216706,0.000338104,0.000471894,0.000485981,0.000190673
X584_Group3E_142dpi_LV_top_179_G_B7_P128.mzXML,584,Group3E,142,LV_top,B7,P128,0.000670678,0.000169451,0.000152333,0.000137472,6.49E-05,8.14E-05,7.19E-05,0.000348635,0.000241067,0,0,0.001799309,0,0,3.97E-05,0.000283243,0.000508179,0.00050227,0,0.000234553,0,0,0,0,0,0,0
