"","fch","pval","pAdj"
"X582.341_3.046",0.981753519009573,0.712965124764759,0.888097235661735
"X622.409_3.109",1.33458932794811,0.0367175416419757,0.495885062016611
"X100.076_2.546",0.894159535916518,0.480535774068675,0.769274327993938
"X366.373_3.699",1.01836779670906,0.900751589700018,1
"X401.342_3.422",1.34084384159286,0.33819816836016,0.640236428672809
"X340.357_3.733",1.82573905136131,0.0830259933145475,0.640236428672809
"X636.388_2.978",1.05042004112186,0.460958749211566,0.744784372926871
"X214.181_2.634",1.37860554247634,0.227991459502166,0.640236428672809
"X198.15_2.471",1.18241177362507,0.899629665283288,1
"X132.102_0.307",1.36122475164156,0.0234961466635103,0.456728943220697
"X113.964_6.456",0.303543007963902,0.274048480055851,0.640236428672809
"X678.478_3.062",0.933589724132975,0.148152987639257,0.640236428672809
"X110.021_5.953",6.02521980103272,0.261027143928413,0.640236428672809
"X369.352_3.849",1.31242886296163,0.370642372258925,0.650425885207156
"X369.17_2.767",0.742561971206256,0.0674961538838424,0.635538072943451
"X568.341_2.887",1.04972728966875,0.902462275054423,1
"X221.111_2.312",0.603231183451506,0.0127990313408827,0.351556002156637
"X435.347_3.219",1.70337909792421,0.105700400686023,0.640236428672809
"X321.315_3.533",0.875624673715588,0.818851234042438,0.963780655996852
"X634.453_3.069",0.900937026230265,0.0869761047807326,0.640236428672809
"X208.17_3.328",0.966319116124917,0.838134776780856,0.978275557009341
"X694.465_3.135",1.03365212801762,0.967417297543179,1
"X216.196_2.567",1.05240548079775,0.682673807575057,0.872593177411314
"X313.077_2.525",1.02869101711613,0.870194456435353,1
"X354.337_3.278",0.990753504604733,0.870194456435353,1
"X216.16_2.471",1.08618712363595,0.721911912147157,0.895414193937751
"X137.046_0.42",1.44163814892587,0.0264647235393254,0.477688259884823
"X111.092_5.384",0.665769240189859,0.239113401734966,0.640236428672809
"X652.382_2.947",1.00950634416688,0.966464370074931,1
"X520.341_2.89",0.814849759042067,0.412375778055245,0.69379067319947
"X425.136_2.773",0.764178701467222,0.160685472537209,0.640236428672809
"X795.335_2.768",0.814864604983838,0.124692524909302,0.640236428672809
"X280.263_3.169",1.25633941832904,0.0031553753566973,0.181990431398056
"X256.264_3.225",0.991274564331841,0.80633377841523,0.954381947566879
"X198.186_3.331",0.96433822262994,0.682673807575057,0.872593177411314
"X113.964_6.627",1.65348916347581,0.0945833675062386,0.640236428672809
"X111.092_5.093",0.896677732716812,0.647838446890927,0.846477639758724
"X256.227_2.847",1.09485990924473,0.80633377841523,0.954381947566879
