organ,LA,LVB,LVT,RA,RVB,RVT
X323.172_2.309,0.00E+00,2.41E-05,0.00E+00,0.00E+00,0.00E+00,0
X318.28_2.613,2.44E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X409.211_2.232,2.44E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X459.268_2.871,0.00E+00,0.00E+00,0.00E+00,2.47E-05,0.00E+00,0
X111.044_0.636,0.00E+00,0.00E+00,2.49E-05,0.00E+00,0.00E+00,0
X414.96_0.304,2.50E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X520.334_2.299,0.00E+00,2.51E-05,0.00E+00,0.00E+00,0.00E+00,0
X778.537_3.785,2.51E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X741.069_2.572,2.51E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X635.141_0.31,2.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X760.64_5.589,2.58E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X559.151_0.434,0.00E+00,0.00E+00,2.58E-05,0.00E+00,0.00E+00,0
X800.542_3.619,0.00E+00,0.00E+00,0.00E+00,2.59E-05,0.00E+00,0
X727.193_2.703,2.60E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X401.232_2.776,0.00E+00,2.60E-05,0.00E+00,0.00E+00,0.00E+00,0
X354.373_3.762,0.00E+00,0.00E+00,0.00E+00,2.61E-05,0.00E+00,0
X834.612_5.491,0.00E+00,2.61E-05,0.00E+00,0.00E+00,0.00E+00,0
X703.538_3.191,0.00E+00,0.00E+00,0.00E+00,2.62E-05,0.00E+00,0
X544.304_2.727,2.63E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X589.446_2.862,2.64E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X524.452_3.251,0.00E+00,0.00E+00,2.64E-05,0.00E+00,0.00E+00,0
X392.279_2.753,2.66E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X666.53_3.844,2.68E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X460.245_2.754,2.68E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X450.192_2.316,2.68E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X338.206_3.56,2.69E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X526.277_2.241,2.69E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X736.544_4.956,0.00E+00,0.00E+00,0.00E+00,2.70E-05,0.00E+00,0
X325.122_2.29,2.70E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X550.327_2.889,2.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X242.1_0.35,2.71E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
X740.485_3.31,2.72E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0
