filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X542_Group1A_50dpi_RA_262_B_A12_P125.mzXML,542,Group1A,naive,DPI_50,RA,A12,P125,0.014495398
X542_Group1A_50dpi_RV_bottom_262_B_A12_P141.mzXML,542,Group1A,naive,DPI_50,RV_bottom,A12,P141,0.006599542
X542_Group1A_50dpi_RV_top_262_B_A12_P137.mzXML,542,Group1A,naive,DPI_50,RV_top,A12,P137,0.006235903
X543_Group1A_50dpi_LA_263_B_B1_P121.mzXML,543,Group1A,naive,DPI_50,LA,B1,P121,0.010642348
X543_Group1A_50dpi_LV_bottom_263_B_B1_P133.mzXML,543,Group1A,naive,DPI_50,LV_bottom,B1,P133,0.002280807
X543_Group1A_50dpi_LV_top_263_B_B1_P129.mzXML,543,Group1A,naive,DPI_50,LV_top,B1,P129,0.040215069
X543_Group1A_50dpi_RA_263_B_B1_P125.mzXML,543,Group1A,naive,DPI_50,RA,B1,P125,0.012683285
X543_Group1A_50dpi_RV_bottom_263_B_B1_P141.mzXML,543,Group1A,naive,DPI_50,RV_bottom,B1,P141,0.007760716
X543_Group1A_50dpi_RV_top_263_B_B1_P137.mzXML,543,Group1A,naive,DPI_50,RV_top,B1,P137,0.006999276
X544_Group1A_50dpi_LA_264_B_B2_P121.mzXML,544,Group1A,naive,DPI_50,LA,B2,P121,0.013183364
X544_Group1A_50dpi_LV_bottom_264_B_B2_P133.mzXML,544,Group1A,naive,DPI_50,LV_bottom,B2,P133,0.016091057
X544_Group1A_50dpi_LV_top_264_B_B2_P129.mzXML,544,Group1A,naive,DPI_50,LV_top,B2,P129,0.042890379
X544_Group1A_50dpi_RA_264_B_B2_P125.mzXML,544,Group1A,naive,DPI_50,RA,B2,P125,0.004659623
X544_Group1A_50dpi_RV_bottom_264_B_B2_P141.mzXML,544,Group1A,naive,DPI_50,RV_bottom,B2,P141,0.010992046
X544_Group1A_50dpi_RV_top_264_B_B2_P137.mzXML,544,Group1A,naive,DPI_50,RV_top,B2,P137,0.010210938
X545_Group1A_50dpi_LA_265_B_B3_P121.mzXML,545,Group1A,naive,DPI_50,LA,B3,P121,0.015994165
X545_Group1A_50dpi_LV_bottom_265_B_B3_P133.mzXML,545,Group1A,naive,DPI_50,LV_bottom,B3,P133,0.015764796
X545_Group1A_50dpi_LV_top_265_B_B3_P129.mzXML,545,Group1A,naive,DPI_50,LV_top,B3,P129,0.04328112
X545_Group1A_50dpi_RA_265_B_B3_P125.mzXML,545,Group1A,naive,DPI_50,RA,B3,P125,0.0031944
X545_Group1A_50dpi_RV_bottom_265_B_B3_P141.mzXML,545,Group1A,naive,DPI_50,RV_bottom,B3,P141,0.010199706
X545_Group1A_50dpi_RV_top_265_B_B3_P137.mzXML,545,Group1A,naive,DPI_50,RV_top,B3,P137,0.008208482
X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML,506,Group1B,naive,DPI_75,LA,C7,P121,0.031815788
X506_Group1B_70dpi_LV_bottom_281_B_C7_P133.mzXML,506,Group1B,naive,DPI_75,LV_bottom,C7,P133,0.009702997
X506_Group1B_70dpi_LV_top_281_B_C7_P129.mzXML,506,Group1B,naive,DPI_75,LV_top,C7,P129,0.028649274
X506_Group1B_70dpi_RA_281_B_C7_P125.mzXML,506,Group1B,naive,DPI_75,RA,C7,P125,0.003856793
X506_Group1B_70dpi_RV_bottom_281_B_C7_P141.mzXML,506,Group1B,naive,DPI_75,RV_bottom,C7,P141,0.00329195
X506_Group1B_70dpi_RV_top_281_B_C7_P137.mzXML,506,Group1B,naive,DPI_75,RV_top,C7,P137,0.004356573
X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML,507,Group1B,naive,DPI_75,LA,C8,P121,0.012290218
X507_Group1B_70dpi_LV_bottom_282_B_C8_P133.mzXML,507,Group1B,naive,DPI_75,LV_bottom,C8,P133,0.008492306
X507_Group1B_70dpi_LV_top_282_B_C8_P129.mzXML,507,Group1B,naive,DPI_75,LV_top,C8,P129,0.021857264
X507_Group1B_70dpi_RA_282_B_C8_P125.mzXML,507,Group1B,naive,DPI_75,RA,C8,P125,0.002238941
X507_Group1B_70dpi_RV_bottom_282_B_C8_P141.mzXML,507,Group1B,naive,DPI_75,RV_bottom,C8,P141,0.002641182
X507_Group1B_70dpi_RV_top_282_B_C8_P137.mzXML,507,Group1B,naive,DPI_75,RV_top,C8,P137,0.002375328
X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML,508,Group1B,naive,DPI_75,LA,C9,P121,0.007572988
X508_Group1B_70dpi_LV_bottom_283_B_C9_P133.mzXML,508,Group1B,naive,DPI_75,LV_bottom,C9,P133,0.011351439
X508_Group1B_70dpi_LV_top_283_B_C9_P129.mzXML,508,Group1B,naive,DPI_75,LV_top,C9,P129,0.009387162
X508_Group1B_70dpi_RA_283_B_C9_P125.mzXML,508,Group1B,naive,DPI_75,RA,C9,P125,0.01268009
X508_Group1B_70dpi_RV_bottom_283_B_C9_P141.mzXML,508,Group1B,naive,DPI_75,RV_bottom,C9,P141,0.003163446
X508_Group1B_70dpi_RV_top_283_B_C9_P137.mzXML,508,Group1B,naive,DPI_75,RV_top,C9,P137,0.003946573
X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML,509,Group1B,naive,DPI_75,LA,C10,P121,0.042400128
X509_Group1B_70dpi_LV_bottom_284_B_C10_P133.mzXML,509,Group1B,naive,DPI_75,LV_bottom,C10,P133,0.002037816
X509_Group1B_70dpi_LV_top_284_B_C10_P129.mzXML,509,Group1B,naive,DPI_75,LV_top,C10,P129,0.022784226
X509_Group1B_70dpi_RA_284_B_C10_P125.mzXML,509,Group1B,naive,DPI_75,RA,C10,P125,0.014624557
X509_Group1B_70dpi_RV_bottom_284_B_C10_P141.mzXML,509,Group1B,naive,DPI_75,RV_bottom,C10,P141,0.00392361
X509_Group1B_70dpi_RV_top_284_B_C10_P137.mzXML,509,Group1B,naive,DPI_75,RV_top,C10,P137,0.003246268
