filename,X506_Group1B_70dpi_LA_281_B_C7_P121.mzXML,X507_Group1B_70dpi_LA_282_B_C8_P121.mzXML,X508_Group1B_70dpi_LA_283_B_C9_P121.mzXML,X509_Group1B_70dpi_LA_284_B_C10_P121.mzXML,X510_Group1B_70dpi_LA_285_B_C11_P121.mzXML,X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML,X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML,X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML,X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML,X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML,X546_Group1B_70dpi_LA_291_B_D5_P121.mzXML,X547_Group1B_70dpi_LA_292_B_D6_P121.mzXML,X548_Group1B_70dpi_LA_293_B_D7_P121.mzXML,X549_Group1B_70dpi_LA_294_B_D8_P121.mzXML,X550_Group1B_70dpi_LA_295_B_D9_P121.mzXML,X566_Group3B_70dpi_LA_296_B_D10_P121.mzXML,X567_Group3B_70dpi_LA_297_B_D11_P121.mzXML,X568_Group3B_70dpi_LA_298_B_D12_P121.mzXML,X569_Group3B_70dpi_LA_299_B_E1_P121.mzXML,X570_Group3B_70dpi_LA_300_B_E2_P121.mzXML,X651_Group3B_70dpi_LA_301_B_E3_P121.mzXML,X652_Group3B_70dpi_LA_302_B_E4_P121.mzXML,X653_Group3B_70dpi_LA_303_B_E5_P121.mzXML,X654_Group3B_70dpi_LA_304_B_E6_P121.mzXML,X655_Group3B_70dpi_LA_305_B_E7_P121.mzXML,X736_Group3B_70dpi_LA_306_B_E8_P121.mzXML,X737_Group3B_70dpi_LA_307_B_E9_P121.mzXML,X738_Group3B_70dpi_LA_308_B_E10_P121.mzXML,X739_Group3B_70dpi_LA_309_B_E11_P121.mzXML,X740_Group3B_70dpi_LA_310_B_E12_P121.mzXML
X110.021_5.865,0,0.007386906,0.037037057,0.002269335,0.01670239,0,0.012397193,0.001911187,0.014147755,0.010785441,0.060516647,0.008257885,0.162035015,0.012164086,0,0,0,0,0,0.002567844,0.008300329,0.019519888,0,0.013871645,0.017550189,0,0.012790576,0,0,0.037462893
X312.326_3.521,0.003404312,0.003162722,0.001359882,0.004380115,0.003443792,0.002911276,0.002344007,0.002640456,0.001714375,0.00281046,0.003887736,0.001734407,0,0.001246819,0.006532443,0.002231036,0.002154285,0.003581893,0.001696407,0.000815891,0.003236229,0.000940838,0,0.00153349,0.000614897,0.002482154,0.004153641,0.001543199,0.004547079,0.002532615
X610.372_2.951,0.000318289,0.003747609,0.00157802,0.00073134,0.00214376,0.002058854,0.000309062,0.000870093,0.000267975,0.002029777,0.000766544,0.000291159,0,0.00166686,0.000937845,0.000533064,0.000230286,0.001126044,0.000867408,0.0000883,0.000545365,0.000944187,0.001491487,0.001030131,0.002579152,0.00161498,0.00068568,0.001306384,0.000881858,0.001099118
X110.021_6.211,0,0,0,0.000962238,0,0,0.027607195,0,0,0.000871963,0,0.001450777,0,0,0.002406689,0,0,0,0,0.000312442,0.003865496,0,0,0.001053543,0.001135852,0,0.002241647,0.00170975,0,0
X580.361_2.989,0.002795411,0.005480608,0.006590554,0.001932404,0.004369311,0.002445472,0.001771028,0.001458537,0.001526293,0.003170775,0.003741029,0.001021568,0.002550551,0.003440156,0.003457229,0.000739137,0.001485714,0.004611419,0.001712411,0.000623619,0.00202564,0.004017816,0.003737059,0.000851614,0.005892764,0.005055589,0.003670148,0.006193616,0.003628477,0.006161253
X183.15_2.549,0.000337663,0.000152158,0.000352806,0.0000163,0.000168077,0.00028647,0.000124302,0.000114923,0.0000626,0.00027384,0.0000784,0.000358929,0.000536527,0.0000996,0.0000265,0.000165045,0.0000324,0.0000989,0.000102519,0.000135349,0.0000617,0.000240205,0.000400399,0.000380446,0.000503874,0.000182334,0.0000442,0.0000573,0.000109952,0.00015727
X637.306_3.32,0.001375564,0.00101597,0.002691916,0.000168466,0.001420564,0.001001479,0.001239719,0.000359605,0.001413111,0.001779958,0.002229947,0.002123456,0.000142028,0.001284832,0.001153683,0.00107805,0.000729486,0.001209693,0.000894615,0.000455381,0.002178462,0.00213279,0.002192185,0.00189345,0.002271703,0.003437098,0.001485641,0.002144344,0.001407757,0.00291034
X146.981_3.86,0,0,0,0.002031501,0,0.000782551,0,0.0000801,0,0,0,0,0,0,0.001720974,0,0,0.000480445,0,0.0000583,0,0,0,0.000130107,0,0,0,0,0.000585609,0.000452032
X105.07_2.767,0.00236918,0.001470883,0.002872925,0.000551974,0.001151518,0.000964215,0.000612914,0.000667658,0.001071901,0.001484499,0.000755541,0.002193736,0.008891922,0.001224011,0.001677042,0.001015036,0.0008736,0.00090298,0.000395295,0.000667892,0.000605295,0.002139487,0.002272265,0.00226219,0.003501498,0.003352838,0.000624145,0.000752082,0.001690227,0.001204386
X352.321_3.187,0.000763894,0.001182772,0.001963243,0.000523235,0.002216941,0.000978189,0.000930658,0.001108991,0.00165612,0.001023296,0.001474406,0.000953798,0.00016185,0.001092867,0.000983687,0.00123303,0.000661143,0.001913202,0.001318717,0.000857634,0.000527386,0.001215389,0.001237901,0.001299369,0.000811323,0.002352253,0,0,0.000668283,0.001306557
X432.238_2.769,0.006836302,0.00357431,0.0078901,0.000849267,0.002905699,0.003540112,0.002170377,0.001521405,0.002363507,0.004588016,0.000847233,0.00554709,0.046910137,0.002489836,0.00054437,0.002895237,0.002421714,0.003260166,0.001245099,0.001948019,0.000979858,0.004854861,0.003970625,0.005501834,0.009565066,0.009900528,0.001142801,0.000752082,0.0051901,0.005975486
X200.165_3.207,0.001710459,0.001039799,0.001475913,0.000740259,0.001403345,0.001208762,0.001258819,0.00098577,0.000785617,0.001128988,0.002141923,0.000602399,0.001860402,0.000490365,0.001528057,0.00056372,0.000979085,0.001520696,0.000835401,0.000913292,0.001687034,0.00077343,0,0.000910144,0.000760081,0.000990053,0.000795565,0.00098109,0.001621332,0.002705997
X267.123_2.767,0.001926342,0.001074459,0.003091063,0.00044693,0.000949195,0.000787209,0.000496582,0.000510488,0.000882154,0.001198649,0.000696858,0.001724367,0.007061526,0.000994034,0.00134087,0.000848134,0.000739886,0.00069922,0.000323278,0.000551517,0.000452473,0.001724313,0.002038699,0.001887597,0.002801198,0.002745466,0.000538435,0.000575121,0.001403164,0.00104958
X200.165_2.552,0.000619972,0.000565391,0.002376312,0,0.000800682,0.0006661,0.000628541,0.000194891,0.000394473,0.000600526,0.001349705,0.000820768,0.002280493,0.000515073,0,0.000430879,0.000300114,0.000892256,0.000345683,0.000271964,0.001393377,0.001292397,0.001851846,0.000784304,0.001293846,0.001864248,0.000547226,0.000791117,0.000693544,0.001532573
X126.022_0.338,0.007085398,0.005393958,0.012949046,0.00168466,0.007877674,0.005449909,0.004410206,0.00457679,0.007123811,0.011025651,0.004621271,0.01041648,0,0.003801277,0.0080605,0.003286946,0.004026285,0.00737827,0.003488838,0.006362686,0.011596489,0.014062355,0.009642946,0.007433329,0.014988117,0.008110007,0.00766995,0.007104441,0.008382242,0.012477311
X608.393_3.098,0.001962323,0.004549121,0.005151771,0.001981952,0.004240169,0.002063512,0.001526209,0.001848319,0.001346533,0.003026649,0.004914685,0.000878498,0.002110456,0.002090702,0.002769603,0.000723809,0.001398057,0.003110026,0.0016644,0.000719755,0.001207593,0.002588143,0.002145472,0.000561889,0.002019766,0.00216969,0.002197693,0.002758501,0.002264353,0.002535712
X666.434_3.024,0.0000808,0.000643376,0.000784369,0.0000696,0.000402493,0.000284141,0.0000881,0.000041,0.0000518,0.00021171,0.000850901,0,0,0.000271791,0.000192917,0.0000429,0.000031,0.000263816,0.0000356,0,0.000111745,0.0000897,0.000145579,0,0.000155702,0.000456407,0.000147905,0.000222414,0.000148905,0.0000994
X137.046_0.31,0.003265925,0.002469523,0.006590554,0.001882855,0.00413255,0.003516821,0,0.003482887,0.007689721,0.005308647,0.003997766,0.004241892,0,0.003782271,0.00349543,0.0000272,0.002079999,0.002530918,0,0.001366143,0.002606963,0.003060236,0.001791786,0.000910144,0.000114363,0.001509655,0.001437292,0.001889313,0.001660373,0.006161253
X123.056_0.323,0.005895272,0,0.011417439,0.01208991,0,0,0,0,0.020639078,0,0.010049431,0,0.000591027,0,0.011517728,0,0,0.010252363,0,0,0.013963731,0.017410534,0,0,0,0.011971915,0.014636639,0.01917939,0,0
X240.097_2.259,0.002407928,0.010961216,0.001629074,0.006887285,0.010030044,0.0111793,0.009584385,0.008147692,0.011368137,0.004780184,0.006528463,0.022288758,0,0.0247083,0.00483248,0.030144528,0.011038854,0.005898326,0.022085303,0.017709266,0.011147012,0.017075716,0.012612573,0.011559704,0.003736354,0.009514337,0.016153047,0.019621791,0.006682828,0.005046654
X522.357_2.957,0.013617249,0.008405043,0.008075749,0.012585398,0.008587956,0.012017747,0.014341851,0.013830958,0.014463999,0.014580763,0.003667676,0.015285871,0,0.012107067,0.010333484,0.012773105,0.018571423,0.010788574,0.011746821,0.018215245,0.00865991,0.009910612,0.012846139,0.016329911,0.01473191,0.009514337,0.005010741,0.007026371,0.008887473,0.005108576
X482.325_3.027,0.005895272,0.003162722,0.001731181,0.008849417,0.004369311,0.006148615,0.004167124,0.011089914,0.003878149,0.006918055,0.001899856,0.006927587,0.000439513,0.00247083,0.00296061,0.007663863,0.005957713,0.005340666,0.006417541,0.010663508,0.011746314,0.005089233,0.005905887,0.015451959,0.005465752,0.006214161,0.006724942,0.007937197,0.007394745,0.007987956
X308.295_3.045,0.000777733,0.000608716,0.002088556,0.000303239,0.000940586,0.001087653,0.00082648,0.000458936,0.000687414,0.001083348,0.001529421,0.001197268,0.001800389,0.000817275,0.001018068,0.000887305,0.000646286,0.000935153,0.000531328,0.00048827,0.001228569,0.001396191,0.001494823,0.001343267,0.002002686,0.001895846,0.001186754,0.001426093,0.001226333,0.001483035
X258.206_2.778,0.000206276,0.000595718,0.001666203,0.0000732,0.000850186,0.00052403,0.000324688,0.00020495,0.000411117,0.000357913,0.000491469,0.000727899,0,0.0002965,0.000303701,0.000407036,0.000265943,0.00056195,0.000305673,0.000197332,0.000470452,0.000800215,0.000994325,0.000424344,0.00070884,0.00208543,0.000214495,0.000343511,0.000443225,0.000551107
X650.44_3.113,0.001430918,0.002599498,0.00552307,0.001109893,0.002755033,0.002254492,0.000937603,0.000912843,0.000734019,0.002152284,0.005574867,0.001126988,0.001050227,0.001022543,0.001719064,0.000860056,0.000895885,0.002423676,0.001024246,0.000908232,0.001417349,0.001905114,0.002152145,0.000769671,0.001746479,0.002390872,0.00124829,0.001220507,0.001524879,0.001517092
X333.063_2.524,0.001170751,0.000290277,0.001963243,0.0000962,0.000419712,0.000298115,0.000552144,0.000124353,0.000314579,0.000540473,0.001129644,0.000562239,0.008531844,0.000304102,0.000431676,0.000207776,0.000156,0.000568384,0.00016804,0.000177093,0.000524389,0.000703118,0.000860858,0.00061164,0.000815593,0.001032183,0.000397783,0.000442401,0.000840521,0.001052676
X594.377_3,0.001217803,0.002361211,0.003174605,0.000807646,0.00203399,0.001434677,0.000816062,0.000602275,0.000615843,0.001594996,0.002134587,0.000567259,0.000794224,0.001556623,0.00135615,0.0004973,0.000616571,0.002294985,0.00091542,0.000366835,0.000865991,0.001654001,0.002175502,0.000421417,0.001989875,0.002650673,0.001410919,0.001597849,0.001403164,0.001408729
