filename,MouseID,Treatmentgroup,DPI,organ,well_position,plate,mass_all
X515_Group1C_142dpi_LV_bottom_165_G_A5_P132.mzXML,515,naive,142dpi,LV_bottom,A5,P132,0.0000293
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,515,naive,142dpi,LV_top,A5,P128,0.000149541
X515_Group1C_142dpi_RA_165_G_A5_P124.mzXML,515,naive,142dpi,RA,A5,P124,0.000752024
X515_Group1C_142dpi_RV_bottom_165_G_A5_P140.mzXML,515,naive,142dpi,RV_bottom,A5,P140,0
X515_Group1C_142dpi_RV_top_165_G_A5_P136.mzXML,515,naive,142dpi,RV_top,A5,P136,0
X531_Group1C_142dpi_LA_166_G_A6_P120.mzXML,531,naive,142dpi,LA,A6,P120,0.001016111
X531_Group1C_142dpi_LV_bottom_166_G_A6_P132.mzXML,531,naive,142dpi,LV_bottom,A6,P132,0
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,531,naive,142dpi,LV_top,A6,P128,0.000478358
X531_Group1C_142dpi_RA_166_G_A6_P124.mzXML,531,naive,142dpi,RA,A6,P124,0.001017006
X531_Group1C_142dpi_RV_bottom_166_G_A6_P140.mzXML,531,naive,142dpi,RV_bottom,A6,P140,0
X531_Group1C_142dpi_RV_top_166_G_A6_P136.mzXML,531,naive,142dpi,RV_top,A6,P136,0
X532_Group1C_142dpi_LA_167_G_A7_P120.mzXML,532,naive,142dpi,LA,A7,P120,0.001184383
X532_Group1C_142dpi_LV_bottom_167_G_A7_P132.mzXML,532,naive,142dpi,LV_bottom,A7,P132,0.0000401
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,532,naive,142dpi,LV_top,A7,P128,0.000848712
X532_Group1C_142dpi_RA_167_G_A7_P124.mzXML,532,naive,142dpi,RA,A7,P124,0.000325448
X532_Group1C_142dpi_RV_bottom_167_G_A7_P140.mzXML,532,naive,142dpi,RV_bottom,A7,P140,0
X532_Group1C_142dpi_RV_top_167_G_A7_P136.mzXML,532,naive,142dpi,RV_top,A7,P136,0
X533_Group1C_142dpi_LA_168_G_A8_P120.mzXML,533,naive,142dpi,LA,A8,P120,0.00112625
X533_Group1C_142dpi_LV_bottom_168_G_A8_P132.mzXML,533,naive,142dpi,LV_bottom,A8,P132,0.0000311
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,533,naive,142dpi,LV_top,A8,P128,0.001271545
X533_Group1C_142dpi_RA_168_G_A8_P124.mzXML,533,naive,142dpi,RA,A8,P124,0.004246878
X533_Group1C_142dpi_RV_bottom_168_G_A8_P140.mzXML,533,naive,142dpi,RV_bottom,A8,P140,0
X533_Group1C_142dpi_RV_top_168_G_A8_P136.mzXML,533,naive,142dpi,RV_top,A8,P136,0
X534_Group1C_142dpi_LA_169_G_A9_P120.mzXML,534,naive,142dpi,LA,A9,P120,0.001804336
X534_Group1C_142dpi_LV_bottom_169_G_A9_P132.mzXML,534,naive,142dpi,LV_bottom,A9,P132,0
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,534,naive,142dpi,LV_top,A9,P128,0.0000709
X534_Group1C_142dpi_RA_169_G_A9_P124.mzXML,534,naive,142dpi,RA,A9,P124,0.001413581
X534_Group1C_142dpi_RV_bottom_169_G_A9_P140.mzXML,534,naive,142dpi,RV_bottom,A9,P140,0
X534_Group1C_142dpi_RV_top_169_G_A9_P136.mzXML,534,naive,142dpi,RV_top,A9,P136,0
X535_Group1C_142dpi_LA_170_G_A10_P120.mzXML,535,naive,142dpi,LA,A10,P120,0.001334937
X535_Group1C_142dpi_LV_bottom_170_G_A10_P132.mzXML,535,naive,142dpi,LV_bottom,A10,P132,0
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,535,naive,142dpi,LV_top,A10,P128,0.000089
X535_Group1C_142dpi_RA_170_G_A10_P124.mzXML,535,naive,142dpi,RA,A10,P124,0.001296033
X535_Group1C_142dpi_RV_bottom_170_G_A10_P140.mzXML,535,naive,142dpi,RV_bottom,A10,P140,0
X535_Group1C_142dpi_RV_top_170_G_A10_P136.mzXML,535,naive,142dpi,RV_top,A10,P136,0
X551_Group1C_142dpi_LA_171_G_A11_P120.mzXML,551,naive,142dpi,LA,A11,P120,0.005056945
X551_Group1C_142dpi_LV_bottom_171_G_A11_P132.mzXML,551,naive,142dpi,LV_bottom,A11,P132,0.0000274
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,551,naive,142dpi,LV_top,A11,P128,0.001433668
X551_Group1C_142dpi_RA_171_G_A11_P124.mzXML,551,naive,142dpi,RA,A11,P124,0.004604176
X551_Group1C_142dpi_RV_bottom_171_G_A11_P140.mzXML,551,naive,142dpi,RV_bottom,A11,P140,0
X551_Group1C_142dpi_RV_top_171_G_A11_P136.mzXML,551,naive,142dpi,RV_top,A11,P136,0
X552_Group1C_142dpi_LA_172_G_A12_P120.mzXML,552,naive,142dpi,LA,A12,P120,0.001818173
X552_Group1C_142dpi_LV_bottom_172_G_A12_P132.mzXML,552,naive,142dpi,LV_bottom,A12,P132,0
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,552,naive,142dpi,LV_top,A12,P128,0.0000608
X552_Group1C_142dpi_RA_172_G_A12_P124.mzXML,552,naive,142dpi,RA,A12,P124,0.00260293
X552_Group1C_142dpi_RV_bottom_172_G_A12_P140.mzXML,552,naive,142dpi,RV_bottom,A12,P140,0
X552_Group1C_142dpi_RV_top_172_G_A12_P136.mzXML,552,naive,142dpi,RV_top,A12,P136,0.000048
X553_Group1C_142dpi_LA_173_G_B1_P120.mzXML,553,naive,142dpi,LA,B1,P120,0.002070501
X553_Group1C_142dpi_LV_bottom_173_G_B1_P132.mzXML,553,naive,142dpi,LV_bottom,B1,P132,0
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,553,naive,142dpi,LV_top,B1,P128,0.000801816
X553_Group1C_142dpi_RA_173_G_B1_P124.mzXML,553,naive,142dpi,RA,B1,P124,0.001975781
X553_Group1C_142dpi_RV_bottom_173_G_B1_P140.mzXML,553,naive,142dpi,RV_bottom,B1,P140,0
X553_Group1C_142dpi_RV_top_173_G_B1_P136.mzXML,553,naive,142dpi,RV_top,B1,P136,0.0001049
X554_Group1C_142dpi_LA_174_G_B2_P120.mzXML,554,naive,142dpi,LA,B2,P120,0.000719968
X554_Group1C_142dpi_LV_bottom_174_G_B2_P132.mzXML,554,naive,142dpi,LV_bottom,B2,P132,0
X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML,554,naive,142dpi,LV_top,B2,P128,0.0001883
X554_Group1C_142dpi_RA_174_G_B2_P124.mzXML,554,naive,142dpi,RA,B2,P124,0.001541476
X554_Group1C_142dpi_RV_bottom_174_G_B2_P140.mzXML,554,naive,142dpi,RV_bottom,B2,P140,0
X554_Group1C_142dpi_RV_top_174_G_B2_P136.mzXML,554,naive,142dpi,RV_top,B2,P136,0
X555_Group1C_142dpi_LA_175_G_B3_P120.mzXML,555,naive,142dpi,LA,B3,P120,0.005655063
X555_Group1C_142dpi_LV_bottom_175_G_B3_P132.mzXML,555,naive,142dpi,LV_bottom,B3,P132,0.0001115
X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML,555,naive,142dpi,LV_top,B3,P128,0.000917065
X555_Group1C_142dpi_RA_175_G_B3_P124.mzXML,555,naive,142dpi,RA,B3,P124,0.005881852
X555_Group1C_142dpi_RV_bottom_175_G_B3_P140.mzXML,555,naive,142dpi,RV_bottom,B3,P140,0
X555_Group1C_142dpi_RV_top_175_G_B3_P136.mzXML,555,naive,142dpi,RV_top,B3,P136,0
X581_Group3E_142dpi_LA_176_G_B4_P120.mzXML,581,infected,142dpi,LA,B4,P120,0.001375106
X581_Group3E_142dpi_LV_bottom_176_G_B4_P132.mzXML,581,infected,142dpi,LV_bottom,B4,P132,0.000441601
X581_Group3E_142dpi_LV_top_176_G_B4_P128.mzXML,581,infected,142dpi,LV_top,B4,P128,0.001564505
X581_Group3E_142dpi_RA_176_G_B4_P124.mzXML,581,infected,142dpi,RA,B4,P124,0.005147358
X581_Group3E_142dpi_RV_bottom_176_G_B4_P140.mzXML,581,infected,142dpi,RV_bottom,B4,P140,0
X581_Group3E_142dpi_RV_top_176_G_B4_P136.mzXML,581,infected,142dpi,RV_top,B4,P136,0.000228289
X582_Group3E_142dpi_LA_177_G_B5_P120.mzXML,582,infected,142dpi,LA,B5,P120,0.001090347
X582_Group3E_142dpi_LV_bottom_177_G_B5_P132.mzXML,582,infected,142dpi,LV_bottom,B5,P132,0.000718141
X582_Group3E_142dpi_LV_top_177_G_B5_P128.mzXML,582,infected,142dpi,LV_top,B5,P128,0.001273621
X582_Group3E_142dpi_RA_177_G_B5_P124.mzXML,582,infected,142dpi,RA,B5,P124,0.006398734
X582_Group3E_142dpi_RV_bottom_177_G_B5_P140.mzXML,582,infected,142dpi,RV_bottom,B5,P140,0
X582_Group3E_142dpi_RV_top_177_G_B5_P136.mzXML,582,infected,142dpi,RV_top,B5,P136,0.000383836
X583_Group3E_142dpi_LA_178_G_B6_P120.mzXML,583,infected,142dpi,LA,B6,P120,0.002862502
X583_Group3E_142dpi_LV_bottom_178_G_B6_P132.mzXML,583,infected,142dpi,LV_bottom,B6,P132,0.000412639
X583_Group3E_142dpi_LV_top_178_G_B6_P128.mzXML,583,infected,142dpi,LV_top,B6,P128,0.004275555
X583_Group3E_142dpi_RA_178_G_B6_P124.mzXML,583,infected,142dpi,RA,B6,P124,0.004067739
X583_Group3E_142dpi_RV_bottom_178_G_B6_P140.mzXML,583,infected,142dpi,RV_bottom,B6,P140,0
X583_Group3E_142dpi_RV_top_178_G_B6_P136.mzXML,583,infected,142dpi,RV_top,B6,P136,0.000189735
X584_Group3E_142dpi_LA_179_G_B7_P120.mzXML,584,infected,142dpi,LA,B7,P120,0.004437563
X584_Group3E_142dpi_LV_bottom_179_G_B7_P132.mzXML,584,infected,142dpi,LV_bottom,B7,P132,0.00061308
X584_Group3E_142dpi_LV_top_179_G_B7_P128.mzXML,584,infected,142dpi,LV_top,B7,P128,0.001741117
X584_Group3E_142dpi_RA_179_G_B7_P124.mzXML,584,infected,142dpi,RA,B7,P124,0.007727994
X584_Group3E_142dpi_RV_bottom_179_G_B7_P140.mzXML,584,infected,142dpi,RV_bottom,B7,P140,0
X584_Group3E_142dpi_RV_top_179_G_B7_P136.mzXML,584,infected,142dpi,RV_top,B7,P136,0.000058
X585_Group3E_142dpi_LA_180_G_B8_P120.mzXML,585,infected,142dpi,LA,B8,P120,0.003129263
X585_Group3E_142dpi_LV_bottom_180_G_B8_P132.mzXML,585,infected,142dpi,LV_bottom,B8,P132,0.000852706
X585_Group3E_142dpi_LV_top_180_G_B8_P128.mzXML,585,infected,142dpi,LV_top,B8,P128,0.00332771
X585_Group3E_142dpi_RA_180_G_B8_P124.mzXML,585,infected,142dpi,RA,B8,P124,0.008794404
X585_Group3E_142dpi_RV_bottom_180_G_B8_P140.mzXML,585,infected,142dpi,RV_bottom,B8,P140,0
X585_Group3E_142dpi_RV_top_180_G_B8_P136.mzXML,585,infected,142dpi,RV_top,B8,P136,0
X611_Group9_142dpi_LA_181_G_B9_P120.mzXML,611,combo,142dpi,LA,B9,P120,0.011610114
X611_Group9_142dpi_LV_bottom_181_G_B9_P132.mzXML,611,combo,142dpi,LV_bottom,B9,P132,0.000222028
X611_Group9_142dpi_LV_top_181_G_B9_P128.mzXML,611,combo,142dpi,LV_top,B9,P128,0.001795282
X611_Group9_142dpi_RA_181_G_B9_P124.mzXML,611,combo,142dpi,RA,B9,P124,0.003146454
X611_Group9_142dpi_RV_bottom_181_G_B9_P140.mzXML,611,combo,142dpi,RV_bottom,B9,P140,0
X611_Group9_142dpi_RV_top_181_G_B9_P136.mzXML,611,combo,142dpi,RV_top,B9,P136,0.000523323
X612_Group9_142dpi_LA_182_G_B10_P120.mzXML,612,combo,142dpi,LA,B10,P120,0.002357211
X612_Group9_142dpi_LV_bottom_182_G_B10_P132.mzXML,612,combo,142dpi,LV_bottom,B10,P132,0.0000462
X612_Group9_142dpi_LV_top_182_G_B10_P128.mzXML,612,combo,142dpi,LV_top,B10,P128,0.000666932
X612_Group9_142dpi_RA_182_G_B10_P124.mzXML,612,combo,142dpi,RA,B10,P124,0.005374843
X612_Group9_142dpi_RV_bottom_182_G_B10_P140.mzXML,612,combo,142dpi,RV_bottom,B10,P140,0
X612_Group9_142dpi_RV_top_182_G_B10_P136.mzXML,612,combo,142dpi,RV_top,B10,P136,0.000465131
X613_Group9_142dpi_LA_183_G_B11_P120.mzXML,613,combo,142dpi,LA,B11,P120,0.001973185
X613_Group9_142dpi_LV_bottom_183_G_B11_P132.mzXML,613,combo,142dpi,LV_bottom,B11,P132,0.000451238
X613_Group9_142dpi_LV_top_183_G_B11_P128.mzXML,613,combo,142dpi,LV_top,B11,P128,0.003324226
X613_Group9_142dpi_RA_183_G_B11_P124.mzXML,613,combo,142dpi,RA,B11,P124,0.004721533
X613_Group9_142dpi_RV_bottom_183_G_B11_P140.mzXML,613,combo,142dpi,RV_bottom,B11,P140,0
X613_Group9_142dpi_RV_top_183_G_B11_P136.mzXML,613,combo,142dpi,RV_top,B11,P136,0.000217049
X614_Group9_142dpi_LA_184_G_B12_P120.mzXML,614,combo,142dpi,LA,B12,P120,0.003930774
X614_Group9_142dpi_LV_bottom_184_G_B12_P132.mzXML,614,combo,142dpi,LV_bottom,B12,P132,0.000356286
X614_Group9_142dpi_LV_top_184_G_B12_P128.mzXML,614,combo,142dpi,LV_top,B12,P128,0.001230555
X614_Group9_142dpi_RA_184_G_B12_P124.mzXML,614,combo,142dpi,RA,B12,P124,0.00523359
X614_Group9_142dpi_RV_bottom_184_G_B12_P140.mzXML,614,combo,142dpi,RV_bottom,B12,P140,0.000203615
X614_Group9_142dpi_RV_top_184_G_B12_P136.mzXML,614,combo,142dpi,RV_top,B12,P136,0.001175458
X615_Group9_142dpi_LA_185_G_C1_P120.mzXML,615,combo,142dpi,LA,C1,P120,0.007027917
X615_Group9_142dpi_LV_bottom_185_G_C1_P132.mzXML,615,combo,142dpi,LV_bottom,C1,P132,0.000209509
X615_Group9_142dpi_LV_top_185_G_C1_P128.mzXML,615,combo,142dpi,LV_top,C1,P128,0.003122679
X615_Group9_142dpi_RA_185_G_C1_P124.mzXML,615,combo,142dpi,RA,C1,P124,0.005787677
X615_Group9_142dpi_RV_bottom_185_G_C1_P140.mzXML,615,combo,142dpi,RV_bottom,C1,P140,0
X615_Group9_142dpi_RV_top_185_G_C1_P136.mzXML,615,combo,142dpi,RV_top,C1,P136,0.0000688
X631_Group15_142dpi_LA_191_G_C7_P120.mzXML,631,BNZ,142dpi,LA,C7,P120,0.007523776
X631_Group15_142dpi_LV_bottom_191_G_C7_P132.mzXML,631,BNZ,142dpi,LV_bottom,C7,P132,0.001048426
X631_Group15_142dpi_LV_top_191_G_C7_P128.mzXML,631,BNZ,142dpi,LV_top,C7,P128,0.000855722
X631_Group15_142dpi_RA_191_G_C7_P124.mzXML,631,BNZ,142dpi,RA,C7,P124,0.001998533
X631_Group15_142dpi_RV_bottom_191_G_C7_P140.mzXML,631,BNZ,142dpi,RV_bottom,C7,P140,0
X631_Group15_142dpi_RV_top_191_G_C7_P136.mzXML,631,BNZ,142dpi,RV_top,C7,P136,0.000653108
X632_Group15_142dpi_LA_192_G_C8_P120.mzXML,632,BNZ,142dpi,LA,C8,P120,0.001181233
X632_Group15_142dpi_LV_bottom_192_G_C8_P132.mzXML,632,BNZ,142dpi,LV_bottom,C8,P132,0.000567214
X632_Group15_142dpi_LV_top_192_G_C8_P128.mzXML,632,BNZ,142dpi,LV_top,C8,P128,0.000329622
X632_Group15_142dpi_RA_192_G_C8_P124.mzXML,632,BNZ,142dpi,RA,C8,P124,0.00543845
X632_Group15_142dpi_RV_bottom_192_G_C8_P140.mzXML,632,BNZ,142dpi,RV_bottom,C8,P140,0
X632_Group15_142dpi_RV_top_192_G_C8_P136.mzXML,632,BNZ,142dpi,RV_top,C8,P136,0.0000689
X633_Group15_142dpi_LA_193_G_C9_P120.mzXML,633,BNZ,142dpi,LA,C9,P120,0.000631913
X633_Group15_142dpi_LV_bottom_193_G_C9_P132.mzXML,633,BNZ,142dpi,LV_bottom,C9,P132,0.000395188
X633_Group15_142dpi_LV_top_193_G_C9_P128.mzXML,633,BNZ,142dpi,LV_top,C9,P128,0.001734099
X633_Group15_142dpi_RA_193_G_C9_P124.mzXML,633,BNZ,142dpi,RA,C9,P124,0.002672164
X633_Group15_142dpi_RV_bottom_193_G_C9_P140.mzXML,633,BNZ,142dpi,RV_bottom,C9,P140,0.000390135
X633_Group15_142dpi_RV_top_193_G_C9_P136.mzXML,633,BNZ,142dpi,RV_top,C9,P136,0
X634_Group15_142dpi_LA_194_G_C10_P120.mzXML,634,BNZ,142dpi,LA,C10,P120,0.004163269
X634_Group15_142dpi_LV_bottom_194_G_C10_P132.mzXML,634,BNZ,142dpi,LV_bottom,C10,P132,0.000502377
X634_Group15_142dpi_LV_top_194_G_C10_P128.mzXML,634,BNZ,142dpi,LV_top,C10,P128,0.002007866
X634_Group15_142dpi_RA_194_G_C10_P124.mzXML,634,BNZ,142dpi,RA,C10,P124,0.001942616
X634_Group15_142dpi_RV_bottom_194_G_C10_P140.mzXML,634,BNZ,142dpi,RV_bottom,C10,P140,0
X634_Group15_142dpi_RV_top_194_G_C10_P136.mzXML,634,BNZ,142dpi,RV_top,C10,P136,0.000287006
X635_Group15_142dpi_LA_195_G_C11_P120.mzXML,635,BNZ,142dpi,LA,C11,P120,0.001293676
X635_Group15_142dpi_LV_bottom_195_G_C11_P132.mzXML,635,BNZ,142dpi,LV_bottom,C11,P132,0.0000457
X635_Group15_142dpi_LV_top_195_G_C11_P128.mzXML,635,BNZ,142dpi,LV_top,C11,P128,0.000280083
X635_Group15_142dpi_RA_195_G_C11_P124.mzXML,635,BNZ,142dpi,RA,C11,P124,0.001305775
X635_Group15_142dpi_RV_bottom_195_G_C11_P140.mzXML,635,BNZ,142dpi,RV_bottom,C11,P140,0.000733527
X635_Group15_142dpi_RV_top_195_G_C11_P136.mzXML,635,BNZ,142dpi,RV_top,C11,P136,0.000375859
X666_Group3E_142dpi_LA_201_G_D5_P120.mzXML,666,infected,142dpi,LA,D5,P120,0.003986599
X666_Group3E_142dpi_LV_bottom_201_G_D5_P132.mzXML,666,infected,142dpi,LV_bottom,D5,P132,0.000636327
X666_Group3E_142dpi_LV_top_201_G_D5_P128.mzXML,666,infected,142dpi,LV_top,D5,P128,0.003155736
X666_Group3E_142dpi_RA_201_G_D5_P124.mzXML,666,infected,142dpi,RA,D5,P124,0.001066209
X666_Group3E_142dpi_RV_bottom_201_G_D5_P140.mzXML,666,infected,142dpi,RV_bottom,D5,P140,0
X666_Group3E_142dpi_RV_top_201_G_D5_P136.mzXML,666,infected,142dpi,RV_top,D5,P136,0.000308143
X667_Group3E_142dpi_LA_202_G_D6_P120.mzXML,667,infected,142dpi,LA,D6,P120,0.001532614
X667_Group3E_142dpi_LV_bottom_202_G_D6_P132.mzXML,667,infected,142dpi,LV_bottom,D6,P132,0.000803193
X667_Group3E_142dpi_LV_top_202_G_D6_P128.mzXML,667,infected,142dpi,LV_top,D6,P128,0.006673995
X667_Group3E_142dpi_RA_202_G_D6_P124.mzXML,667,infected,142dpi,RA,D6,P124,0.0032859
X667_Group3E_142dpi_RV_bottom_202_G_D6_P140.mzXML,667,infected,142dpi,RV_bottom,D6,P140,0
X667_Group3E_142dpi_RV_top_202_G_D6_P136.mzXML,667,infected,142dpi,RV_top,D6,P136,0.000167156
X668_Group3E_142dpi_LA_203_G_D7_P120.mzXML,668,infected,142dpi,LA,D7,P120,0.002406818
X668_Group3E_142dpi_LV_bottom_203_G_D7_P132.mzXML,668,infected,142dpi,LV_bottom,D7,P132,0.001137111
X668_Group3E_142dpi_LV_top_203_G_D7_P128.mzXML,668,infected,142dpi,LV_top,D7,P128,0.003464563
X668_Group3E_142dpi_RA_203_G_D7_P124.mzXML,668,infected,142dpi,RA,D7,P124,0.002257876
X668_Group3E_142dpi_RV_bottom_203_G_D7_P140.mzXML,668,infected,142dpi,RV_bottom,D7,P140,0
X668_Group3E_142dpi_RV_top_203_G_D7_P136.mzXML,668,infected,142dpi,RV_top,D7,P136,0.000276301
X669_Group3E_142dpi_LA_204_G_D8_P120.mzXML,669,infected,142dpi,LA,D8,P120,0.000802385
X669_Group3E_142dpi_LV_bottom_204_G_D8_P132.mzXML,669,infected,142dpi,LV_bottom,D8,P132,0.000457203
X669_Group3E_142dpi_LV_top_204_G_D8_P128.mzXML,669,infected,142dpi,LV_top,D8,P128,0.000595363
X669_Group3E_142dpi_RA_204_G_D8_P124.mzXML,669,infected,142dpi,RA,D8,P124,0.003821364
X669_Group3E_142dpi_RV_bottom_204_G_D8_P140.mzXML,669,infected,142dpi,RV_bottom,D8,P140,0.0000809
X669_Group3E_142dpi_RV_top_204_G_D8_P136.mzXML,669,infected,142dpi,RV_top,D8,P136,0.001552789
X670_Group3E_142dpi_LA_205_G_D9_P120.mzXML,670,infected,142dpi,LA,D9,P120,0.003235769
X670_Group3E_142dpi_LV_bottom_205_G_D9_P132.mzXML,670,infected,142dpi,LV_bottom,D9,P132,0.001184399
X670_Group3E_142dpi_LV_top_205_G_D9_P128.mzXML,670,infected,142dpi,LV_top,D9,P128,0.00023748
X670_Group3E_142dpi_RA_205_G_D9_P124.mzXML,670,infected,142dpi,RA,D9,P124,0.001684721
X670_Group3E_142dpi_RV_bottom_205_G_D9_P140.mzXML,670,infected,142dpi,RV_bottom,D9,P140,0
X670_Group3E_142dpi_RV_top_205_G_D9_P136.mzXML,670,infected,142dpi,RV_top,D9,P136,0.0001333
X696_Group9_142dpi_LA_206_G_D10_P120.mzXML,696,combo,142dpi,LA,D10,P120,0.001577145
X696_Group9_142dpi_LV_bottom_206_G_D10_P132.mzXML,696,combo,142dpi,LV_bottom,D10,P132,0.000726574
X696_Group9_142dpi_LV_top_206_G_D10_P128.mzXML,696,combo,142dpi,LV_top,D10,P128,0.001844122
X696_Group9_142dpi_RA_206_G_D10_P124.mzXML,696,combo,142dpi,RA,D10,P124,0.004438706
X696_Group9_142dpi_RV_bottom_206_G_D10_P140.mzXML,696,combo,142dpi,RV_bottom,D10,P140,0.0000697
X696_Group9_142dpi_RV_top_206_G_D10_P136.mzXML,696,combo,142dpi,RV_top,D10,P136,0.0000593
X697_Group9_142dpi_LA_207_G_D11_P120.mzXML,697,combo,142dpi,LA,D11,P120,0.0001644
X697_Group9_142dpi_LV_bottom_207_G_D11_P132.mzXML,697,combo,142dpi,LV_bottom,D11,P132,0.000811299
X697_Group9_142dpi_LV_top_207_G_D11_P128.mzXML,697,combo,142dpi,LV_top,D11,P128,0.001542566
X697_Group9_142dpi_RA_207_G_D11_P124.mzXML,697,combo,142dpi,RA,D11,P124,0.003109728
X697_Group9_142dpi_RV_bottom_207_G_D11_P140.mzXML,697,combo,142dpi,RV_bottom,D11,P140,0.0000613
X697_Group9_142dpi_RV_top_207_G_D11_P136.mzXML,697,combo,142dpi,RV_top,D11,P136,0.0001075
X698_Group9_142dpi_LA_208_G_D12_P120.mzXML,698,combo,142dpi,LA,D12,P120,0.004433829
X698_Group9_142dpi_LV_bottom_208_G_D12_P132.mzXML,698,combo,142dpi,LV_bottom,D12,P132,0.000636416
X698_Group9_142dpi_LV_top_208_G_D12_P128.mzXML,698,combo,142dpi,LV_top,D12,P128,0.000517916
X698_Group9_142dpi_RA_208_G_D12_P124.mzXML,698,combo,142dpi,RA,D12,P124,0.01040872
X698_Group9_142dpi_RV_bottom_208_G_D12_P140.mzXML,698,combo,142dpi,RV_bottom,D12,P140,0
X698_Group9_142dpi_RV_top_208_G_D12_P136.mzXML,698,combo,142dpi,RV_top,D12,P136,0.000160169
X699_Group9_142dpi_LA_209_G_E1_P120.mzXML,699,combo,142dpi,LA,E1,P120,0.005240351
X699_Group9_142dpi_LV_bottom_209_G_E1_P132.mzXML,699,combo,142dpi,LV_bottom,E1,P132,0.001149502
X699_Group9_142dpi_LV_top_209_G_E1_P128.mzXML,699,combo,142dpi,LV_top,E1,P128,0.003214833
X699_Group9_142dpi_RA_209_G_E1_P124.mzXML,699,combo,142dpi,RA,E1,P124,0.006142335
X699_Group9_142dpi_RV_bottom_209_G_E1_P140.mzXML,699,combo,142dpi,RV_bottom,E1,P140,0.002069406
X699_Group9_142dpi_RV_top_209_G_E1_P136.mzXML,699,combo,142dpi,RV_top,E1,P136,0.000215561
X700_Group9_142dpi_LA_210_G_E2_P120.mzXML,700,combo,142dpi,LA,E2,P120,0.001503109
X700_Group9_142dpi_LV_bottom_210_G_E2_P132.mzXML,700,combo,142dpi,LV_bottom,E2,P132,0.000253673
