"filename","MouseID","Treatmentgroup","status","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X526_Group1B_70dpi_LA_286_B_C12_P121.mzXML",526,"Group1B","naive","DPI_75","LA","C12","P121",2.27e-05,0.004820784
"X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML",527,"Group1B","naive","DPI_75","LA","D1","P121",0,0.005369205
"X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML",528,"Group1B","naive","DPI_75","LA","D2","P121",3.9e-05,0.004778107
"X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML",529,"Group1B","naive","DPI_75","LA","D3","P121",0,0.003765747
"X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML",530,"Group1B","naive","DPI_75","LA","D4","P121",0,0.001926021
"X546_Group1B_70dpi_LA_291_B_D5_P121.mzXML",546,"Group1B","naive","DPI_75","LA","D5","P121",0,0.000910241
"X547_Group1B_70dpi_LA_292_B_D6_P121.mzXML",547,"Group1B","naive","DPI_75","LA","D6","P121",0,0.009803275
"X548_Group1B_70dpi_LA_293_B_D7_P121.mzXML",548,"Group1B","naive","DPI_75","LA","D7","P121",0,0
"X549_Group1B_70dpi_LA_294_B_D8_P121.mzXML",549,"Group1B","naive","DPI_75","LA","D8","P121",0,0.006560443
"X550_Group1B_70dpi_LA_295_B_D9_P121.mzXML",550,"Group1B","naive","DPI_75","LA","D9","P121",0,0.002630973
"X511_Group1C_142dpi_LA_161_G_A1_P120.mzXML",511,"Group1C","naive","DPI_142","LA","A1","P120",0,0.002466692
"X512_Group1C_142dpi_LA_162_G_A2_P120.mzXML",512,"Group1C","naive","DPI_142","LA","A2","P120",0,0.001265076
"X513_Group1C_142dpi_LA_163_G_A3_P120.mzXML",513,"Group1C","naive","DPI_142","LA","A3","P120",0,0.000731922
"X514_Group1C_142dpi_LA_164_G_A4_P120.mzXML",514,"Group1C","naive","DPI_142","LA","A4","P120",0,0.001584927
"X515_Group1C_142dpi_LA_165_G_A5_P120.mzXML",515,"Group1C","naive","DPI_142","LA","A5","P120",0,0.000793961
"X531_Group1C_142dpi_LA_166_G_A6_P120.mzXML",531,"Group1C","naive","DPI_142","LA","A6","P120",0,0.001016111
"X532_Group1C_142dpi_LA_167_G_A7_P120.mzXML",532,"Group1C","naive","DPI_142","LA","A7","P120",0,0.001184383
"X533_Group1C_142dpi_LA_168_G_A8_P120.mzXML",533,"Group1C","naive","DPI_142","LA","A8","P120",0,0.00112625
"X534_Group1C_142dpi_LA_169_G_A9_P120.mzXML",534,"Group1C","naive","DPI_142","LA","A9","P120",0,0.001804336
"X535_Group1C_142dpi_LA_170_G_A10_P120.mzXML",535,"Group1C","naive","DPI_142","LA","A10","P120",0,0.001334937
"X551_Group1C_142dpi_LA_171_G_A11_P120.mzXML",551,"Group1C","naive","DPI_142","LA","A11","P120",1.88e-05,0.005038145
"X552_Group1C_142dpi_LA_172_G_A12_P120.mzXML",552,"Group1C","naive","DPI_142","LA","A12","P120",0,0.001818173
"X553_Group1C_142dpi_LA_173_G_B1_P120.mzXML",553,"Group1C","naive","DPI_142","LA","B1","P120",0,0.002070501
"X554_Group1C_142dpi_LA_174_G_B2_P120.mzXML",554,"Group1C","naive","DPI_142","LA","B2","P120",0,0.000719968
"X555_Group1C_142dpi_LA_175_G_B3_P120.mzXML",555,"Group1C","naive","DPI_142","LA","B3","P120",0,0.005655063
"X561_Group3A_50dpi_LA_266_B_B4_P121.mzXML",561,"Group3A","infected","DPI_50","LA","B4","P121",0,0.004190287
"X562_Group3A_50dpi_LA_267_B_B5_P121.mzXML",562,"Group3A","infected","DPI_50","LA","B5","P121",0,0.003405855
"X563_Group3A_50dpi_LA_268_B_B6_P121.mzXML",563,"Group3A","infected","DPI_50","LA","B6","P121",0,0.001487063
"X564_Group3A_50dpi_LA_269_B_B7_P121.mzXML",564,"Group3A","infected","DPI_50","LA","B7","P121",0,0.004110366
"X565_Group3A_50dpi_LA_270_B_B8_P121.mzXML",565,"Group3A","infected","DPI_50","LA","B8","P121",0,0.00035568
"X646_Group3A_50dpi_LA_271_B_B9_P121.mzXML",646,"Group3A","infected","DPI_50","LA","B9","P121",0,0.001576815
"X647_Group3A_50dpi_LA_272_B_B10_P121.mzXML",647,"Group3A","infected","DPI_50","LA","B10","P121",0,0.001769642
"X648_Group3A_50dpi_LA_273_B_B11_P121.mzXML",648,"Group3A","infected","DPI_50","LA","B11","P121",0,0
"X649_Group3A_50dpi_LA_274_B_B12_P121.mzXML",649,"Group3A","infected","DPI_50","LA","B12","P121",0.0001728,0.003741154
"X650_Group3A_50dpi_LA_275_B_C1_P121.mzXML",650,"Group3A","infected","DPI_50","LA","C1","P121",0.000559,0.014973008
"X731_Group3A_50dpi_LA_276_B_C2_P121.mzXML",731,"Group3A","infected","DPI_50","LA","C2","P121",0.000104853,0.004022789
"X732_Group3A_50dpi_LA_277_B_C3_P121.mzXML",732,"Group3A","infected","DPI_50","LA","C3","P121",0,0
"X733_Group3A_50dpi_LA_278_B_C4_P121.mzXML",733,"Group3A","infected","DPI_50","LA","C4","P121",0,0.002954629
"X734_Group3A_50dpi_LA_279_B_C5_P121.mzXML",734,"Group3A","infected","DPI_50","LA","C5","P121",0,0.001050012
"X735_Group3A_50dpi_LA_280_B_C6_P121.mzXML",735,"Group3A","infected","DPI_50","LA","C6","P121",0,0.001273196
"X566_Group3B_70dpi_LA_296_B_D10_P121.mzXML",566,"Group3B","infected","DPI_75","LA","D10","P121",0.000626497,0.005409667
"X567_Group3B_70dpi_LA_297_B_D11_P121.mzXML",567,"Group3B","infected","DPI_75","LA","D11","P121",0.000119069,0.005415135
"X568_Group3B_70dpi_LA_298_B_D12_P121.mzXML",568,"Group3B","infected","DPI_75","LA","D12","P121",0,0.002122307
"X569_Group3B_70dpi_LA_299_B_E1_P121.mzXML",569,"Group3B","infected","DPI_75","LA","E1","P121",0.000141,0.014842335
"X570_Group3B_70dpi_LA_300_B_E2_P121.mzXML",570,"Group3B","infected","DPI_75","LA","E2","P121",7.98e-05,0.002554678
"X651_Group3B_70dpi_LA_301_B_E3_P121.mzXML",651,"Group3B","infected","DPI_75","LA","E3","P121",0,0.000318239
"X652_Group3B_70dpi_LA_302_B_E4_P121.mzXML",652,"Group3B","infected","DPI_75","LA","E4","P121",0,0.000857314
"X653_Group3B_70dpi_LA_303_B_E5_P121.mzXML",653,"Group3B","infected","DPI_75","LA","E5","P121",0,0.000997842
"X654_Group3B_70dpi_LA_304_B_E6_P121.mzXML",654,"Group3B","infected","DPI_75","LA","E6","P121",0,0.000967429
"X655_Group3B_70dpi_LA_305_B_E7_P121.mzXML",655,"Group3B","infected","DPI_75","LA","E7","P121",0,0.001758485
"X736_Group3B_70dpi_LA_306_B_E8_P121.mzXML",736,"Group3B","infected","DPI_75","LA","E8","P121",0,0.000732075
"X737_Group3B_70dpi_LA_307_B_E9_P121.mzXML",737,"Group3B","infected","DPI_75","LA","E9","P121",0,0.000246612
"X738_Group3B_70dpi_LA_308_B_E10_P121.mzXML",738,"Group3B","infected","DPI_75","LA","E10","P121",2.12e-05,0.000275527
"X739_Group3B_70dpi_LA_309_B_E11_P121.mzXML",739,"Group3B","infected","DPI_75","LA","E11","P121",0,0.000729341
