organ,LA,LVB,LVT,RA,RVB,RVT,all_sum
X538.282_2.586,0.0000161,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000161
X700.527_3.967,0.0000162,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000162
X188.067_0.434,0.0000163,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000163
X452.395_3.267,0.0000164,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000164
X373.274_2.701,0.0000167,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000167
X567.939_2.193,0.0000167,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000167
X305.166_2.202,0.0000167,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000167
X728.559_5.575,0,0.00E+00,0.00E+00,0.00E+00,1.67E-05,0,0.0000167
X856.581_4.278,0.0000168,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000168
X904.553_3.289,0.0000169,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000169
X354.373_3.762,0,0.00E+00,0.00E+00,1.70E-05,0.00E+00,0,0.000017
X627.31_2.249,0.000017,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.000017
X572.298_2.749,0.0000171,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000171
X485.288_3.422,0.0000172,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000172
X274.184_2.58,0,0.00E+00,0.00E+00,0.00E+00,1.72E-05,0,0.0000172
X528.226_2.146,0.0000173,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000173
X476.228_2.773,0.0000174,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000174
X352.291_5.536,0.0000176,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000176
X888.466_2.881,0.0000176,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000176
X462.297_2.922,0,0.00E+00,1.76E-05,0.00E+00,0.00E+00,0,0.0000176
X652.551_3.953,0.0000177,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000177
X591.056_2.252,0.0000178,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000178
X494.217_2.325,0,0.00E+00,1.78E-05,0.00E+00,0.00E+00,0,0.0000178
X512.335_2.828,0,0.00E+00,1.78E-05,0.00E+00,0.00E+00,0,0.0000178
X112.036_4.793,0.0000179,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000179
X484.436_3.152,0,0.00E+00,1.79E-05,0.00E+00,0.00E+00,0,0.0000179
X550.457_2.416,0.0000179,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.0000179
X406.208_2.642,0,0.00E+00,1.79E-05,0.00E+00,0.00E+00,0,0.0000179
