filename,CD4
aq_pos_mass_568.324_3.793_5407,1
aq_pos_mass_590.426_4.48_831,1
aq_pos_mass_634.452_4.473_769,1
aq_pos_mass_678.478_4.466_401,1
aq_pos_mass_710.223_3.626_2239,1
aq_pos_mass_722.504_4.459_310,1
aq_pos_mass_763.778_3.639_4205,1
aq_pos_mass_766.529_4.452_358,1
aq_pos_mass_773.377_4.19_736,1
aq_pos_mass_790.404_4.19_726,1
aq_pos_mass_795.359_4.19_83,1
aq_pos_mass_810.555_4.446_445,1
aq_pos_mass_818.423_4.2_342,1
aq_pos_mass_854.583_4.439_832,1
aq_pos_mass_898.609_4.434_2367,1
aq_pos_mass_902.553_3.686_6077,1
aq_pos_mass_932.789_5.899_1544,1
aq_pos_mass_968.122_4.084_2779,1
aq_pos_mass_994.108_3.627_1235,1
org_pos_mass_100.113_0.311_1286,1
org_pos_mass_1015.673_4.273_2143,1
org_pos_mass_1021.626_4.242_1491,1
org_pos_mass_118.123_0.309_43,1
org_pos_mass_126.022_0.348_1104,1
org_pos_mass_1290.632_4.78_1602,1
org_pos_mass_131.086_4.022_3847,1
org_pos_mass_136.048_0.311_1212,1
org_pos_mass_139.988_6.902_1798,1
org_pos_mass_140.068_0.309_127,1
org_pos_mass_151.035_0.295_3175,1
org_pos_mass_151.076_3.697_1595,1
org_pos_mass_154.059_0.311_1202,1
org_pos_mass_159.014_0.364_3752,1
org_pos_mass_159.117_3.76_1492,1
org_pos_mass_166.084_0.31_2353,1
org_pos_mass_175.015_4.182_48,1
org_pos_mass_177.127_3.888_3848,1
org_pos_mass_178.057_3.663_1224,1
org_pos_mass_184.073_6.607_3463,1
org_pos_mass_189.16_0.297_1874,1
org_pos_mass_192.159_0.32_2514,1
org_pos_mass_201.087_0.409_2608,1
org_pos_mass_207.014_0.303_1227,1
org_pos_mass_214.253_4.16_936,1
org_pos_mass_227.201_4.234_322,1
org_pos_mass_230.248_4.167_55,1
org_pos_mass_236.105_3.56_1459,1
org_pos_mass_238.1_3.504_1162,1
org_pos_mass_240.097_3.504_1178,1
org_pos_mass_241.18_3.896_1674,1
org_pos_mass_257.222_3.87_707,1
org_pos_mass_258.279_4.323_3193,1
org_pos_mass_269.139_3.784_1465,1
org_pos_mass_279.123_3.775_1731,1
org_pos_mass_280.092_0.309_3126,1
org_pos_mass_290.086_0.317_1290,1
org_pos_mass_291.121_3.784_1236,1
org_pos_mass_297.133_3.626_307,1
org_pos_mass_300.289_4.29_3740,1
org_pos_mass_302.306_4.349_1617,1
org_pos_mass_332.331_4.544_243,1
org_pos_mass_337.126_3.622_1234,1
org_pos_mass_358.295_4.205_2466,1
org_pos_mass_369.352_5.433_1693,1
org_pos_mass_375.065_0.305_1793,1
org_pos_mass_376.259_4.164_522,1
org_pos_mass_377.224_4.378_3245,1
org_pos_mass_405.16_4.351_851,1
org_pos_mass_413.338_4.41_2915,1
org_pos_mass_422.326_4.336_2051,1
org_pos_mass_429.191_4.081_1456,1
org_pos_mass_438.298_4.349_1258,1
org_pos_mass_440.205_3.63_1788,1
org_pos_mass_447.206_4.255_929,1
org_pos_mass_454.293_4.285_596,1
org_pos_mass_464.233_4.26_1497,1
org_pos_mass_466.33_4.508_1316,1
org_pos_mass_478.293_4.232_587,1
org_pos_mass_480.309_4.318_634,1
org_pos_mass_480.345_4.348_576,1
org_pos_mass_482.325_4.444_563,1
org_pos_mass_496.34_4.3_562,1
org_pos_mass_504.325_4.752_1768,1
org_pos_mass_508.376_4.495_606,1
org_pos_mass_510.356_4.368_1543,1
org_pos_mass_518.324_4.19_1854,1
org_pos_mass_524.372_4.442_571,1
org_pos_mass_528.309_4.271_647,1
org_pos_mass_548.372_4.365_1527,1
org_pos_mass_566.346_4.508_614,1
org_pos_mass_570.356_4.277_1188,1
org_pos_mass_572.373_4.347_1481,1
org_pos_mass_620.392_4.456_1390,1
org_pos_mass_628.184_4.245_1616,1
org_pos_mass_634.453_4.461_113,1
org_pos_mass_644.493_4.445_3559,1
org_pos_mass_652.38_4.467_2585,1
org_pos_mass_662.4_4.556_2606,1
org_pos_mass_668.415_4.495_2710,1
org_pos_mass_682.431_4.37_3891,1
org_pos_mass_692.451_4.477_3557,1
org_pos_mass_717.59_6.781_3632,1
org_pos_mass_722.307_4.174_639,1
org_pos_mass_766.577_6.715_1166,1
org_pos_mass_768.545_6.824_3586,1
org_pos_mass_773.379_4.182_13,1
org_pos_mass_790.406_4.18_7,1
org_pos_mass_836.603_4.657_3467,1
org_pos_mass_991.673_4.299_1592,1
