"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","CAR_mid_chain","CAR_long_chain"
"X634_Group15_142dpi_LV_bottom_194_G_C10_P132.mzXML",634,"BNZ",142,"LV_bottom","C10","P132",0,0.000502377
"X635_Group15_142dpi_LV_bottom_195_G_C11_P132.mzXML",635,"BNZ",142,"LV_bottom","C11","P132",0,4.57e-05
"X666_Group3E_142dpi_LV_bottom_201_G_D5_P132.mzXML",666,"infected",142,"LV_bottom","D5","P132",0,0.000636327
"X667_Group3E_142dpi_LV_bottom_202_G_D6_P132.mzXML",667,"infected",142,"LV_bottom","D6","P132",0,0.000803193
"X668_Group3E_142dpi_LV_bottom_203_G_D7_P132.mzXML",668,"infected",142,"LV_bottom","D7","P132",0,0.001137111
"X669_Group3E_142dpi_LV_bottom_204_G_D8_P132.mzXML",669,"infected",142,"LV_bottom","D8","P132",0,0.000457203
"X670_Group3E_142dpi_LV_bottom_205_G_D9_P132.mzXML",670,"infected",142,"LV_bottom","D9","P132",0,0.001184399
"X696_Group9_142dpi_LV_bottom_206_G_D10_P132.mzXML",696,"combo",142,"LV_bottom","D10","P132",0,0.000726574
"X697_Group9_142dpi_LV_bottom_207_G_D11_P132.mzXML",697,"combo",142,"LV_bottom","D11","P132",0,0.000811299
"X698_Group9_142dpi_LV_bottom_208_G_D12_P132.mzXML",698,"combo",142,"LV_bottom","D12","P132",0,0.000636416
"X699_Group9_142dpi_LV_bottom_209_G_E1_P132.mzXML",699,"combo",142,"LV_bottom","E1","P132",0,0.001149502
"X700_Group9_142dpi_LV_bottom_210_G_E2_P132.mzXML",700,"combo",142,"LV_bottom","E2","P132",0,0.000253673
"X716_Group15_142dpi_LV_bottom_216_G_E8_P132.mzXML",716,"BNZ",142,"LV_bottom","E8","P132",0,0.000245647
"X717_Group15_142dpi_LV_bottom_217_G_E9_P132.mzXML",717,"BNZ",142,"LV_bottom","E9","P132",0,0.000185003
"X718_Group15_142dpi_LV_bottom_218_G_E10_P132.mzXML",718,"BNZ",142,"LV_bottom","E10","P132",0,0.000546013
"X719_Group15_142dpi_LV_bottom_219_G_E11_P132.mzXML",719,"BNZ",142,"LV_bottom","E11","P132",0,0.000114328
"X720_Group15_142dpi_LV_bottom_220_G_E12_P132.mzXML",720,"BNZ",142,"LV_bottom","E12","P132",0,0.0001055
"X751_Group3E_142dpi_LV_bottom_226_G_F6_P132.mzXML",751,"infected",142,"LV_bottom","F6","P132",0,0.000695979
"X752_Group3E_142dpi_LV_bottom_227_G_F7_P132.mzXML",752,"infected",142,"LV_bottom","F7","P132",0,0.000242945
