MouseID,Treatmentgroup,Heart.Weight..Body.Weight,Liver.Weight..Body.Weight,Ejection.Fraction,PR.Interval..s.,QTc..s.,P.Amplitude..V.,CD3.CD8.IFNg.,X293.211_2.933,X440.337_2.765,X442.353_2.823,X141.091_1.54,X203.007_0.309,X240.116_2.324,X249.112_2.768,X272.222_2.957,X296.258_2.976,X311.221_2.932,X345.243_3.095,X366.373_3.699,X546.029_2.319,X607.227_2.771,X608.227_2.768,X690.434_3.14,X692.414_2.985,X708.445_3.006,X709.936_2.18,X720.445_3.09,X737.391_2.399,X776.042_2.398,X776.095_2.398,X776.148_2.398,X776.359_2.398,X819.433_2.399,X867.281_2.399
554,Group1C,0.006726457,0.051569507,51.9179445,0.03835,0.04182,0.09241,0.0143,0.000571513,0,0,0.000160133,0.000164546,7.27E-05,0,0.000585121,0.000246269,0.000521619,0.000126532,0.000188467,8.30E-05,0,5.35E-05,0.000113079,0.0002453,0.000675837,0,0,0.00013939,0.000286905,0.000512548,0.000625943,0.000807376,0.000625943,0.000319603
555,Group1C,0.005860806,0.054578755,64.9008225,0.03762,0.04483,0.1079,0.0054,0.00055178,0.000135909,0.000106739,0.000141179,4.87E-05,3.47E-05,2.84E-05,0.000309823,0.000190907,0.000557681,0.00020216,0.001029793,9.39E-05,0,2.86E-05,7.87E-05,0.000182559,0.000460308,2.86E-05,0,6.03E-05,6.97E-05,0.000136097,0.000191824,0.000232803,0.000215891,6.57E-05
581,Group3E,0.005726872,0.057268722,55.495585,0.03765,0.05897,0.199,2.00E-04,0.000744074,0.000442853,0.00029723,7.66E-05,0,0.000213447,2.15E-05,0.00568528,0,0.000702182,0,0.001248767,0.000241375,1.95E-05,2.18E-05,6.36E-05,0.000147547,0.000686223,9.20E-05,0,0.000255339,0.000307205,0.00042889,0.000696197,0.000766017,0.000626378,0.000307205
582,Group3E,0.006511628,0.058604651,63.235549,0.0416,0.04984,0.08845,0,0.000555608,0.000314255,0.000212164,0.000114338,0.000115359,0,5.28E-05,0.00020212,0.000223923,0.000545627,0,0.001071292,3.52E-05,3.41E-05,5.65E-05,0.000218718,0.000429182,0.001008079,4.16E-05,0.000180561,3.62E-05,3.89E-05,5.69E-05,8.45E-05,7.55E-05,0.000166114,4.83E-05
583,Group3E,0.004705882,0.056862745,68.7612665,0.0378,0.04145,0.1093,0.0015,0.000387376,0.000697277,0.000739536,8.66E-05,0,0.000196786,0.00011515,0.000707842,0.000207706,0.000383854,9.75E-05,0.00077123,5.33E-05,4.11E-05,0.00015011,3.99E-05,0.000162319,0.000552891,4.41E-05,0,8.87E-05,9.52E-05,0.000216706,0.000338104,0.000471894,0.000485981,0.000190673
584,Group3E,0.006666667,0.060740741,76.9397435,0.03726,0.05197,0.1125,0.0059,0.000670678,0.000169451,0.000152333,0.000137472,6.49E-05,8.14E-05,7.19E-05,0.000348635,0.000241067,0,0,0.001799309,0,0,3.97E-05,0.000283243,0.000508179,0.00050227,0,0.000234553,0,0,0,0,0,0,0
585,Group3E,0.0076,0.062,85.5267555,0.03709,0.04213,0.1389,0.003,0.000285546,0.00041631,0.000579098,7.75E-05,0.000130843,8.18E-05,8.48E-05,0.000293552,0.000126785,0.000257409,1.95E-05,0.001657234,0,3.13E-05,9.87E-05,0.000309564,0.000557749,0.000926023,0,0.000152366,0,0,0,2.35E-05,3.58E-05,0,0
611,Group9,0.006382979,0.06,47.4829395,0.03816,0.04239,0.133,3.00E-04,0.000543645,0.000386347,0.000275962,0.000146666,0,0.00029252,3.93E-05,0.002445024,0.000195543,0.000565722,0,0.000557443,0.000235,3.76E-05,4.67E-05,7.79E-05,0.000477414,0.001156281,0.000118265,9.72E-05,8.67E-05,0.000102903,0.000189529,0.000303558,0.00036151,0.000309077,0.000141744
612,Group9,0.007296137,0.056652361,62.1780775,0.038,0.04372,0.1077,-0.0053,0.000262293,0.000229917,0.000220292,0,0.000393517,7.65E-05,0.000149907,0.000412467,0.000356011,0.000308169,0,0,9.72E-05,0.000110132,0.000140528,6.44E-05,0.000418073,0.000366927,0,0,9.77E-05,0.000245467,0.000409828,0.000828059,0.000811386,0.000800271,0.000424
613,Group9,0.005217391,0.056956522,60.4921355,0.03235,0.05015,0.06655,0.003,0.000278313,0.000276787,0.000509145,0.000256755,6.61E-05,0.000185667,4.55E-05,0.000294685,0.000296358,0.000210295,3.15E-05,0.000654024,3.44E-05,3.36E-05,5.99E-05,0,3.44E-05,0.000284637,0,0,0.00018563,0.000187123,0.000310442,0.00039713,0.000591933,0.000496727,0.000263751
614,Group9,0.005220884,0.058634538,76.122708,0.04185,0.04998,0.09401,0.0013,0.000510418,0.000318514,0.000243216,0.000405619,4.84E-05,0.000110574,0,0.000680557,0.000488605,0.000475517,0.000112158,0,7.08E-05,0,0,0.00025281,0.000203383,0.000606393,6.52E-05,0,9.75E-05,0.000186552,0.000435305,0.000724182,0.000706732,0.000759083,0.000406023
615,Group9,0.005217391,0.056956522,55.533844,0.03867,0.04432,0.14,0.007,0.000479521,0.000246842,0.0003561,0.000107109,0,2.85E-05,0,0.000189621,0.000177686,0,0.000208399,0.001116859,6.19E-05,0,0,6.79E-05,9.63E-05,0.000313611,0,0,1.97E-05,3.59E-05,7.98E-05,0.000119594,0.000131164,9.74E-05,7.36E-05
