MouseID,Treatment_group,X440.337_2.765,X442.353_2.823,X105.07_2.767,X119.049_2.765,X128.018_0.344,X136.062_0.301,X136.097_0.551,X137.046_0.35,X137.046_0.42,X203.007_0.309,X249.112_2.768,X251.037_0.323,X256.264_3.225,X258.207_2.775,X267.123_2.767,X285.133_2.768,X291.146_2.39,X296.258_2.976,X301.115_0.328,X301.115_0.413,X324.327_3.455,X351.217_2.741,X352.306_2.997,X369.17_2.767,X380.993_2.164,X386.717_2.856,X387.193_2.842,X396.332_2.991,X397.22_2.071,X400.97_2.127,X416.337_2.79,X420.899_2.103,X426.484_2.164,X430.223_2.769,X440.359_2.985,X458.23_2.165,X466.25_2.226,X475.989_2.164,X476.24_2.164,X484.385_2.982,X489.228_2.768,X494.325_2.865,X570.357_2.934,X580.362_2.984,X599.241_2.765,X604.362_2.948,X620.356_2.913,X682.363_3.329,X682.364_3.313,X764.524_3.729,X790.38_2.768,X792.329_2.764,X795.335_2.768,X811.309_2.773
698,combo,0.000183621,0.000383762,0.004629602,5.05E-05,0,0.001140173,0.000514742,0.013155838,0.007016447,0,0,0,0,0.003790134,0.003965545,0.001904464,5.84E-05,0,4.98E-05,0,0,0,0,0.001077526,0,0,0.00017505,0,0,0,0.000452795,0,0,0.000131205,5.26E-05,0,0,8.86E-05,8.61E-05,5.01E-05,0.001315584,0.000431812,0.000657792,0.013281132,0.000163835,0.000594132,0.000125921,0,0.000321222,0,0.002142522,0,0.001415819,0.000172528
699,combo,0.000260141,0.000303628,0.002419561,0,8.39E-05,0.000888621,0,0.009803809,0.007582256,0,0,0,0,0.001854514,0.001912467,0.00089828,0,0,0.000137903,4.73E-05,0.000367136,0,0,0.000473955,0,0,0.000362711,0,0,0,0.000589194,0,0,8.42E-05,0,0,0,7.71E-05,8.26E-05,0,0.000608512,0.000453952,0.002047692,0.009127684,4.31E-05,0.000531241,0.000290154,0,0.000292539,0.000109047,0.000999699,0,0.000502264,4.28E-05
700,combo,0.000115822,5.33E-05,0.004319682,0.000101475,0.000190248,0.00075583,0.000206883,0.013009434,0.008795111,0,3.82E-05,0,0.000394542,0.001868961,0.003655468,0.001997223,0.000203976,0,0.00018946,0,0.00019161,0,0,0.00110855,0,0,0.000125457,0,0,0,0.000137851,0,0,0.000160122,0,0,0,0.000133502,0.000133119,0,0.002647695,0.00033334,0.001415463,0.008062185,0.000304626,0.000613825,0.000222833,0,0.000231627,0.000746668,0.002221682,0,0.001589533,0.000195319
716,BNZ,7.21E-05,4.78E-05,0.005812134,0,0.000127465,0.000182777,0,0.01402929,0.006814226,0.000195991,0.000158885,0.000673406,0.001246603,0.001146393,0.005050544,0.00289805,0.000175189,0,0.000144161,0,0,0,0.000100007,0.00167149,0,0,0,0.000178207,0,0,0.000218747,0,0,0.000184463,0.000172044,0,0,0.000301335,0.000310896,0.000111881,0.0056518,0.000220585,0.001062218,0.007896486,0.000529105,0.00054113,0.000176939,0,0.000194786,0,0.003579473,0.000171731,0.002228653,0.00016699
717,BNZ,0.000129503,5.40E-05,0.007131967,0.000284709,0.000176959,0.000911307,0.000297728,0.016096454,0.01272858,0,0.000188164,0,0,0.002268362,0.006438581,0.003640275,0,0,0.000235646,0.000123412,0.000132165,0,0.000140585,0.002327795,0,0,0,0.000182189,0,0,5.55E-05,0,0,0.000346651,0.000266507,0,0,0.000261003,0.000260495,0.000227914,0.006587164,0.000162131,0.000742913,0.009459762,0.000713197,0.000619094,0.000189996,0,0.000148258,0,0.004700164,0.000248028,0.002917173,0.000161741
718,BNZ,0.000227207,0.000172031,0.005149477,0,9.96E-05,0.000380732,0,0.011637008,0.01119099,0.000278428,0.000125821,0.00055955,0,0.000948801,0.004500724,0.002339566,0.000272734,0,0.000241351,0.000106683,0.00055955,2.99E-05,0.000109608,0.001285342,3.95E-05,3.82E-05,0.000132742,0.000191252,0,0,0.000274906,0,0,0.000218368,0.000134041,0,0,0.000265058,0.000275618,0.000110251,0.004338536,0.000340631,0.001634047,0.006163154,0.000514948,0.00062037,0.000330032,0,0.000309295,0.0009042,0.002842349,0.000149942,0.001897603,0.00020085
719,BNZ,4.12E-05,0,0.005852056,0.000205275,0.000149051,0,0,0.013880497,0.008753903,0.000185242,0.000103801,0.000720625,0.000788335,0.002466569,0.004884774,0.002248931,0.000189112,0,0.000165547,0,0,0,0,0.001368704,0,0,0,9.56E-05,0,0,0.000114328,7.96E-05,0,0.000244961,5.31E-05,0,0,0.000398446,0.000422966,0,0.003414506,0,0.000918918,0.009576092,0.000517496,0.000657752,0.00023733,0,0.000126837,7.83E-05,0.002703553,0.00012935,0.001789472,0.000190018
720,BNZ,0.000133568,5.74E-05,0.002441388,0,9.15E-05,0.000404913,0,0.012742854,0.008018868,0.000346286,0,0.000571642,0.00090907,0.001167103,0.002195264,0.001159163,0.000305196,0,0.00023783,0,0.000234248,0,0,0.000571642,0,4.54E-05,0.000199158,0,0,0,7.77E-05,0,0,0.00011528,3.23E-05,0,0,0.000189609,0.000200428,0,0.001182982,0.000235584,0.001448954,0.009090697,0.000156607,0.000662946,0.000310745,0,0.000276265,0.000219648,0.001377499,0,0.000801887,7.34E-05
751,infected,0.000208282,0.000216257,0.005910135,0.000251804,0.000140118,0.000150066,0,0.008091728,0.005473816,0,0.000169772,0,0.00040062,0.001507283,0.004680509,0.00237992,3.09E-05,0,0,0,0.000146079,0,3.40E-05,0.001503316,0,0,0.000117433,0.000155707,0,0,0.000342122,0,0,0.000248828,0.000127998,0,0,0,0,7.43E-05,0.003950667,0.000436319,0.001066997,0.010669975,0.000515649,0.000785374,0.000338515,0,0.000177561,0.000213886,0.003153394,0.000109009,0.002058631,0.000250226
752,infected,5.76E-05,8.12E-05,0.006688525,0,0.000296573,7.19E-05,0,0.010522712,0.005793882,0.000235633,0.00017335,0.000788138,0.000847781,0.001938394,0.005836484,0.00329314,0,0,7.78E-05,0,0.000223099,0,0.00012723,0.00204916,0,0,0,0.000160102,0,0,0.000190545,0,0,0.000176666,0.000153583,0,0,9.54E-05,0.000101548,0.00014456,0.00698674,0.000123199,0.000694414,0.009883681,0.00061347,0.000424644,4.02E-05,0,0.000257677,3.99E-05,0.004473218,0.000227324,0.002730793,0.000196587
753,infected,5.66E-05,6.95E-05,0.006605265,0.000277789,0.000113672,0.000112758,0.00012909,0.008511482,0.007491877,0,0.000159697,0,0,0.001489509,0.005718652,0.003218404,3.13E-05,0,0,0,0.000316568,0,0.000163415,0.00196828,0,0,0.000154854,0.000149778,0,0,0.000134907,0,0,0.000316369,0.000209402,0,0,0.000109847,0.000122937,0.000171963,0.006206289,0.000288168,0.000806818,0.009974393,0.000633928,0.000554133,0.000195587,0,0.000232874,0.000149519,0.004371001,0.000214676,0.002726334,0.000259807
754,infected,0,0,0.006253152,0,0.000100856,0.000149324,6.97E-05,0.009754918,0.005877963,8.42E-05,0.000174888,0,0,0.001267306,0.005085897,0.002534611,0,0,0,0,0.000342821,0,4.47E-05,0.001642495,0,0,0,0.000146224,0,0,0,0,0,0.000243279,0.000138386,0,0,3.82E-05,4.32E-05,0.000126117,0.004794083,0.000178041,0.000729534,0.009796605,0.000633653,0.000446058,5.09E-05,0,0.000175525,0.000105094,0.003184939,0.000202266,0.002155253,0.000183599
