filename,adjuvant_VS_MASPpepK,MASPpepK_VS_NGP24h,NGP24h_VS_MASPpepK + NGP24h,adjuvant_VS_NGP24h,MASPpepK_VS_MASPpepK + NGP24h,adjuvant_VS_MASPpepK + NGP24h
aq_pos_mass_149.132_4.447_4593,0.015401014690545304,0.5160029354435863,0.19791118649608652,0.00015451018474271964,0.6169953637949551,0.03606274988369152
aq_pos_mass_151.112_4.221_5469,0.005206645006082294,0.8446988486564181,0.16333796807724754,0.0008682294555164656,0.2461151672187305,0.11777439286349586
aq_pos_mass_153.996_2.233_5015,0.0489327907878939,0.14039944873478255,0.46282151671134464,0.0008060946154186267,0.7415043087592827,0.04000896112872107
aq_pos_mass_154.058_0.311_2064,0.07119688927525167,0.00288681741713989,0.4499549276146769,7.858874835056908e-05,0.015716194055695337,0.00030951962017506285
aq_pos_mass_155.106_4.222_4670,0.010880076944579528,0.9588879528454441,0.13912475468441005,0.00018222252425981428,0.27308193265189773,0.09067031404930485
aq_pos_mass_155.106_4.451_4579,0.12449813614092822,0.197492567454973,0.08668425440088963,0.0010060313623902943,0.693798003649465,0.17657702124569574
aq_pos_mass_156.042_0.291_2063,0.06497081247311541,0.15183902058357474,0.03076775825205137,0.004292558926637027,0.4125956449189422,0.5301338579431278
aq_pos_mass_158.04_0.293_2301,0.07790381462085116,0.2357684427087915,0.05410838200155295,0.00909702974074202,0.388744069374785,0.4891597095761495
aq_pos_mass_159.027_0.4_6233,0.3921551216382412,0.005206645006082294,0.46282151671134464,0.0012510612291407742,0.12285444338664299,0.037992300413851675
aq_pos_mass_159.028_0.439_6236,0.7649515205278014,0.011539988490258973,0.22920864740434965,0.0071267102844447625,0.18348917031903877,0.07213273916105309
aq_pos_mass_159.117_4.446_5482,0.023954891416220755,0.6279871929800329,0.5441693209533585,0.003300170025373635,0.6626415911148368,0.049007004210562415
aq_pos_mass_161.132_4.22_6633,0.004292558926637027,0.7336876455731964,0.10810994430993735,0.0016637261613751642,0.09480250293078125,0.25488855203843164
aq_pos_mass_163.075_3.98_260,0.8608698044170195,1.9222676006081192e-08,3.319530562078825e-06,9.722797636417771e-07,0.8731878288255717,0.8066606559445169
aq_pos_mass_166.084_0.311_2478,0.00012027488337972093,0.5430019506067205,0.32237665407895655,0.00040581908832030265,0.8231815274918841,6.117118425654434e-06
aq_pos_mass_169.058_0.324_2089,0.04438716620569989,0.03823979566169538,0.5162846617279295,0.00040581908832030265,0.027621100544799167,0.000588308010854329
aq_pos_mass_172.006_2.246_2313,0.05647943963383298,0.3481446249530621,0.5727830892082293,0.010253921182571684,0.7415043087592827,0.010986469552605896
aq_pos_mass_173.117_4.237_5455,0.00757959203158261,0.7807319473938321,0.10810994430993735,0.0019140289654979322,0.16333796807724754,0.26387710472720083
aq_pos_mass_175.015_4.19_666,0.00023267851145308097,3.561306707621246e-05,0.007100391194289869,1.705694619272272e-08,0.018693056960232598,2.7552722271311954e-07
aq_pos_mass_175.119_0.272_4995,0.18352895180974704,0.04225136632956884,0.12285444338664299,0.0008060946154186267,0.6626415911148368,0.13912475468441005
aq_pos_mass_177.127_4.234_6613,0.006293128166672163,0.718216129533986,0.11286065749608003,0.005206645006082294,0.0990842385956441,0.18348917031903877
aq_pos_mass_177.127_4.447_6456,0.008563492804623466,0.6876227792115092,0.4005631908703319,0.0005527639632859501,0.5026254477381114,0.03606274988369152
