DPI,DPI_50,DPI_75,DPI_142,sum
X603.535_3.742,0.00E+00,0.00E+00,0.0000253,0.0000253
X587.343_2.879,0.00E+00,0.00E+00,0.0000253,0.0000253
X357.301_4.199,1.28E-05,1.26E-05,0,0.0000254
X698.437_3.068,2.54E-05,0.00E+00,0,0.0000254
X635.141_0.31,0.00E+00,2.56E-05,0,0.0000256
X760.64_5.589,0.00E+00,2.58E-05,0,0.0000258
X664.312_2.472,0.00E+00,2.58E-05,0,0.0000258
X277.995_0.326,2.59E-05,0.00E+00,0,0.0000259
X413.324_3.281,2.59E-05,0.00E+00,0,0.0000259
X393.227_2.69,0.00E+00,2.59E-05,0,0.0000259
X727.193_2.703,0.00E+00,2.60E-05,0,0.000026
X787.432_2.247,0.00E+00,2.61E-05,0,0.0000261
X436.211_2.353,0.00E+00,2.62E-05,0,0.0000262
X608.728_2.766,0.00E+00,2.62E-05,0,0.0000262
X345.155_2.651,0.00E+00,0.00E+00,0.0000264,0.0000264
X392.279_2.753,0.00E+00,2.66E-05,0,0.0000266
X812.544_5.597,2.66E-05,0.00E+00,0,0.0000266
X460.245_2.754,0.00E+00,2.68E-05,0,0.0000268
X856.581_4.109,1.90E-05,7.80E-06,0,0.0000268
X325.122_2.29,0.00E+00,2.70E-05,0,0.000027
X782.569_3.275,0.00E+00,0.00E+00,0.0000271,0.0000271
X550.327_2.889,0.00E+00,2.71E-05,0,0.0000271
X242.1_0.35,0.00E+00,2.71E-05,0,0.0000271
X512.336_2.657,2.73E-05,0.00E+00,0,0.0000273
X235.169_2.853,0.00E+00,2.74E-05,0,0.0000274
X370.367_3.219,0.00E+00,0.00E+00,0.0000276,0.0000276
X452.206_2.363,0.00E+00,2.77E-05,0,0.0000277
X250.178_3.373,0.00E+00,0.00E+00,0.0000277,0.0000277
X784.51_3.338,1.07E-05,1.70E-05,0,0.0000277
X347.172_2.535,2.81E-05,0.00E+00,0,0.0000281
X461.739_2.087,0.00E+00,0.00E+00,0.0000281,0.0000281
X287.889_5.958,0.00E+00,2.82E-05,0,0.0000282
X425.253_2.735,0.00E+00,2.82E-05,0,0.0000282
