filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_all
X526_Group1B_70dpi_RA_286_B_C12_P125.mzXML,526,Group1B,naive,DPI_75,RA,C12,P125,0.000905674
X526_Group1B_70dpi_RV_bottom_286_B_C12_P141.mzXML,526,Group1B,naive,DPI_75,RV_bottom,C12,P141,0.001963018
X526_Group1B_70dpi_RV_top_286_B_C12_P137.mzXML,526,Group1B,naive,DPI_75,RV_top,C12,P137,0.001559781
X527_Group1B_70dpi_LA_287_B_D1_P121.mzXML,527,Group1B,naive,DPI_75,LA,D1,P121,0.005369205
X527_Group1B_70dpi_LV_bottom_287_B_D1_P133.mzXML,527,Group1B,naive,DPI_75,LV_bottom,D1,P133,0.000769446
X527_Group1B_70dpi_LV_top_287_B_D1_P129.mzXML,527,Group1B,naive,DPI_75,LV_top,D1,P129,0.001219409
X527_Group1B_70dpi_RA_287_B_D1_P125.mzXML,527,Group1B,naive,DPI_75,RA,D1,P125,0.000571327
X527_Group1B_70dpi_RV_bottom_287_B_D1_P141.mzXML,527,Group1B,naive,DPI_75,RV_bottom,D1,P141,0
X527_Group1B_70dpi_RV_top_287_B_D1_P137.mzXML,527,Group1B,naive,DPI_75,RV_top,D1,P137,0.000381722
X528_Group1B_70dpi_LA_288_B_D2_P121.mzXML,528,Group1B,naive,DPI_75,LA,D2,P121,0.004817107
X528_Group1B_70dpi_LV_bottom_288_B_D2_P133.mzXML,528,Group1B,naive,DPI_75,LV_bottom,D2,P133,0.000177728
X528_Group1B_70dpi_LV_top_288_B_D2_P129.mzXML,528,Group1B,naive,DPI_75,LV_top,D2,P129,0.000509615
X528_Group1B_70dpi_RA_288_B_D2_P125.mzXML,528,Group1B,naive,DPI_75,RA,D2,P125,0.002100543
X528_Group1B_70dpi_RV_bottom_288_B_D2_P141.mzXML,528,Group1B,naive,DPI_75,RV_bottom,D2,P141,0.010178449
X528_Group1B_70dpi_RV_top_288_B_D2_P137.mzXML,528,Group1B,naive,DPI_75,RV_top,D2,P137,0.000919545
X529_Group1B_70dpi_LA_289_B_D3_P121.mzXML,529,Group1B,naive,DPI_75,LA,D3,P121,0.003765747
X529_Group1B_70dpi_LV_bottom_289_B_D3_P133.mzXML,529,Group1B,naive,DPI_75,LV_bottom,D3,P133,0.00116831
X529_Group1B_70dpi_LV_top_289_B_D3_P129.mzXML,529,Group1B,naive,DPI_75,LV_top,D3,P129,0.000504259
X529_Group1B_70dpi_RA_289_B_D3_P125.mzXML,529,Group1B,naive,DPI_75,RA,D3,P125,0.000693628
X529_Group1B_70dpi_RV_bottom_289_B_D3_P141.mzXML,529,Group1B,naive,DPI_75,RV_bottom,D3,P141,0.014255621
X529_Group1B_70dpi_RV_top_289_B_D3_P137.mzXML,529,Group1B,naive,DPI_75,RV_top,D3,P137,0.009652877
X530_Group1B_70dpi_LA_290_B_D4_P121.mzXML,530,Group1B,naive,DPI_75,LA,D4,P121,0.001926021
X530_Group1B_70dpi_LV_bottom_290_B_D4_P133.mzXML,530,Group1B,naive,DPI_75,LV_bottom,D4,P133,0.001685316
X530_Group1B_70dpi_LV_top_290_B_D4_P129.mzXML,530,Group1B,naive,DPI_75,LV_top,D4,P129,0.002515697
X530_Group1B_70dpi_RA_290_B_D4_P125.mzXML,530,Group1B,naive,DPI_75,RA,D4,P125,0.002448647
X530_Group1B_70dpi_RV_bottom_290_B_D4_P141.mzXML,530,Group1B,naive,DPI_75,RV_bottom,D4,P141,0.011089443
