filename,MouseID,Treatmentgroup,status,DPI,organ,well_position,plate,mass_137,mass_269
X548_Group1B_70dpi_LV_top_293_B_D7_P129.mzXML,548,Group1B,naive,75,LV_top,D7,P129,0.026295203,0.003888857
X549_Group1B_70dpi_LV_top_294_B_D8_P129.mzXML,549,Group1B,naive,75,LV_top,D8,P129,0.022315151,0.003487295
X550_Group1B_70dpi_LV_top_295_B_D9_P129.mzXML,550,Group1B,naive,75,LV_top,D9,P129,0.019898246,0.003375462
X511_Group1C_142dpi_LV_top_161_G_A1_P128.mzXML,511,Group1C,naive,142,LV_top,A1,P128,0.024006196,0.003022519
X512_Group1C_142dpi_LV_top_162_G_A2_P128.mzXML,512,Group1C,naive,142,LV_top,A2,P128,0.0347038,0.004855396
X513_Group1C_142dpi_LV_top_163_G_A3_P128.mzXML,513,Group1C,naive,142,LV_top,A3,P128,0.012905794,0.002988554
X514_Group1C_142dpi_LV_top_164_G_A4_P128.mzXML,514,Group1C,naive,142,LV_top,A4,P128,0.039308236,0.005933535
X515_Group1C_142dpi_LV_top_165_G_A5_P128.mzXML,515,Group1C,naive,142,LV_top,A5,P128,0.01758826,0.002623097
X531_Group1C_142dpi_LV_top_166_G_A6_P128.mzXML,531,Group1C,naive,142,LV_top,A6,P128,0.00954607,0.00286611
X532_Group1C_142dpi_LV_top_167_G_A7_P128.mzXML,532,Group1C,naive,142,LV_top,A7,P128,0.009902037,0.002603996
X533_Group1C_142dpi_LV_top_168_G_A8_P128.mzXML,533,Group1C,naive,142,LV_top,A8,P128,0.018366307,0.002256681
X534_Group1C_142dpi_LV_top_169_G_A9_P128.mzXML,534,Group1C,naive,142,LV_top,A9,P128,0.036528107,0.005959365
X535_Group1C_142dpi_LV_top_170_G_A10_P128.mzXML,535,Group1C,naive,142,LV_top,A10,P128,0.032553826,0.004242332
X551_Group1C_142dpi_LV_top_171_G_A11_P128.mzXML,551,Group1C,naive,142,LV_top,A11,P128,0.011729976,0.00322126
X552_Group1C_142dpi_LV_top_172_G_A12_P128.mzXML,552,Group1C,naive,142,LV_top,A12,P128,0.013975471,0.004921092
X553_Group1C_142dpi_LV_top_173_G_B1_P128.mzXML,553,Group1C,naive,142,LV_top,B1,P128,0.003019805,0.002236893
X554_Group1C_142dpi_LV_top_174_G_B2_P128.mzXML,554,Group1C,naive,142,LV_top,B2,P128,0.035923687,0.005501949
X555_Group1C_142dpi_LV_top_175_G_B3_P128.mzXML,555,Group1C,naive,142,LV_top,B3,P128,0.021569583,0.003284124
X561_Group3A_50dpi_LV_top_266_B_B4_P129.mzXML,561,Group3A,Infected,50,LV_top,B4,P129,0.00817729,0.001558452
X562_Group3A_50dpi_LV_top_267_B_B5_P129.mzXML,562,Group3A,Infected,50,LV_top,B5,P129,0.011447136,0.001821136
X563_Group3A_50dpi_LV_top_268_B_B6_P129.mzXML,563,Group3A,Infected,50,LV_top,B6,P129,0.002133741,0.000783598
X564_Group3A_50dpi_LV_top_269_B_B7_P129.mzXML,564,Group3A,Infected,50,LV_top,B7,P129,0.011560707,0.002043288
X565_Group3A_50dpi_LV_top_270_B_B8_P129.mzXML,565,Group3A,Infected,50,LV_top,B8,P129,0.006469884,0.00218841
X646_Group3A_50dpi_LV_top_271_B_B9_P129.mzXML,646,Group3A,Infected,50,LV_top,B9,P129,0.0201709,0.003280542
X647_Group3A_50dpi_LV_top_272_B_B10_P129.mzXML,647,Group3A,Infected,50,LV_top,B10,P129,0.013645256,0.001943216
