MouseID,Heart.weight..Body.weight.ratio,Liver.weight..Body.weight.ratio,Ejection.Fraction,PR.Interval..s.,QTc..s.,P.Amplitude..V.,CD3.CD8.IFNg.,X440.337_2.765,X442.353_2.823,X105.07_2.767,X119.049_2.765,X128.018_0.344,X136.062_0.301,X136.097_0.551,X137.046_0.35,X137.046_0.42,X203.007_0.309,X249.112_2.768,X251.037_0.323,X256.264_3.225,X258.207_2.775,X267.123_2.767,X285.133_2.768,X291.146_2.39,X296.258_2.976,X301.115_0.328,X301.115_0.413,X324.327_3.455,X351.217_2.741,X352.306_2.997,X369.17_2.767,X380.993_2.164,X386.717_2.856,X387.193_2.842,X396.332_2.991,X397.22_2.071,X400.97_2.127,X416.337_2.79,X420.899_2.103,X426.484_2.164,X430.223_2.769,X440.359_2.985,X458.23_2.165,X466.25_2.226,X475.989_2.164,X476.24_2.164,X484.385_2.982,X489.228_2.768,X494.325_2.865,X570.357_2.934,X580.361_2.989,X580.362_2.984,X599.241_2.765,X604.362_2.948,X620.356_2.913,X682.363_3.329,X682.364_3.313,X764.524_3.729,X790.38_2.768,X792.329_2.764,X795.335_2.768,X811.309_2.773
546,0.007762557,0.057990868,72.2242155,0.04152,0.04523,0.2174,-1.00E-04,0.000337264,0.000334198,0.004568396,0,8.56E-05,0.001073113,0,0.009596697,0.014379716,8.65E-05,8.50E-05,0.000321934,0.000677594,0.000824764,0.003556603,0.001928538,0.001526887,0.00021493,0.000207384,0.000132219,0,0.000548821,0,0.001201887,2.91E-05,0,0,2.35E-05,0,0,0.000441509,0.000167561,0,0.0001514,2.36E-05,0,6.86E-05,0.000252394,0.000270654,2.32E-05,0.003433962,0.000766509,0.00115283,0,0.010424527,0.000321934,0.00099033,0.000794104,8.53E-05,0,0.00017227,0.002170755,5.05E-05,0.001198821,0.000233567
547,0.008196721,0.067213115,55.2007955,0.0444,0.04445,0.2764,7.00E-04,0.000305644,0.000166378,0.006438887,0,0,0.000978885,0,0.01531411,0.01357387,0.000294455,0.000203054,0.000722199,0.000730901,0.003571842,0.005438249,0.002988862,0.000569929,0.000280189,0.000253213,9.19E-05,0,0,0,0.001866407,0,0,0,7.47E-05,0,0,0.000240661,0,0,0.000285013,7.82E-05,0,0,0.00013626,0.000147257,6.63E-05,0.006612911,0,0.000353038,0,0.008483669,0.000774407,0.000378023,0.000101968,0.000218369,0,0,0.003915539,0.000319859,0.00239718,0.000296007
548,0.006880734,0.063761468,55.2651235,0.04386,0.04768,0.1879,0.0075,9.99E-05,0.000136703,0.005192704,0,0,0.001275267,0,0.017181741,0.013058123,0.000326734,0.000104091,0.000488725,0.000446725,0.001416539,0.004238163,0.00218399,0.001469993,0.000201717,0.000305904,0.000149255,0,0.000240354,0,0.001263812,0,3.62E-05,0,2.69E-05,0,0,0.000231215,0.000166318,0,0.000174456,0,0,0,0.000256925,0.000256025,0,0.003581438,0,0.000881996,0.011645402,0,0.00041618,0.001080541,0.000595634,0.000201728,0,0,0.002237444,5.35E-05,0.001305812,0.000268801
549,0.005429864,0.05520362,53.7627765,0.04498,0.03765,0.1647,3.00E-04,0.000245226,0.000353349,0.00414382,0.000125435,0,0.000982953,0,0.01133929,0.009604668,0,0.000108877,0,0.000555722,0.000417594,0.003437122,0.00173141,0.000999014,0.000197951,0.000246786,0.000158598,0,0.000831976,0,0.000999014,2.69E-05,0,0.000110004,0,0,0,0.000613542,9.42E-05,0,0.00015628,0,0,0,0.000185838,0.000228149,0,0.002290344,0.000433656,0.000703486,0.011307168,0,0.000174983,0.001227085,0.000748457,0.000107133,0,0,0.001757108,0,0.000867311,0.000177538
550,0.006696429,0.058482143,60.538065,0.04356,0.04043,0.2217,0.0021,4.33E-05,3.44E-05,0.003754869,0,0,0.001106164,0,0.011704365,0.011670537,0.000278211,9.08E-05,0,0.00079495,0.000419463,0.00323054,0.001938324,0.000798332,0.000219523,0.000241743,0.000232645,0,0.000656256,0,0.001014829,3.61E-05,2.54E-05,0.000155085,0,0,0,0.000153094,5.87E-05,2.94E-05,0.000153044,0,0,0,0.000311749,0.000333065,0,0.002537073,0.000706998,0.001694765,0,0.010418914,0.000216794,0.001160288,0.000845691,0,7.45E-05,0.000106324,0.001731975,4.78E-05,0.000913346,0.000157357
566,0.00861244,0.066507177,71.723616,0.04298,0.03926,0.1225,-0.0017,0.000610951,0.000307373,0.002144019,5.88E-05,0,7.10E-05,0,0,0.001269335,0,1.53E-05,0,0.000358601,0.000647001,0.001608963,0.000738074,1.63E-05,0.000102453,0,0,1.83E-05,0.00048193,0,0.000432599,2.25E-05,0,0.000107388,0,3.90E-05,0,0.000707716,0.000259939,1.60E-05,5.89E-05,0,2.05E-05,0,0.000123209,0.000124195,0,0.000652693,0.001717113,0.000567311,0,0.002959885,1.57E-05,0.000313065,0.000286502,0,0,0.000629924,0.000591977,0,0.000246657,0.000123134
567,0.006530612,0.068571429,75.6743445,0.04075,0.04605,0.1929,0.0031,0.000350983,0.000568722,0.003379835,0,0,0.00012529,0,0.006272195,0.004224794,8.61E-05,3.16E-05,0.000328234,0.000653218,0.000913206,0.002541376,0.001208941,0.000312494,0.00020193,2.40E-05,0,0,0.00040948,0,0.000757213,0,0,0,0,5.61E-05,0,0.000711715,0.00016276,0,0.000133775,0,0,0,0.000154062,0.0001528,0,0.001403932,0.001182942,0.001104946,0,0.010496989,0.000102283,0.000792961,0.00061747,0,0.000107005,0,0.001312936,0,0.000705216,0.000170019
568,0.005928854,0.072727273,72.70568,0.03562,0.04327,0.1378,0.0057,0,0,0.002908597,3.92E-05,0.000282188,7.76E-05,0,0.011747161,0.008880854,0,0,0,0.000770614,0.003463063,0.002452807,0.001301585,0.000143092,0.000303359,0.000204421,3.91E-05,0,0,0,0.000643744,0,0,0.000292871,0,0,0,0,0,0,3.56E-05,0,0,0,0,0,0,0.001249898,0.000240091,0.000398399,0,0.006061535,0.000195139,0.000201477,3.86E-05,0,0.000304925,0,0.001348574,0,0.00086929,0.00015656
569,0.006637168,0.067699115,80.6841755,0.03387,0.04682,0.1592,-2.00E-04,0,0,0.002158932,0,0,7.42E-05,0,0.006142568,0.006955555,0,0,0,0.000880736,0.004141717,0.001924069,0.001025267,0,0.000409733,7.02E-05,4.19E-05,0,0,0,0.000406299,0,0,0.000434413,0,0,0,0,0,0,4.37E-05,0,0,0,0,0,0,0.000546508,0.000210052,0.000353669,0,0.006774891,5.86E-05,0.000165388,0,0,0.000219789,0,0.000727172,0,0.000474242,8.53E-05
570,0.006542056,0.070560748,83.669523,0.03956,0.04571,0.1821,1.00E-04,0.000682557,0.001118297,0.002760701,7.96E-05,0,0.000141184,0.000105551,0.002800313,0.002190887,0,2.73E-05,0,0,0.000691699,0.00229449,0.001124391,2.90E-05,0.000341279,0,0,0,0.000499729,0,0.000563719,0,0,0.00018462,0,0,0,0.000825772,3.24E-05,0,9.70E-05,0,0,0,0,0,0,0.001069543,0.000996412,0.00291001,0,0.00908045,9.11E-05,0.000606379,0.000472305,0,0.00014414,0.000248512,0.001154863,0,0.000539342,0.000117424
