"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X585_Group3E_142dpi_LV_bottom_180_G_B8_P132.mzXML",585,"infected","142dpi","LV_bottom","B8","P132",0.001385315,0.005610814,0.000221267,0.001172862,2.68e-05
"X611_Group9_142dpi_LV_bottom_181_G_B9_P132.mzXML",611,"combo","142dpi","LV_bottom","B9","P132",0.001062645,0.00301,0.000335309,0.000388805,2.77e-05
"X612_Group9_142dpi_LV_bottom_182_G_B10_P132.mzXML",612,"combo","142dpi","LV_bottom","B10","P132",0.000811914,0.003326714,0.000184004,0,0
"X613_Group9_142dpi_LV_bottom_183_G_B11_P132.mzXML",613,"combo","142dpi","LV_bottom","B11","P132",0.001695508,0.00486,0.000274761,0.00026092,0.000210027
"X614_Group9_142dpi_LV_bottom_184_G_B12_P132.mzXML",614,"combo","142dpi","LV_bottom","B12","P132",0.002129603,0.004932729,0.000528162,0,0
"X615_Group9_142dpi_LV_bottom_185_G_C1_P132.mzXML",615,"combo","142dpi","LV_bottom","C1","P132",0.001465557,0.00451,0.000235537,0.000694272,0
"X631_Group15_142dpi_LV_bottom_191_G_C7_P132.mzXML",631,"BNZ","142dpi","LV_bottom","C7","P132",0.001476766,0.00366,0.00018969,0.00207,0.000152984
"X632_Group15_142dpi_LV_bottom_192_G_C8_P132.mzXML",632,"BNZ","142dpi","LV_bottom","C8","P132",0.001389394,0.004,0.000135987,0.001007187,0.000250384
"X633_Group15_142dpi_LV_bottom_193_G_C9_P132.mzXML",633,"BNZ","142dpi","LV_bottom","C9","P132",0.001608412,0.00522,0.000298048,0.00224483,0
"X634_Group15_142dpi_LV_bottom_194_G_C10_P132.mzXML",634,"BNZ","142dpi","LV_bottom","C10","P132",0.00127976,0.003361392,0.000188343,0.000359554,3.6e-05
"X635_Group15_142dpi_LV_bottom_195_G_C11_P132.mzXML",635,"BNZ","142dpi","LV_bottom","C11","P132",0.000921027,0.003243058,0.000498397,0.000555126,0
"X666_Group3E_142dpi_LV_bottom_201_G_D5_P132.mzXML",666,"infected","142dpi","LV_bottom","D5","P132",0.001502078,0.005147911,0.000250013,0.001024529,7.28e-05
"X667_Group3E_142dpi_LV_bottom_202_G_D6_P132.mzXML",667,"infected","142dpi","LV_bottom","D6","P132",0.000898835,0.004464547,7.66e-05,0.000660477,0
"X668_Group3E_142dpi_LV_bottom_203_G_D7_P132.mzXML",668,"infected","142dpi","LV_bottom","D7","P132",0.001210896,0.004538624,0.000159301,0.000701975,0
"X669_Group3E_142dpi_LV_bottom_204_G_D8_P132.mzXML",669,"infected","142dpi","LV_bottom","D8","P132",0.001234798,0.004125246,0.000257433,0.000409967,7.16e-05
"X670_Group3E_142dpi_LV_bottom_205_G_D9_P132.mzXML",670,"infected","142dpi","LV_bottom","D9","P132",0.001471597,0.003995852,0.000196376,0,0.000103846
"X696_Group9_142dpi_LV_bottom_206_G_D10_P132.mzXML",696,"combo","142dpi","LV_bottom","D10","P132",0.001083977,0.003967501,0,3.65e-05,0
"X697_Group9_142dpi_LV_bottom_207_G_D11_P132.mzXML",697,"combo","142dpi","LV_bottom","D11","P132",0.001402901,0.006183046,0.000166631,0.000260642,0
"X698_Group9_142dpi_LV_bottom_208_G_D12_P132.mzXML",698,"combo","142dpi","LV_bottom","D12","P132",0.001415367,0.003316345,0.000108669,0,0
"X699_Group9_142dpi_LV_bottom_209_G_E1_P132.mzXML",699,"combo","142dpi","LV_bottom","E1","P132",0.001924595,0.005143229,0.00015914,0.000601471,0
"X700_Group9_142dpi_LV_bottom_210_G_E2_P132.mzXML",700,"combo","142dpi","LV_bottom","E2","P132",0.001460686,0.004244063,0.000285706,6.61e-05,9.01e-05
"X716_Group15_142dpi_LV_bottom_216_G_E8_P132.mzXML",716,"BNZ","142dpi","LV_bottom","E8","P132",0.000950108,0.003730148,0,0.001132753,4.21e-05
"X717_Group15_142dpi_LV_bottom_217_G_E9_P132.mzXML",717,"BNZ","142dpi","LV_bottom","E9","P132",0.000885233,0.003251898,8.65e-05,0,0
"X718_Group15_142dpi_LV_bottom_218_G_E10_P132.mzXML",718,"BNZ","142dpi","LV_bottom","E10","P132",0.001363281,0.005500268,9.86e-05,0.001885564,8.75e-05
"X719_Group15_142dpi_LV_bottom_219_G_E11_P132.mzXML",719,"BNZ","142dpi","LV_bottom","E11","P132",0.000916835,0.004062065,0,6.1e-05,0
