MouseID,Treatmentgroup,Heart.Weight..Body.Weight,Liver.Weight..Body.Weight,Ejection.Fraction,PR.Interval..s.,QTc..s.,P.Amplitude..V.,CD3.CD8.IFNg.,X440.337_2.765,X105.07_2.767,X111.044_2.768,X137.046_0.35,X141.959_6.859,X142.027_0.328,X192.125_4.643,X249.112_2.768,X263.091_2.771,X263.2_2.895,X276.02_2.431,X281.102_2.768,X285.133_2.768,X295.227_3.017,X296.258_2.976,X305.248_3.26,X369.17_2.767,X400.342_2.89,X409.162_2.768,X425.136_2.773,X448.342_2.867,X489.228_2.768,X538.315_2.977,X596.357_2.948,X650.978_2.339,X664.419_3.086,X668.414_2.975,X696.443_3.1,X696.445_3.083,X748.439_2.944
551,Group1C,0.006666667,0.053333333,53.4892915,0.03422,0.04681,0.1194,0.0056,0.000273331,0.001610994,0,0.008072673,0,0,0,0,0,0.000102778,0,0.000256837,0.000566503,0.000562963,0.000403634,0.000268689,0.000424878,0.000881621,0.00235807,0.000470906,0.000364687,0.000485069,0.000344411,0,0.000244135,0.000361146,0.000146696,0,0.000261749,0
552,Group1C,0.007058824,0.053333333,54.5301705,0.03673,0.04267,0.1812,0.003,5.02E-05,0.001626077,0,0.009756461,0.00080053,0,0,0,0,5.26E-05,5.98E-05,0.000173399,0.000570378,0.000247868,0.000635421,4.95E-05,0.000267831,0.000645427,0.002866898,0.000235224,0.000178103,0.000259275,0.000670444,0.002961961,9.89E-05,0.0007555,0.000280489,0,0.000282285,0.000120142
553,Group1C,0.007258065,0.055241935,59.077865,0.02874,0.04356,0.05771,0.0077,7.82E-05,0.001746315,0,0.007646292,0.002328419,0,0,0,0,0.000111744,0.000318958,0.000271383,0.000656101,0.000452191,0.000764629,6.99E-05,0.000435271,0.00045844,0.003241041,0.000582105,8.03E-05,0.000508108,0.000299964,0.002229758,0.00016989,0.000402753,0.000127201,0,0.000108943,0
554,Group1C,0.006726457,0.051569507,51.9179445,0.03835,0.04182,0.09241,0.0143,4.65E-05,0.001832698,0,0.004094625,0.00042923,0,0,0,0,2.68E-05,8.90E-05,0.000238714,0.000838692,0.002264751,0.000361457,4.48E-05,0.00046594,0.000372752,0.003106267,0.00041511,3.11E-05,0.000835868,0.000188063,0.001355462,6.60E-05,0.000234354,0,0,0.000126151,0
555,Group1C,0.005860806,0.054578755,64.9008225,0.03762,0.04483,0.1079,0.0054,0.000354831,0.002397694,2.86E-05,0.007578917,0.000861241,0,0,2.82E-05,0,0.000199766,9.40E-05,0.000285528,0.000878465,0.000892245,0.000595978,0.000115483,0.000568419,0.001980853,0.003892807,0.000413395,0.00045818,0.001119613,0.000554639,0.003444962,0.000178927,0.000633873,0.000506409,0,0.000262288,0.000297201
581,Group3E,0.005726872,0.057268722,55.495585,0.03765,0.05897,0.199,2.00E-04,0.000259061,0.003565736,5.41E-05,0.004011453,0.00033214,2.82E-05,0.000213238,4.15E-05,2.82E-05,0,0,0.000624004,0.00114515,0,0,0.000582861,0.001073149,0.002691445,0.008845768,0.001302865,0.00043886,0.002036584,0,0,0.000227541,0,0,0.000181989,0,0
582,Group3E,0.006511628,0.058604651,63.235549,0.0416,0.04984,0.08845,0,0.000599873,0.002780526,3.09E-05,0.003501403,0.000329544,8.10E-05,0.000238068,4.90E-05,2.52E-05,0,0,0.000473719,0.000926842,0,0,0.000417079,0.000895947,0.002780526,0.00692557,0.001076167,0.00046857,0.002883509,0,0,0.000471145,0,0,0.000270329,0,0
583,Group3E,0.004705882,0.056862745,68.7612665,0.0378,0.04145,0.1093,0.0015,0.000264848,0.007003933,0.000121584,0.002391714,0,0,0,0.000139672,0.000100536,0,0,0.00092867,0.001878092,0,0,0.000280229,0.001826211,0.001914408,0.016498154,0.001743201,0.000287597,0.004809368,0,0,0.000218167,0,0,8.92E-05,0,0
584,Group3E,0.006666667,0.060740741,76.9397435,0.03726,0.05197,0.1125,0.0059,0.00038225,0.003001557,3.10E-05,0.002975903,0.00013956,0,0,5.00E-05,3.26E-05,9.49E-05,3.34E-05,0.000395077,0.001385334,0.000185224,0.000318114,0.000231659,0.000782457,0.00271936,0.007619338,0.000610573,0.000323245,0.002408942,0.000274501,0.00118523,0.000215496,0.00032581,0.000100052,0,0.000130067,0
585,Group3E,0.0076,0.062,85.5267555,0.03709,0.04213,0.1389,0.003,0.000848512,0.003883022,3.55E-05,0.00340124,0.000288868,8.02E-05,0.000417065,0.000110965,3.24E-05,0,0,0.000571667,0.000988732,0,0,0.000636384,0.001010305,0.002452056,0.009527785,0.001114571,0.000654361,0.003379667,0,0,0.000517736,0,0,0.000338371,0,0
611,Group9,0.006382979,0.06,47.4829395,0.03816,0.04239,0.133,3.00E-04,9.82E-05,0.003344147,0,0.002516323,0.000972365,0,0.00057954,0,0,7.53E-05,5.83E-05,0.000840964,0.001281157,0.000295828,0.000606406,0.000108801,0.001070915,0.001741059,0.006570034,0.001162896,0,0.002746274,0.000543924,0.003035355,0,0.000525459,0,0,0.000149842,0
612,Group9,0.007296137,0.056652361,62.1780775,0.038,0.04372,0.1077,-0.0053,0.000123065,0.003127827,3.24E-05,0.002953575,0.001228478,0,0,0,0,0.000158581,6.29E-05,0.000470481,0.001346098,0.000444343,0.000731859,0.000113149,0.000853836,0.002199934,0.005968138,0.000731859,0.000243604,0.001964694,0.000487906,0.001964694,0.000235874,0.000514044,0.000137024,0,0.000103025,3.46E-05
613,Group9,0.005217391,0.056956522,60.4921355,0.03235,0.05015,0.06655,0.003,0.000310657,0.003517338,0,0.003349214,0,0.000120275,0.000301951,4.15E-05,0,0,0,0.000433793,0.001358268,0,0,9.48E-05,0.000716741,0.002313922,0.008406217,0.001455603,9.97E-05,0.001530816,0,0,0.000268401,0.000416494,0.000230713,0,0.000104581,0
614,Group9,0.005220884,0.058634538,76.122708,0.04185,0.04998,0.09401,0.0013,0,0.001616292,0,0.00355458,0.000340995,9.74E-05,0,0,0,0.000161771,0.000158426,9.84E-05,0.000301952,0.000370254,0.000846028,6.33E-05,0.000152448,0.002146638,0.001490019,0,0.000206594,0.000148491,0.000325874,0.001666801,0.000187949,0.000371159,0,0,0,0
615,Group9,0.005217391,0.056956522,55.533844,0.03867,0.04432,0.14,0.007,0.000243785,0.001721012,0,0.003511448,0.000276143,0,0.000208248,0,0,7.55E-05,0.000302573,0.000276551,0.000734444,0.000285385,0.000562709,0,0.000467706,0.002729503,0.005042455,0.000690597,0.000409243,0.000705213,0.000562709,0.001626009,0,0.000360417,0.000168617,3.52E-05,8.61E-05,0.000133569
631,Group15,0.00720339,0.053813559,58.692064,0.04255,0.04088,0.09783,-0.0012,8.50E-05,0.005073863,5.44E-05,0.002771438,0.00057987,0,0,7.84E-05,3.92E-05,0.00019066,6.36E-05,0.000528705,0.001961325,0,0,7.95E-05,0.001078729,0.001040355,0.012791252,0.001240751,8.47E-05,0.003990871,0,0,0.000275364,0.000635299,0,0,0.000425274,0.000210854
632,Group15,0.0064,0.0616,73.26804,0.0381,0.0453,0.1181,-0.0032,0.000196322,0.003574259,6.97E-05,0.002096016,0.000437589,0,0,3.88E-05,0,6.44E-05,4.97E-05,0.00059571,0.001603269,0.000514811,0.000386108,0.000111676,0.001022268,0.002588764,0.005883555,0.000959755,0.000100878,0.002585087,0.000577324,0.003412462,0.000211575,0.000599387,0.000518488,0,0.00026785,0.000312047
633,Group15,0.007692308,0.051282051,62.214771,0.03686,0.05432,0.1102,0.0018,0.000183272,0.002872049,2.97E-05,0.004197311,0.000236922,0,0.000222043,3.70E-05,0,0,0,0.000489686,0.00091719,0,0,0.000360297,0.000882213,0.000858894,0.007306431,0.00111151,0.000248654,0.001989836,0,0,0.000286033,0,0,0.000450822,0,0
634,Group15,0.00620155,0.053488372,51.880843,0.03771,0.04924,0.1116,5.00E-04,0.000203393,0.003031433,0,0.003642939,0,0,0.000285376,2.72E-05,0,0,9.29E-05,0.000477274,0.000827771,0,0,0.000341459,0.000786756,0.001122339,0.005630336,0.000704724,0.000202986,0.001621984,0,0,0.0001781,0,0,0.00037287,0.000113887,0
635,Group15,0.006306306,0.055405405,37.727196,0.03742,0.04289,0.1015,0.0026,9.38E-05,0.002593772,0,0.004303393,0.000532056,0,0,3.34E-05,0,0.000107936,0.000100717,0.000426427,0.001064112,0.000258188,0.000657245,0.00013655,0.000692455,0.000528144,0.005046706,0.000567265,7.19E-05,0.00142012,0.000579002,0.00237469,0.00012943,0.000758962,0,0,0.000191059,0.00020382
666,Group3E,0.006147541,0.059016393,76.178785,0.0368,0.04886,0.157,0.0033,6.37E-05,0.004005084,3.63E-05,0.003488299,0.000571693,5.67E-05,0.000110209,4.99E-05,3.57E-05,5.86E-05,2.72E-05,0.000729959,0.001692471,0.000268101,0.00034237,0.000179905,0.001311342,0.000623372,0.008042467,0.001185376,7.07E-05,0.002377211,0.00035529,0,0.000227412,0.00033591,0.000207934,0,0.000193207,0
667,Group3E,0.006147541,0.059016393,76.4477795,0.038,0.05699,0.09939,-0.0081,0.000119499,0.004599242,3.54E-05,0.002549479,0.000360517,8.48E-05,0,0,0,5.18E-05,0,0.000703305,0.001670349,0.000879131,0.000578376,0.000158785,0.00128168,0.001462133,0.008050988,0.001263172,8.67E-05,0.003687722,0.000215823,0.001036449,0.000141305,0.000308976,4.51E-05,0,5.64E-05,0
668,Group3E,0.007017544,0.05745614,66.867887,0.04206,0.04369,0.09355,-2.00E-04,0.000176795,0.002858098,3.40E-05,0.002657933,0.000360954,0.000171179,0.000544712,4.70E-05,2.75E-05,0,2.94E-05,0.000406893,0.000922073,0,0,6.14E-05,0.000738315,0.001200992,0.006365914,0.000882696,0.000137444,0.001906493,0,0.000830194,0.000224118,0,0,7.71E-05,0,0
669,Group3E,0.006637168,0.055752212,66.774955,0.03676,0.04787,0.1236,0.0044,0.000125358,0.00392181,0,0.005864,0,7.37E-05,0,0,0,3.94E-05,5.45E-05,0.000351769,0.001680181,0.000852567,0.00034351,9.45E-05,0.001164482,0.001297566,0.007610723,0.000939903,0.000207669,0.001863172,0.000302134,0.001883966,0.000121198,0.000367083,0.000206908,0,0.000179065,0
670,Group3E,0.006584362,0.056378601,64.06869,0.03622,0.05014,0.1016,-0.0077,8.91E-05,0.004571331,5.64E-05,0.003963391,0.000485409,0.000141611,0.000276819,0.000157447,4.37E-05,0,6.47E-05,0.000796448,0.001550482,7.21E-05,0,8.12E-05,0.001503355,0.000914266,0.01706002,0.001173465,0.000216238,0.004854094,0,0,0.000200239,0,0,0.000130057,0,0
696,Group9,0.005990783,0.055760369,63.7626865,0.0363,0.04526,0.2225,0.0029,0.000365959,0.0022794,3.24E-05,0.002697638,0,0,0,4.44E-05,0,2.61E-05,5.45E-05,0.000260674,0.00124426,0.000167383,0.000335962,0.000162575,0.000494916,0.001470805,0.005088568,0.000731917,0.000169616,0.001753116,0.000195909,0.001045596,0.000189338,0.000404297,0.000143846,0,0.000128255,0
697,Group9,0.005439331,0.058577406,74.06804,0.03546,0.04469,0.08632,0.002,0.000175322,0.002146539,2.15E-05,0.003521867,0.001614403,2.14E-05,0,2.50E-05,0,7.63E-05,6.76E-05,0.000264783,0.000794348,0.000210284,0.000375323,0.000145759,0.000491005,0.001059131,0.003341918,0.000308485,0.000174551,0.00112854,0.000388177,0.001583555,0.000217225,0.000352187,0.000303343,0,0.000146016,4.91E-05
698,Group9,0.005825243,0.054854369,65.13987,0.03607,0.04467,0.116,-0.0014,0.000136386,0.000861739,0,0.002099175,0.000388833,0.000109006,0.000685713,0,0,0.000240237,0,7.04E-05,0.000216934,0.000210242,0.000367815,0.00065944,0.000103654,0.003730699,0.001284727,0.000145753,0.000457142,0.000191143,0.000270607,0.001074546,0.000570114,0.000237747,0,0,0.00012829,0
699,Group9,0.007207207,0.05990991,72.4044545,0.03528,0.05251,0.1866,0.0048,0.000249561,0.001291852,0,0.002369565,0.000951336,0,0,0,0,0.00020427,0,0.000125757,0.000572206,0.000295296,0.000730177,0.000236934,0.000195504,0.002667954,0.002155426,0.000206258,0.000265318,0.000334917,0.000421256,0.002608276,0.000311797,0.00037562,0.000294023,0,0.000115831,0.000146328
700,Group9,0.005833333,0.055416667,70.756555,0.0319,0.05237,0.05283,6.00E-04,0.000319494,0.002921816,3.24E-05,0.002475944,0,0,0.000168674,3.88E-05,3.06E-05,0.000150326,0,0.000308302,0.000675564,0,0.000483029,0.000173011,0.000553963,0.003681826,0.006519197,0.000577608,0.000302511,0.001604466,0.000391827,0.003479157,0.000198253,0.000240955,0,0,0.000179981,0
716,Group15,0.00438247,0.055776892,58.125892,0.04104,0.04721,0.08168,-0.0027,0.000357208,0.002733185,6.13E-05,0.002868491,0.000468159,0,0,0.00011651,2.80E-05,0.000153513,0,0.00043298,0.001006678,0.000373445,0.000395094,0.000207676,0.00086596,0.00121505,0.008010126,0.000911964,0.000195155,0.002949675,0.000484396,0,0.000250158,0.000538519,0,0,0.000552049,0.000266814
