"filename","MouseID","Treatmentgroup","DPI","organ","well_position","plate","mass_400","mass_500","mass_600","mass_700","mass_800"
"X611_Group9_142dpi_LV_bottom_181_G_B9_P132.mzXML",611,"combo","142dpi","LV_bottom","B9","P132",0.030134097,0.0358,0.001738334,0.005715424,0.003090477
"X612_Group9_142dpi_LV_bottom_182_G_B10_P132.mzXML",612,"combo","142dpi","LV_bottom","B10","P132",0.022501901,0.029300732,0.000884736,0.000342308,0.000251999
"X613_Group9_142dpi_LV_bottom_183_G_B11_P132.mzXML",613,"combo","142dpi","LV_bottom","B11","P132",0.039349985,0.0641,0.001978019,0.004733783,0.004661582
"X614_Group9_142dpi_LV_bottom_184_G_B12_P132.mzXML",614,"combo","142dpi","LV_bottom","B12","P132",0.063291797,0.07286291,0.002511262,0.004672052,0.002819729
"X615_Group9_142dpi_LV_bottom_185_G_C1_P132.mzXML",615,"combo","142dpi","LV_bottom","C1","P132",0.035782452,0.0434,0.001723822,0.009723075,0.003391698
"X631_Group15_142dpi_LV_bottom_191_G_C7_P132.mzXML",631,"BNZ","142dpi","LV_bottom","C7","P132",0.037438481,0.0463,0.002479058,0.00987,0.007242087
"X632_Group15_142dpi_LV_bottom_192_G_C8_P132.mzXML",632,"BNZ","142dpi","LV_bottom","C8","P132",0.035541083,0.0416,0.001855804,0.006992905,0.006795033
"X633_Group15_142dpi_LV_bottom_193_G_C9_P132.mzXML",633,"BNZ","142dpi","LV_bottom","C9","P132",0.036786013,0.0495,0.002006455,0.007616372,0.006781974
"X634_Group15_142dpi_LV_bottom_194_G_C10_P132.mzXML",634,"BNZ","142dpi","LV_bottom","C10","P132",0.032415862,0.040478387,0.00173909,0.002414804,0.00213165
"X635_Group15_142dpi_LV_bottom_195_G_C11_P132.mzXML",635,"BNZ","142dpi","LV_bottom","C11","P132",0.025151622,0.03588118,0.001160063,0.00883737,0.004204941
"X666_Group3E_142dpi_LV_bottom_201_G_D5_P132.mzXML",666,"infected","142dpi","LV_bottom","D5","P132",0.03855542,0.05790084,0.00196223,0.005031554,0.00910709
"X667_Group3E_142dpi_LV_bottom_202_G_D6_P132.mzXML",667,"infected","142dpi","LV_bottom","D6","P132",0.026625951,0.04719623,0.001176466,0.005823454,0.003236471
"X668_Group3E_142dpi_LV_bottom_203_G_D7_P132.mzXML",668,"infected","142dpi","LV_bottom","D7","P132",0.036309489,0.038391761,0.001361896,0.004820534,0.002002947
"X669_Group3E_142dpi_LV_bottom_204_G_D8_P132.mzXML",669,"infected","142dpi","LV_bottom","D8","P132",0.032152339,0.042142921,0.00148259,0.006072011,0.00317816
"X670_Group3E_142dpi_LV_bottom_205_G_D9_P132.mzXML",670,"infected","142dpi","LV_bottom","D9","P132",0.046245798,0.044216359,0.001810607,0.004516918,0.003264402
"X696_Group9_142dpi_LV_bottom_206_G_D10_P132.mzXML",696,"combo","142dpi","LV_bottom","D10","P132",0.02888932,0.032562429,0.00121699,0.003754989,0.001930663
"X697_Group9_142dpi_LV_bottom_207_G_D11_P132.mzXML",697,"combo","142dpi","LV_bottom","D11","P132",0.029345604,0.058059808,0.001557489,0.000971621,0.00312902
"X698_Group9_142dpi_LV_bottom_208_G_D12_P132.mzXML",698,"combo","142dpi","LV_bottom","D12","P132",0.035326106,0.031984568,0.000828481,0.002088909,7.7e-05
"X699_Group9_142dpi_LV_bottom_209_G_E1_P132.mzXML",699,"combo","142dpi","LV_bottom","E1","P132",0.05787392,0.070915152,0.002465199,0.009619538,0.005728825
"X700_Group9_142dpi_LV_bottom_210_G_E2_P132.mzXML",700,"combo","142dpi","LV_bottom","E2","P132",0.041812836,0.054058836,0.001554849,0.004622432,0.004314007
"X716_Group15_142dpi_LV_bottom_216_G_E8_P132.mzXML",716,"BNZ","142dpi","LV_bottom","E8","P132",0.024591465,0.034636431,0.001125036,0.010797864,0.003160323
