mass,annotation
810.602,PC 38:4_C46H84NO8P or PC O-38:5;O_C46H84NO8P
812.611,PC 38:3_C46H86NO8P or PC O-38:4;O_C46H86NO8P
812.614,PC 38:3_C46H86NO8P or PC O-38:4;O_C46H86NO8P
812.615,PC 38:3_C46H86NO8P or PC O-38:4;O_C46H86NO8P
814.631,PC 38:2_C46H88NO8P or PC O-38:3;O_C46H88NO8P
816.646,PC 38:1_C46H90NO8P or PC O-38:2;O_C46H90NO8P
816.647,PC 38:1_C46H90NO8P or PC O-38:2;O_C46H90NO8P
826.594,PC 38:4;O_C46H84NO9P
826.595,PC 38:4;O_C46H84NO9P
830.553,PC 36:4;O3_C44H80NO11P
836.615,PC 40:5_C48H86NO8P or PC O-40:6;O_C48H86NO8P
836.616,PC 40:5_C48H86NO8P or PC O-40:6;O_C48H86NO8P
836.617,PC 40:5_C48H86NO8P or PC O-40:6;O_C48H86NO8P
852.549,PC 42:11_C50H78NO8P or PC O-42:12;O_C50H78NO8P
862.624,PC 42:6_C50H88NO8P or PC O-42:7;O_C50H88NO8P
452.242,LPC 12:2;O_C20H38NO8P
476.242,LPC 14:4;O_C22H38NO8P
492.308,LPC 16:2_C24H46NO7P or LPC O-16:3;O_C24H46NO7P
508.303,LPC 16:2;O_C24H46NO8P
508.304,LPC 16:2;O_C24H46NO8P
534.319,LPC 18:3;O_C26H48NO8P
544.305,LPC 19:5;O_C27H46NO8P
560.335,LPC 20:4;O_C28H50NO8P or PC 20:3_C28H50NO8P or PC O-20:4;O_C28H50NO8P
584.335,LPC 22:6;O_C30H50NO8P or PC 22:5_C30H50NO8P or PC O-22:6;O_C30H50NO8P
596.391,PC 21:0;O_C29H58NO9P
596.393,PC 21:0;O_C29H58NO9P
600.33,PC 22:5;O_C30H50NO9P
600.331,PC 22:5;O_C30H50NO9P
648.423,PC 25:2;O_C33H62NO9P
648.424,PC 25:2;O_C33H62NO9P
674.437,PC 27:3;O_C35H64NO9P
674.439,PC 27:3;O_C35H64NO9P
698.437,PC 29:5;O_C37H64NO9P
716.485,PC 30:3;O_C38H70NO9P
746.51,PC O-35:8_C43H72NO7P
748.527,PC O-35:7_C43H74NO7P
762.506,PC 35:7_C43H72NO8P or PC O-35:8;O_C43H72NO8P
772.548,PC 34:3;O_C42H78NO9P
776.558,PC O-37:7_C45H78NO7P
776.578,PC 34:1;O_C42H82NO9P
780.517,PC 35:6;O_C43H74NO9P
786.563,PC 35:3;O_C43H80NO9P
788.521,PC 37:8_C45H74NO8P or PC O-37:9;O_C45H74NO8P
788.522,PC 37:8_C45H74NO8P or PC O-37:9;O_C45H74NO8P
802.595,PC 36:2;O_C44H84NO9P
804.589,PC O-39:7_C47H82NO7P
804.61,PC 36:1;O_C44H86NO9P
806.53,PC 37:7;O_C45H76NO9P
806.532,PC 37:7;O_C45H76NO9P
808.547,PC 37:6;O_C45H78NO9P
808.548,PC 37:6;O_C45H78NO9P
854.537,PC 41:11;O_C49H76NO9P
854.538,PC 41:11;O_C49H76NO9P
882.569,PC 43:11;O_C51H80NO9P
882.57,PC 43:11;O_C51H80NO9P
