cluster_index,filename,MA,NG,MANG,impacted,class
aq_pos_2089,aq_pos_mass_169.058_0.324_2089,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic acids and derivatives
aq_pos_2091,aq_pos_mass_250.093_0.593_2091,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,"Nucleosides, nucleotides, and analogues"
aq_pos_2096,aq_pos_mass_192.014_0.3_2096,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_2098,aq_pos_mass_158.117_0.367_2098,MA,not_impacted_by_treatment,MANG,MA and MANG,No matches
aq_pos_2099,aq_pos_mass_188.07_1.318_2099,MA,NG,not_impacted_by_treatment,MA and NG,Organic acids and derivatives
aq_pos_2100,aq_pos_mass_220.118_0.952_2100,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Organic acids and derivatives
aq_pos_2101,aq_pos_mass_262.128_0.416_2101,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Lipids and lipid-like molecules
aq_pos_2106,aq_pos_mass_170.092_0.334_2106,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic acids and derivatives
aq_pos_2120,aq_pos_mass_304.211_3.386_2120,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2134,aq_pos_mass_304.212_3.447_2134,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2142,aq_pos_mass_464.081_0.588_2142,MA,NG,not_impacted_by_treatment,MA and NG,"Nucleosides, nucleotides, and analogues"
aq_pos_2150,aq_pos_mass_400.341_4.473_2150,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2156,aq_pos_mass_224.084_3.462_2156,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Benzenoids
aq_pos_2161,aq_pos_mass_386.026_0.351_2161,not_impacted_by_treatment,NG,MANG,NG and MANG,"Nucleosides, nucleotides, and analogues"
aq_pos_2167,aq_pos_mass_205.097_1.315_2167,MA,NG,not_impacted_by_treatment,MA and NG,Organic acids and derivatives
aq_pos_2179,aq_pos_mass_176.04_0.303_2179,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_2181,aq_pos_mass_210.087_0.269_2181,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic acids and derivatives
aq_pos_2190,aq_pos_mass_242.1_0.964_2190,MA,NG,not_impacted_by_treatment,MA and NG,Benzenoids
aq_pos_2197,aq_pos_mass_287.051_0.277_2197,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_2207,aq_pos_mass_184.073_0.354_2207,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_2215,aq_pos_mass_195.003_0.361_2215,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_2220,aq_pos_mass_244.154_2.425_2220,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2224,aq_pos_mass_710.366_3.627_2224,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2226,aq_pos_mass_765.086_3.628_2226,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2238,aq_pos_mass_358.295_4.2_2238,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2239,aq_pos_mass_710.223_3.626_2239,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2241,aq_pos_mass_357.278_4.214_2241,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2243,aq_pos_mass_764.7_3.629_2243,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2246,aq_pos_mass_395.205_0.292_2246,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2259,aq_pos_mass_426.357_4.532_2259,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2266,aq_pos_mass_359.167_3.559_2266,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2275,aq_pos_mass_388.305_4.122_2275,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2293,aq_pos_mass_602.353_3.915_2293,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2295,aq_pos_mass_281.138_3.726_2295,MA,NG,not_impacted_by_treatment,MA and NG,"Lignans, neolignans and related compounds"
aq_pos_2297,aq_pos_mass_332.243_3.83_2297,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2311,aq_pos_mass_502.348_4.423_2311,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2324,aq_pos_mass_416.336_4.272_2324,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2327,aq_pos_mass_360.274_3.982_2327,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2349,aq_pos_mass_368.279_4.139_2349,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_235,aq_pos_mass_218.117_4.198_235,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_2355,aq_pos_mass_428.373_4.701_2355,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2356,aq_pos_mass_1104.453_3.63_2356,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2357,aq_pos_mass_227.139_3.931_2357,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2367,aq_pos_mass_898.609_4.434_2367,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2374,aq_pos_mass_663.075_3.628_2374,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2381,aq_pos_mass_663.008_3.627_2381,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2385,aq_pos_mass_993.907_3.63_2385,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_239,aq_pos_mass_331.13_4.191_239,MA,NG,MANG,MA and NG and MANG,"Lignans, neolignans and related compounds"
aq_pos_2402,aq_pos_mass_903.553_3.631_2402,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2406,aq_pos_mass_273.169_3.703_2406,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2413,aq_pos_mass_215.016_0.395_2413,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_2417,aq_pos_mass_427.795_4.44_2417,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2420,aq_pos_mass_386.326_4.37_2420,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2425,aq_pos_mass_345.152_3.434_2425,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2429,aq_pos_mass_903.643_3.636_2429,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2431,aq_pos_mass_1104.229_3.629_2431,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2440,aq_pos_mass_396.31_4.263_2440,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2450,aq_pos_mass_447.205_4.267_2450,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2454,aq_pos_mass_183.149_3.927_2454,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_2464,aq_pos_mass_405.159_4.362_2464,MA,NG,MANG,MA and NG and MANG,"Lignans, neolignans and related compounds"
aq_pos_2469,aq_pos_mass_1181.544_4.181_2469,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2471,aq_pos_mass_993.105_3.403_2471,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2472,aq_pos_mass_412.305_4.112_2472,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2478,aq_pos_mass_166.084_0.311_2478,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2479,aq_pos_mass_398.326_4.36_2479,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_256,aq_pos_mass_226.18_3.918_256,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2608,aq_pos_mass_192.159_0.387_2608,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2613,aq_pos_mass_442.352_4.328_2613,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2619,aq_pos_mass_370.294_4.213_2619,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2625,aq_pos_mass_414.321_4.197_2625,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2669,aq_pos_mass_246.17_3.007_2669,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2676,aq_pos_mass_246.17_3.145_2676,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_2717,aq_pos_mass_200.145_0.645_2717,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2723,aq_pos_mass_663.142_3.632_2723,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2726,aq_pos_mass_281.138_3.681_2726,MA,NG,MANG,MA and NG and MANG,"Lignans, neolignans and related compounds"
aq_pos_2736,aq_pos_mass_444.368_4.435_2736,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2737,aq_pos_mass_200.145_0.734_2737,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2741,aq_pos_mass_373.273_3.914_2741,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_2742,aq_pos_mass_369.182_4.33_2742,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2750,aq_pos_mass_288.289_4.119_2750,MA,NG,not_impacted_by_treatment,MA and NG,Organic nitrogen compounds
aq_pos_2755,aq_pos_mass_449.808_4.432_2755,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_2760,aq_pos_mass_355.263_3.914_2760,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_2773,aq_pos_mass_386.289_4.045_2773,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2779,aq_pos_mass_968.122_4.084_2779,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_2780,aq_pos_mass_201.16_3.612_2780,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2781,aq_pos_mass_222.068_3.305_2781,MA,NG,not_impacted_by_treatment,MA and NG,Benzenoids
aq_pos_279,aq_pos_mass_126.022_0.366_279,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_2801,aq_pos_mass_201.159_4.03_2801,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2806,aq_pos_mass_156.138_3.611_2806,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2812,aq_pos_mass_139.112_3.937_2812,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2871,aq_pos_mass_156.138_3.933_2871,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_2953,aq_pos_mass_249.095_0.308_2953,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_2977,aq_pos_mass_303.231_4.421_2977,not_impacted_by_treatment,NG,MANG,NG and MANG,Lipids and lipid-like molecules
aq_pos_2979,aq_pos_mass_367.245_4.111_2979,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_3044,aq_pos_mass_180.174_3.918_3044,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_3070,aq_pos_mass_820.607_4.981_3070,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_310,aq_pos_mass_722.504_4.459_310,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_3185,aq_pos_mass_415.211_4.156_3185,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,"Lignans, neolignans and related compounds"
aq_pos_3187,aq_pos_mass_454.388_4.776_3187,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_3191,aq_pos_mass_437.193_4.163_3191,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_3192,aq_pos_mass_119.086_3.668_3192,MA,not_impacted_by_treatment,MANG,MA and MANG,No matches
aq_pos_3193,aq_pos_mass_470.384_4.49_3193,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_3195,aq_pos_mass_302.214_4.087_3195,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_3196,aq_pos_mass_523.236_3.442_3196,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_3203,aq_pos_mass_276.199_4.007_3203,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_3209,aq_pos_mass_358.258_3.933_3209,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_3210,aq_pos_mass_274.183_3.947_3210,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_3212,aq_pos_mass_300.199_4.022_3212,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_3213,aq_pos_mass_276.18_2.021_3213,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_3216,aq_pos_mass_477.231_3.565_3216,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic oxygen compounds
aq_pos_3218,aq_pos_mass_342.263_4.076_3218,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_322,aq_pos_mass_266.172_3.916_322,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_3224,aq_pos_mass_199.144_3.933_3224,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_3232,aq_pos_mass_477.231_3.536_3232,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_3234,aq_pos_mass_300.201_3.317_3234,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic oxygen compounds
aq_pos_334,aq_pos_mass_136.048_0.308_334,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_3378,aq_pos_mass_1242.509_3.63_3378,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_3379,aq_pos_mass_255.17_4.005_3379,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_342,aq_pos_mass_818.423_4.2_342,MA,NG,MANG,MA and NG and MANG,"Lignans, neolignans and related compounds"
aq_pos_358,aq_pos_mass_766.529_4.452_358,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_36,aq_pos_mass_409.174_4.19_36,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_3792,aq_pos_mass_546.375_4.411_3792,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_401,aq_pos_mass_678.478_4.466_401,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_4056,aq_pos_mass_376.153_3.431_4056,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_4131,aq_pos_mass_331.226_4.212_4131,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_4143,aq_pos_mass_421.219_4.029_4143,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_4146,aq_pos_mass_261.221_4.517_4146,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_4153,aq_pos_mass_391.245_4.229_4153,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_416,aq_pos_mass_205.086_4.467_416,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_4168,aq_pos_mass_347.221_4.084_4168,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_4205,aq_pos_mass_763.778_3.639_4205,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_4236,aq_pos_mass_466.316_3.923_4236,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_4237,aq_pos_mass_430.295_3.924_4237,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_4238,aq_pos_mass_448.305_3.925_4238,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_4242,aq_pos_mass_412.284_3.925_4242,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_4243,aq_pos_mass_432.31_4.072_4243,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_4244,aq_pos_mass_414.299_4.066_4244,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_4256,aq_pos_mass_450.321_4.078_4256,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_435,aq_pos_mass_297.133_3.694_435,MA,NG,MANG,MA and NG and MANG,"Lignans, neolignans and related compounds"
aq_pos_4381,aq_pos_mass_263.139_3.425_4381,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_445,aq_pos_mass_810.555_4.446_445,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_449,aq_pos_mass_488.298_3.967_449,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Benzenoids
aq_pos_4550,aq_pos_mass_543.379_4.159_4550,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_4553,aq_pos_mass_288.253_4.206_4553,MA,NG,MANG,MA and NG and MANG,Organic nitrogen compounds
aq_pos_4606,aq_pos_mass_205.041_3.305_4606,MA,NG,not_impacted_by_treatment,MA and NG,Benzenoids
aq_pos_4609,aq_pos_mass_209.092_0.599_4609,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_4625,aq_pos_mass_305.113_3.345_4625,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_4651,aq_pos_mass_371.083_1.001_4651,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_4677,aq_pos_mass_365.194_4.007_4677,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_4700,aq_pos_mass_407.24_4.032_4700,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_4717,aq_pos_mass_307.226_4.256_4717,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_4875,aq_pos_mass_228.134_1.375_4875,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_4877,aq_pos_mass_224.065_3.303_4877,MA,NG,not_impacted_by_treatment,MA and NG,Benzenoids
aq_pos_4883,aq_pos_mass_328.187_3.575_4883,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_4923,aq_pos_mass_328.186_3.656_4923,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_5002,aq_pos_mass_100.076_0.658_5002,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_5183,aq_pos_mass_261.185_4.316_5183,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_5200,aq_pos_mass_261.185_4.152_5200,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_5313,aq_pos_mass_200.237_4.127_5313,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_5314,aq_pos_mass_912.588_3.403_5314,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_5343,aq_pos_mass_258.279_6.747_5343,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_5382,aq_pos_mass_246.145_1.55_5382,MA,NG,not_impacted_by_treatment,MA and NG,"Nucleosides, nucleotides, and analogues"
aq_pos_5407,aq_pos_mass_568.324_3.793_5407,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_5486,aq_pos_mass_189.113_6.521_5486,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,Organic nitrogen compounds
aq_pos_5502,aq_pos_mass_323.258_4.538_5502,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_5516,aq_pos_mass_416.263_4.033_5516,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_5618,aq_pos_mass_224.077_0.452_5618,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Organic acids and derivatives
aq_pos_5624,aq_pos_mass_377.266_4.588_5624,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_5639,aq_pos_mass_293.211_4.133_5639,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Lipids and lipid-like molecules
aq_pos_5704,aq_pos_mass_565.937_3.495_5704,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_5770,aq_pos_mass_184.985_6.686_5770,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_5910,aq_pos_mass_618.339_3.907_5910,MA,NG,not_impacted_by_treatment,MA and NG,Lipids and lipid-like molecules
aq_pos_6063,aq_pos_mass_911.727_5.477_6063,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_6077,aq_pos_mass_902.553_3.686_6077,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_6127,aq_pos_mass_937.744_5.927_6127,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_6180,aq_pos_mass_165.054_0.404_6180,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic acids and derivatives
aq_pos_630,aq_pos_mass_445.246_4.194_630,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_6347,aq_pos_mass_268.129_3.296_6347,not_impacted_by_treatment,NG,MANG,NG and MANG,No matches
aq_pos_6353,aq_pos_mass_365.231_4.092_6353,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_6355,aq_pos_mass_386.156_3.496_6355,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_6385,aq_pos_mass_384.178_1.785_6385,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,Organic acids and derivatives
aq_pos_6389,aq_pos_mass_347.221_3.927_6389,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_6479,aq_pos_mass_192.124_6.349_6479,MA,NG,not_impacted_by_treatment,MA and NG,Organic nitrogen compounds
aq_pos_6543,aq_pos_mass_202.071_0.454_6543,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
aq_pos_6564,aq_pos_mass_147.112_0.347_6564,not_impacted_by_treatment,NG,MANG,NG and MANG,Organic acids and derivatives
aq_pos_6569,aq_pos_mass_437.138_0.334_6569,not_impacted_by_treatment,NG,MANG,NG and MANG,"Nucleosides, nucleotides, and analogues"
aq_pos_660,aq_pos_mass_343.295_4.036_660,MA,NG,not_impacted_by_treatment,MA and NG,Organic acids and derivatives
aq_pos_6637,aq_pos_mass_309.206_4.276_6637,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_666,aq_pos_mass_175.015_4.19_666,MA,NG,MANG,MA and NG and MANG,No matches
aq_pos_6674,aq_pos_mass_354.264_4.063_6674,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_6687,aq_pos_mass_309.205_4.08_6687,MA,NG,not_impacted_by_treatment,MA and NG,No matches
aq_pos_6711,aq_pos_mass_552.292_3.773_6711,MA,not_impacted_by_treatment,not_impacted_by_treatment,MA,No matches
aq_pos_6732,aq_pos_mass_375.251_4.525_6732,not_impacted_by_treatment,not_impacted_by_treatment,MANG,MANG,No matches
